epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6807,0.6759,0.4237,0.2689,0.569,0.6135,0.6672,0.4189,0.265,0.5691,0.617
2,0.5901,0.6064,0.5325,0.3629,0.6432,0.7251,0.6027,0.5252,0.3563,0.6418,0.7268
3,0.5214,0.5205,0.6651,0.4982,0.7245,0.8206,0.517,0.6618,0.4947,0.7242,0.825
4,0.4684,0.4585,0.7407,0.5882,0.776,0.8669,0.4557,0.738,0.5848,0.7759,0.8691
5,0.4378,0.43,0.7586,0.6111,0.791,0.883,0.4284,0.7536,0.6047,0.7892,0.8838
6,0.4183,0.4137,0.7728,0.6297,0.8022,0.892,0.4122,0.7684,0.6239,0.8005,0.8925
7,0.4042,0.4015,0.7808,0.6405,0.8089,0.898,0.4001,0.7767,0.6349,0.8073,0.8983
8,0.3946,0.3916,0.7847,0.6457,0.8126,0.9024,0.3908,0.7799,0.6393,0.8105,0.9026
9,0.3859,0.3852,0.7897,0.6526,0.8167,0.9055,0.3842,0.7856,0.6469,0.8149,0.9057
10,0.3796,0.3802,0.7948,0.6595,0.8207,0.9083,0.3789,0.7911,0.6545,0.8193,0.9085
11,0.375,0.376,0.7975,0.6632,0.8231,0.9103,0.3744,0.7941,0.6585,0.8217,0.9106
12,0.3701,0.3716,0.7994,0.6658,0.8248,0.9121,0.3701,0.7957,0.6607,0.8232,0.9124
13,0.3664,0.3685,0.8003,0.6671,0.8258,0.9133,0.3671,0.7963,0.6616,0.8239,0.9136
14,0.3633,0.3654,0.8024,0.67,0.8276,0.9148,0.3638,0.7987,0.6648,0.8259,0.9152
15,0.3606,0.3628,0.8042,0.6726,0.8291,0.916,0.361,0.8008,0.6678,0.8277,0.9165
16,0.3575,0.3604,0.8042,0.6726,0.8294,0.9168,0.3589,0.8003,0.6671,0.8275,0.9173
17,0.3553,0.3586,0.8058,0.6748,0.8307,0.9178,0.3567,0.8023,0.6698,0.8291,0.9183
18,0.3527,0.3588,0.8094,0.6798,0.8333,0.9187,0.3558,0.8068,0.6762,0.8325,0.9194
19,0.3499,0.3533,0.8087,0.6788,0.8332,0.9203,0.3512,0.8055,0.6743,0.8319,0.921
20,0.3476,0.351,0.8111,0.6822,0.8353,0.9217,0.3487,0.808,0.6779,0.834,0.9223
21,0.3439,0.3468,0.8129,0.6848,0.837,0.9235,0.3446,0.81,0.6807,0.8358,0.9243
22,0.3394,0.3428,0.8147,0.6874,0.8387,0.9254,0.3413,0.8112,0.6824,0.8371,0.9259
23,0.3356,0.3378,0.8175,0.6913,0.8412,0.9277,0.3366,0.8143,0.6867,0.8397,0.9281
24,0.3309,0.3337,0.8194,0.694,0.843,0.9296,0.3328,0.8163,0.6896,0.8416,0.9299
25,0.3264,0.3295,0.8236,0.7,0.8465,0.9316,0.3284,0.8204,0.6956,0.845,0.9319
