epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6802,0.6268,0.5961,0.4247,0.6473,0.7056,0.6238,0.5955,0.4241,0.6496,0.7085
2,0.5482,0.5127,0.7353,0.5815,0.7661,0.8522,0.5119,0.7301,0.575,0.7644,0.8511
3,0.4779,0.4564,0.7594,0.6122,0.7905,0.8801,0.456,0.7545,0.6058,0.7884,0.8795
4,0.4396,0.4268,0.778,0.6366,0.8056,0.8935,0.4252,0.7755,0.6333,0.8052,0.8939
5,0.4156,0.4057,0.7841,0.6449,0.8117,0.9007,0.4041,0.781,0.6407,0.8107,0.9011
6,0.398,0.3936,0.7941,0.6585,0.8197,0.9068,0.3916,0.7917,0.6553,0.8192,0.9072
7,0.3856,0.3818,0.797,0.6626,0.8229,0.9107,0.3798,0.7951,0.6599,0.8226,0.9112
8,0.3751,0.3739,0.8016,0.6689,0.8268,0.9142,0.3718,0.7995,0.666,0.8264,0.9147
9,0.3667,0.3656,0.8001,0.6668,0.8267,0.9171,0.3639,0.7984,0.6644,0.8264,0.9178
10,0.3585,0.3578,0.8104,0.6813,0.8347,0.9213,0.3559,0.8089,0.6791,0.8345,0.9217
11,0.3496,0.3512,0.8158,0.6888,0.8393,0.9248,0.3494,0.8145,0.687,0.8394,0.9253
12,0.3414,0.342,0.8187,0.6931,0.8423,0.9281,0.3403,0.8174,0.6912,0.8422,0.9287
13,0.3336,0.3346,0.8244,0.7013,0.8472,0.9318,0.333,0.8227,0.6988,0.8468,0.9322
14,0.3258,0.3277,0.8266,0.7044,0.8493,0.9344,0.3266,0.8245,0.7015,0.8485,0.9346
15,0.3191,0.3209,0.8327,0.7133,0.8545,0.9373,0.3198,0.831,0.7109,0.854,0.9375
16,0.3127,0.3143,0.8347,0.7162,0.8564,0.9396,0.314,0.8325,0.7132,0.8555,0.9395
17,0.3071,0.3096,0.8406,0.725,0.8614,0.942,0.3086,0.8392,0.7229,0.8611,0.9422
