epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6582,0.6138,0.6421,0.4729,0.6716,0.7357,0.6096,0.6366,0.467,0.6701,0.7348
2,0.5084,0.4937,0.734,0.5798,0.7649,0.852,0.4931,0.731,0.576,0.7644,0.8514
3,0.4545,0.4441,0.762,0.6155,0.7915,0.8805,0.4439,0.7579,0.6102,0.7898,0.8797
4,0.4245,0.4205,0.7753,0.6331,0.803,0.8918,0.4195,0.7723,0.6291,0.8022,0.8916
5,0.4045,0.4063,0.781,0.6408,0.8085,0.8976,0.4052,0.7786,0.6375,0.808,0.8975
6,0.3902,0.3879,0.7895,0.6523,0.8168,0.9065,0.3874,0.7857,0.6471,0.8151,0.9062
7,0.3788,0.3805,0.7938,0.6582,0.8204,0.9093,0.3812,0.7886,0.6509,0.8177,0.9081
8,0.3706,0.3714,0.7972,0.6628,0.8236,0.9132,0.3713,0.7933,0.6574,0.8219,0.9129
9,0.3649,0.3715,0.7984,0.6644,0.8242,0.9127,0.3612,0.8006,0.6676,0.8281,0.918
10,0.3556,0.3592,0.8095,0.68,0.8337,0.9196,0.3535,0.8088,0.679,0.8346,0.9218
11,0.348,0.3522,0.8123,0.6839,0.8363,0.9227,0.349,0.8112,0.6823,0.8366,0.9238
12,0.3391,0.3443,0.8182,0.6924,0.8414,0.9263,0.3374,0.8184,0.6926,0.843,0.929
13,0.3297,0.3276,0.8272,0.7053,0.8496,0.9341,0.3261,0.8257,0.7032,0.8494,0.9345
14,0.3217,0.3193,0.8307,0.7105,0.8529,0.9373,0.3188,0.8285,0.7073,0.852,0.9374
15,0.3138,0.3172,0.8315,0.7116,0.8535,0.9383,0.3142,0.8314,0.7115,0.8545,0.9395
16,0.3081,0.3081,0.8384,0.7218,0.8595,0.9418,0.3062,0.8371,0.7198,0.8593,0.9424
17,0.3009,0.3043,0.8409,0.7255,0.8616,0.9431,0.3004,0.8412,0.726,0.8629,0.9445
18,0.2962,0.298,0.8469,0.7344,0.8668,0.9461,0.296,0.8459,0.7329,0.8669,0.9466
19,0.2918,0.2928,0.8459,0.733,0.8661,0.9474,0.293,0.8435,0.7293,0.8648,0.9473
20,0.2874,0.2889,0.8493,0.7381,0.869,0.9487,0.2883,0.8474,0.7353,0.8682,0.9488
21,0.2832,0.2856,0.8524,0.7428,0.8718,0.95,0.2845,0.8507,0.7402,0.8711,0.9502
22,0.2804,0.283,0.8527,0.7432,0.872,0.9507,0.2817,0.8515,0.7415,0.8718,0.9511
23,0.2771,0.2797,0.8532,0.744,0.8724,0.9519,0.2798,0.8501,0.7392,0.8704,0.9519
24,0.2753,0.2791,0.8565,0.7491,0.8754,0.9523,0.2779,0.8549,0.7466,0.8748,0.9525
25,0.2738,0.2758,0.8572,0.75,0.8759,0.9532,0.2749,0.8553,0.7472,0.875,0.9534
26,0.2717,0.2926,0.8541,0.7455,0.8734,0.9486,0.2732,0.8582,0.7517,0.8776,0.9541
27,0.2697,0.2872,0.8481,0.7362,0.8681,0.9488,0.2836,0.847,0.7346,0.8677,0.9502
28,0.2663,0.27,0.8612,0.7563,0.8795,0.9553,0.2683,0.8601,0.7545,0.8792,0.9556
29,0.2635,0.2694,0.8572,0.7501,0.8758,0.9553,0.2683,0.8558,0.7479,0.8752,0.9558
30,0.261,0.2705,0.8592,0.7531,0.8777,0.9546,0.2662,0.8596,0.7538,0.8787,0.956
31,0.2594,0.27,0.8601,0.7545,0.8785,0.9548,0.2635,0.8607,0.7555,0.8796,0.9569
32,0.2568,0.2712,0.8618,0.7572,0.8802,0.9549,0.2629,0.8633,0.7595,0.8821,0.9573
33,0.2556,0.3069,0.8505,0.7398,0.87,0.9446,0.2887,0.8537,0.7447,0.8737,0.9493
34,0.2538,0.2639,0.8622,0.7578,0.8803,0.9567,0.2605,0.8624,0.7582,0.8811,0.9578
35,0.2525,0.2609,0.8658,0.7634,0.8836,0.958,0.2589,0.8649,0.762,0.8835,0.9584
36,0.2502,0.2639,0.8638,0.7603,0.8819,0.9568,0.2582,0.8644,0.7613,0.883,0.9585
37,0.2489,0.2783,0.8625,0.7582,0.8809,0.9541,0.2578,0.8658,0.7634,0.8844,0.9587
38,0.2471,0.2848,0.8625,0.7582,0.8809,0.9534,0.2587,0.8658,0.7634,0.8844,0.9585
39,0.2454,0.2715,0.8634,0.7597,0.8816,0.9554,0.2564,0.8658,0.7634,0.8842,0.959
40,0.2445,0.258,0.8668,0.7649,0.8844,0.9587,0.2556,0.8663,0.7641,0.8847,0.9592
41,0.243,0.2563,0.8667,0.7647,0.8842,0.9591,0.2551,0.8653,0.7626,0.8837,0.9593
42,0.2405,0.2575,0.8672,0.7656,0.8849,0.9588,0.2553,0.8669,0.7651,0.8853,0.9594
43,0.239,0.2569,0.8661,0.7639,0.8838,0.9587,0.2552,0.865,0.7622,0.8834,0.9592
44,0.2364,0.2682,0.8638,0.7603,0.8819,0.9559,0.2552,0.8663,0.7641,0.8847,0.9592
45,0.2346,0.2583,0.8651,0.7624,0.8829,0.9582,0.255,0.8652,0.7624,0.8837,0.9593
46,0.2329,0.2729,0.8604,0.755,0.8788,0.9537,0.263,0.8613,0.7565,0.8803,0.9565
47,0.2318,0.3529,0.8026,0.6703,0.8321,0.9357,0.3527,0.8013,0.6685,0.8318,0.9367
48,0.2456,0.2553,0.8681,0.7669,0.8857,0.9595,0.2533,0.8675,0.766,0.8858,0.9599
49,0.2372,0.2539,0.8685,0.7675,0.8859,0.9598,0.2521,0.8676,0.7662,0.8858,0.9602
50,0.233,0.2561,0.8676,0.7661,0.8851,0.9591,0.2532,0.8669,0.7652,0.8853,0.9598
51,0.2292,0.2553,0.8684,0.7674,0.8859,0.9594,0.2536,0.8677,0.7664,0.8861,0.9597
52,0.2267,0.267,0.8642,0.7608,0.8821,0.9566,0.2578,0.8635,0.7599,0.8822,0.9582
53,0.2239,0.2561,0.8663,0.7642,0.8839,0.9589,0.2552,0.865,0.7622,0.8835,0.9591
54,0.2219,0.2573,0.8673,0.7658,0.885,0.9588,0.2545,0.8672,0.7656,0.8856,0.9594
55,0.219,0.258,0.8664,0.7643,0.8841,0.9584,0.2559,0.8658,0.7634,0.8843,0.9589
56,0.2162,0.2584,0.8657,0.7632,0.8834,0.9582,0.2572,0.8647,0.7618,0.8833,0.9585
57,0.2211,0.2578,0.8661,0.7638,0.8838,0.9585,0.256,0.8655,0.7629,0.884,0.9589
58,0.214,0.2588,0.8647,0.7617,0.8825,0.9581,0.258,0.8638,0.7603,0.8824,0.9583
59,0.2114,0.262,0.8667,0.7648,0.8847,0.958,0.2603,0.8656,0.7632,0.8846,0.9581
60,0.209,0.2613,0.8655,0.7629,0.8834,0.9576,0.2601,0.8643,0.7611,0.8831,0.9578
61,0.2057,0.2623,0.864,0.7606,0.882,0.9572,0.2607,0.863,0.7591,0.8818,0.9576
62,0.2027,0.2638,0.8641,0.7608,0.8821,0.957,0.2625,0.863,0.7591,0.8819,0.9572
63,0.1999,0.2657,0.8633,0.7595,0.8814,0.9565,0.2654,0.8618,0.7573,0.8809,0.9564
64,0.1975,0.2667,0.8624,0.7581,0.8806,0.9563,0.2658,0.8612,0.7563,0.8803,0.9564
65,0.196,0.2676,0.8634,0.7597,0.8815,0.9563,0.2658,0.8621,0.7578,0.8812,0.9566
66,0.1939,0.2691,0.8634,0.7597,0.8816,0.956,0.2673,0.8619,0.7574,0.8811,0.9562
67,0.1907,0.2705,0.8638,0.7603,0.882,0.9561,0.2691,0.8623,0.758,0.8815,0.9561
68,0.1894,0.2728,0.8609,0.7558,0.8793,0.9551,0.2727,0.859,0.7529,0.8784,0.9549
69,0.1862,0.273,0.8614,0.7565,0.8797,0.9552,0.2723,0.8596,0.7538,0.8789,0.9551
70,0.1836,0.2754,0.8594,0.7534,0.8779,0.9544,0.273,0.8586,0.7523,0.878,0.9549
71,0.1825,0.2751,0.8607,0.7555,0.8792,0.9547,0.2736,0.8596,0.7538,0.879,0.9549
72,0.1806,0.2773,0.8592,0.7531,0.8777,0.9543,0.2757,0.8581,0.7516,0.8776,0.9546
73,0.1766,0.2807,0.8603,0.7549,0.8789,0.954,0.2803,0.8593,0.7534,0.8789,0.9539
74,0.1745,0.2834,0.8595,0.7536,0.8782,0.9535,0.2827,0.8585,0.7522,0.8782,0.9535
75,0.1732,0.2844,0.8585,0.7521,0.8772,0.9534,0.283,0.8575,0.7507,0.8772,0.9536
76,0.1711,0.2854,0.8568,0.7495,0.8757,0.953,0.2837,0.8559,0.7481,0.8757,0.9532
77,0.1709,0.2861,0.8584,0.752,0.8771,0.9532,0.284,0.8577,0.751,0.8774,0.9534
78,0.168,0.2867,0.8583,0.7518,0.8771,0.953,0.2838,0.8577,0.751,0.8774,0.9534
79,0.1645,0.2902,0.8576,0.7507,0.8764,0.9524,0.2875,0.857,0.7499,0.8768,0.9529
80,0.1626,0.2935,0.8555,0.7475,0.8746,0.9517,0.291,0.8551,0.7469,0.8751,0.9521
81,0.1603,0.2928,0.855,0.7467,0.8741,0.9514,0.2893,0.8545,0.7461,0.8746,0.9521
82,0.1608,0.296,0.8562,0.7485,0.8752,0.9519,0.2924,0.8561,0.7485,0.876,0.9526
83,0.1585,0.2956,0.8564,0.7489,0.8754,0.9518,0.2922,0.8561,0.7485,0.8761,0.9524
84,0.1539,0.298,0.856,0.7483,0.8751,0.9515,0.2943,0.856,0.7484,0.876,0.9521
85,0.152,0.2998,0.855,0.7467,0.8741,0.9511,0.2963,0.8549,0.7467,0.875,0.9517
86,0.1517,0.3036,0.8555,0.7475,0.8746,0.9508,0.2996,0.8558,0.7481,0.8759,0.9515
87,0.1478,0.3042,0.8536,0.7447,0.8729,0.9504,0.3009,0.8536,0.7447,0.8738,0.951
88,0.146,0.3078,0.8554,0.7473,0.8746,0.9505,0.3031,0.8554,0.7474,0.8755,0.9512
89,0.1444,0.308,0.8549,0.7465,0.8741,0.9502,0.3042,0.8547,0.7464,0.8749,0.9508
90,0.1426,0.3097,0.8539,0.7451,0.8732,0.9499,0.3055,0.8538,0.7451,0.8741,0.9506
91,0.141,0.3129,0.853,0.7437,0.8724,0.9495,0.3089,0.853,0.7438,0.8734,0.9502
92,0.1405,0.3167,0.8508,0.7403,0.8704,0.9491,0.3132,0.8505,0.74,0.8711,0.9498
93,0.1416,0.3162,0.8535,0.7445,0.8729,0.9495,0.3117,0.8535,0.7445,0.8738,0.9501
94,0.1395,0.3151,0.8545,0.746,0.8738,0.9501,0.3106,0.8543,0.7458,0.8745,0.9508
95,0.1393,0.3211,0.8517,0.7416,0.8712,0.9496,0.316,0.8513,0.7412,0.8718,0.9504
96,0.148,0.3146,0.852,0.7422,0.8715,0.9499,0.31,0.852,0.7423,0.8724,0.9507
97,0.154,0.3097,0.8555,0.7474,0.8745,0.9517,0.3074,0.854,0.7454,0.8741,0.9519
98,0.1578,0.3083,0.854,0.7451,0.8732,0.9513,0.3045,0.8532,0.7442,0.8734,0.952
99,0.1424,0.3172,0.8553,0.7473,0.8745,0.9503,0.3111,0.8559,0.7483,0.8761,0.9512
100,0.1341,0.3181,0.8522,0.7424,0.8717,0.9496,0.3139,0.8521,0.7425,0.8725,0.9503
