epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6963,0.641,0.6472,0.4785,0.6509,0.7269,0.6405,0.6448,0.4759,0.6524,0.7281
2,0.5586,0.517,0.7386,0.5856,0.7671,0.8522,0.518,0.735,0.5811,0.7663,0.8513
3,0.4821,0.462,0.7681,0.6235,0.7936,0.8795,0.4594,0.7666,0.6216,0.7944,0.8806
4,0.4429,0.4278,0.7771,0.6355,0.8048,0.8928,0.4255,0.7755,0.6333,0.805,0.894
5,0.4189,0.4119,0.7889,0.6514,0.8144,0.9006,0.41,0.787,0.6488,0.8143,0.9013
6,0.4026,0.3964,0.7922,0.6559,0.8183,0.9055,0.3942,0.7895,0.6522,0.8175,0.9063
7,0.3905,0.3898,0.7974,0.6631,0.8224,0.9086,0.3865,0.7964,0.6616,0.823,0.9098
8,0.3817,0.3795,0.7978,0.6636,0.8237,0.9117,0.3767,0.7962,0.6615,0.8238,0.9129
9,0.3737,0.3733,0.8016,0.6689,0.8268,0.9142,0.3699,0.8004,0.6672,0.8272,0.9156
10,0.3676,0.3692,0.8073,0.6769,0.8313,0.9168,0.3658,0.8068,0.6762,0.8322,0.9181
11,0.3593,0.3566,0.8094,0.6798,0.8341,0.9215,0.3544,0.8073,0.677,0.8336,0.9223
12,0.3508,0.3514,0.8155,0.6885,0.839,0.9244,0.3481,0.8154,0.6883,0.8401,0.9258
13,0.344,0.346,0.8204,0.6955,0.8432,0.9274,0.3425,0.8201,0.6951,0.8442,0.9286
14,0.3377,0.3371,0.8214,0.6969,0.8446,0.9302,0.3342,0.821,0.6963,0.8453,0.9314
15,0.3306,0.33,0.8253,0.7026,0.8481,0.9331,0.3276,0.8244,0.7013,0.8483,0.9341
16,0.3247,0.3242,0.8312,0.7111,0.8529,0.9359,0.322,0.8301,0.7096,0.853,0.9365
17,0.3175,0.3205,0.8365,0.719,0.8576,0.9384,0.3174,0.836,0.7182,0.8581,0.9392
18,0.3118,0.3123,0.8381,0.7213,0.8591,0.9406,0.3097,0.8375,0.7204,0.8595,0.9415
19,0.3053,0.3087,0.8425,0.7279,0.863,0.9426,0.3062,0.8421,0.7272,0.8635,0.9434
20,0.3002,0.3019,0.8429,0.7285,0.8634,0.9441,0.2997,0.8422,0.7275,0.8636,0.9448
21,0.2952,0.2987,0.8464,0.7338,0.8664,0.9456,0.2963,0.8461,0.7332,0.867,0.9464
22,0.2924,0.2957,0.8483,0.7365,0.8681,0.9468,0.2928,0.8478,0.7359,0.8685,0.9476
23,0.2878,0.2915,0.8498,0.7388,0.8694,0.948,0.2895,0.8492,0.738,0.8697,0.9486
24,0.2846,0.2906,0.8523,0.7427,0.8718,0.949,0.288,0.8522,0.7424,0.8724,0.9498
25,0.2816,0.2884,0.8532,0.7439,0.8725,0.9496,0.2856,0.8531,0.7438,0.8732,0.9504
26,0.2793,0.2839,0.8503,0.7396,0.8699,0.9502,0.2818,0.8498,0.7389,0.8702,0.951
27,0.2774,0.2825,0.8545,0.746,0.8737,0.951,0.2798,0.8547,0.7463,0.8746,0.9519
28,0.2738,0.2794,0.8556,0.7476,0.8746,0.9519,0.2768,0.8553,0.7473,0.875,0.9527
29,0.272,0.2851,0.8469,0.7345,0.867,0.9501,0.281,0.8477,0.7357,0.8683,0.9516
30,0.2703,0.279,0.8581,0.7515,0.8769,0.9529,0.277,0.8579,0.7511,0.8776,0.9534
31,0.2686,0.2741,0.8547,0.7463,0.8737,0.9536,0.2722,0.8539,0.7451,0.8736,0.9543
32,0.2657,0.2744,0.8604,0.755,0.8789,0.9543,0.2722,0.8602,0.7547,0.8796,0.9548
33,0.2636,0.2705,0.8602,0.7546,0.8786,0.9548,0.2686,0.8597,0.754,0.879,0.9553
34,0.2616,0.27,0.8616,0.7569,0.8799,0.9552,0.2677,0.8616,0.7568,0.8807,0.956
35,0.2599,0.2694,0.8624,0.7581,0.8807,0.9556,0.2673,0.8624,0.7581,0.8815,0.9563
36,0.258,0.2663,0.8609,0.7558,0.8792,0.9558,0.2644,0.8605,0.7553,0.8795,0.9564
37,0.2569,0.2658,0.8631,0.7592,0.8812,0.9563,0.2634,0.8627,0.7585,0.8815,0.957
38,0.2552,0.2644,0.8636,0.7599,0.8816,0.9567,0.2622,0.8632,0.7594,0.882,0.9573
39,0.2537,0.2636,0.8638,0.7602,0.8818,0.9569,0.2615,0.8635,0.7599,0.8823,0.9575
40,0.2521,0.2619,0.8641,0.7608,0.882,0.9574,0.2598,0.8636,0.76,0.8823,0.958
41,0.2516,0.2624,0.8654,0.7627,0.8833,0.9575,0.2598,0.8651,0.7623,0.8838,0.9582
42,0.2497,0.2625,0.8659,0.7635,0.8838,0.9578,0.2599,0.8654,0.7628,0.8841,0.9584
43,0.2489,0.2593,0.8638,0.7602,0.8816,0.9581,0.2576,0.8629,0.7589,0.8814,0.9586
44,0.2468,0.2598,0.8657,0.7632,0.8835,0.958,0.2577,0.8656,0.7631,0.8842,0.9587
45,0.2461,0.2602,0.8671,0.7654,0.8849,0.9584,0.2572,0.8671,0.7655,0.8857,0.9592
46,0.2439,0.2571,0.8662,0.764,0.8838,0.9588,0.2554,0.8656,0.7631,0.8839,0.9592
47,0.2545,0.257,0.8683,0.7673,0.8859,0.9592,0.255,0.8671,0.7654,0.8853,0.9595
48,0.2513,0.254,0.8701,0.7701,0.8874,0.9602,0.2516,0.8693,0.7688,0.8873,0.9607
49,0.2489,0.2521,0.8692,0.7687,0.8863,0.9604,0.2502,0.868,0.7668,0.8859,0.9609
50,0.2469,0.2526,0.8709,0.7714,0.8881,0.9606,0.2501,0.8704,0.7705,0.8883,0.9613
51,0.2453,0.2516,0.8698,0.7697,0.8869,0.9606,0.2493,0.8693,0.7689,0.8872,0.9613
52,0.2446,0.2516,0.8705,0.7708,0.8877,0.9607,0.2493,0.8702,0.7702,0.8881,0.9614
53,0.2432,0.2506,0.8706,0.7708,0.8876,0.9609,0.2484,0.8699,0.7699,0.8877,0.9615
54,0.2424,0.2507,0.8706,0.7709,0.8877,0.9609,0.2485,0.8697,0.7695,0.8875,0.9615
55,0.2411,0.2537,0.8716,0.7725,0.889,0.9609,0.2507,0.8715,0.7722,0.8896,0.9617
56,0.2397,0.2499,0.8717,0.7726,0.8887,0.9612,0.2471,0.8712,0.7719,0.889,0.962
57,0.238,0.2501,0.8684,0.7674,0.8855,0.961,0.2481,0.8676,0.7662,0.8853,0.9617
58,0.2371,0.2494,0.8717,0.7727,0.8887,0.9613,0.2467,0.8712,0.7719,0.8889,0.962
59,0.2381,0.2499,0.8721,0.7732,0.8891,0.9613,0.2467,0.8721,0.7732,0.8898,0.9622
60,0.2356,0.2505,0.868,0.7668,0.8852,0.9609,0.248,0.8677,0.7663,0.8854,0.9617
61,0.2343,0.2499,0.8717,0.7725,0.8887,0.9612,0.2468,0.8716,0.7725,0.8894,0.9621
62,0.2329,0.251,0.8724,0.7737,0.8896,0.9613,0.2482,0.8721,0.7733,0.8901,0.962
63,0.2317,0.2492,0.8716,0.7724,0.8886,0.9613,0.2464,0.8712,0.7719,0.8889,0.9621
64,0.2313,0.249,0.871,0.7716,0.888,0.9612,0.2464,0.8705,0.7708,0.8882,0.9619
65,0.2303,0.2496,0.8718,0.7727,0.8889,0.9613,0.2466,0.8715,0.7723,0.8892,0.962
66,0.2289,0.25,0.8715,0.7723,0.8886,0.9612,0.2473,0.8712,0.7718,0.889,0.9618
67,0.2275,0.2493,0.8703,0.7704,0.8873,0.9611,0.2467,0.87,0.7699,0.8876,0.9619
68,0.2262,0.2499,0.8706,0.7709,0.8876,0.961,0.2471,0.8702,0.7703,0.8879,0.9617
69,0.2252,0.2509,0.8718,0.7727,0.889,0.9611,0.2476,0.8717,0.7727,0.8896,0.9619
70,0.2245,0.2502,0.8702,0.7702,0.8873,0.9609,0.2476,0.87,0.77,0.8877,0.9616
71,0.2241,0.2497,0.8704,0.7706,0.8874,0.961,0.2469,0.8699,0.7698,0.8876,0.9618
72,0.2213,0.2509,0.8714,0.7721,0.8885,0.9609,0.2477,0.8711,0.7717,0.889,0.9617
73,0.2217,0.2518,0.8701,0.7701,0.8872,0.9604,0.249,0.8693,0.7689,0.8872,0.9612
74,0.22,0.2512,0.8701,0.7701,0.8872,0.9606,0.2485,0.8695,0.7692,0.8873,0.9613
75,0.2189,0.253,0.8711,0.7716,0.8884,0.9605,0.2499,0.8709,0.7713,0.8889,0.9612
76,0.2179,0.2522,0.8714,0.772,0.8886,0.9607,0.2493,0.8708,0.7712,0.8888,0.9613
77,0.2171,0.2535,0.871,0.7715,0.8883,0.9604,0.2501,0.8708,0.7713,0.8888,0.9611
78,0.2156,0.2525,0.8703,0.7705,0.8875,0.9604,0.2501,0.8695,0.7691,0.8874,0.9609
79,0.2151,0.2541,0.8707,0.7711,0.888,0.9603,0.2508,0.8705,0.7707,0.8885,0.961
80,0.2134,0.2543,0.8705,0.7707,0.8878,0.9601,0.2516,0.8699,0.7698,0.888,0.9607
81,0.2171,0.2519,0.8723,0.7735,0.8895,0.9612,0.2483,0.8723,0.7735,0.8902,0.9619
