epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6269,0.5891,0.6047,0.4335,0.6766,0.7585,0.5858,0.601,0.4298,0.6763,0.7609
2,0.5022,0.4686,0.7489,0.5986,0.779,0.8658,0.4658,0.7454,0.5942,0.7783,0.8666
3,0.4422,0.4223,0.7727,0.6296,0.8012,0.8891,0.4188,0.7695,0.6254,0.8004,0.8903
4,0.41,0.3982,0.7833,0.6439,0.8112,0.9001,0.3946,0.7809,0.6406,0.8107,0.9016
5,0.3911,0.3855,0.7945,0.6591,0.8202,0.907,0.3808,0.7938,0.6581,0.821,0.9088
6,0.3788,0.3739,0.7989,0.6651,0.8245,0.9119,0.3705,0.7976,0.6633,0.8247,0.9132
7,0.3675,0.3655,0.8049,0.6735,0.8298,0.9164,0.361,0.8037,0.6718,0.8301,0.9181
8,0.3581,0.3546,0.8093,0.6796,0.834,0.921,0.3513,0.807,0.6765,0.8334,0.9224
9,0.3487,0.3459,0.8143,0.6867,0.8385,0.9251,0.3432,0.8124,0.6841,0.8381,0.9262
10,0.3401,0.3379,0.8219,0.6977,0.8448,0.9291,0.3347,0.8204,0.6955,0.8446,0.93
11,0.3312,0.3295,0.8231,0.6994,0.8464,0.9326,0.3277,0.8207,0.696,0.8454,0.9335
12,0.3231,0.322,0.8282,0.7068,0.8508,0.9356,0.3203,0.826,0.7035,0.8498,0.9364
13,0.3162,0.3162,0.8344,0.7159,0.856,0.9383,0.3133,0.8338,0.7151,0.8564,0.9393
14,0.3084,0.3101,0.8391,0.7228,0.86,0.941,0.3074,0.8379,0.7211,0.8599,0.9417
15,0.3021,0.3054,0.8432,0.7289,0.8636,0.9432,0.3025,0.842,0.7272,0.8634,0.9438
16,0.2963,0.2987,0.8432,0.7289,0.8637,0.9449,0.2962,0.8416,0.7265,0.8631,0.9457
17,0.2922,0.2943,0.8452,0.7319,0.8655,0.9465,0.2922,0.8435,0.7294,0.8647,0.9472
18,0.2874,0.2914,0.8492,0.7379,0.8689,0.9477,0.2887,0.8477,0.7358,0.8684,0.9484
19,0.2837,0.2876,0.8502,0.7394,0.8698,0.9488,0.2855,0.848,0.7361,0.8685,0.9494
20,0.2796,0.285,0.8511,0.7408,0.8706,0.9496,0.2828,0.8498,0.7388,0.8701,0.9503
21,0.2767,0.2821,0.8535,0.7444,0.8727,0.9507,0.28,0.8519,0.7421,0.872,0.9513
22,0.2736,0.2806,0.8536,0.7446,0.8728,0.9511,0.2782,0.8525,0.743,0.8726,0.9518
23,0.2709,0.2815,0.8564,0.7488,0.8754,0.9517,0.2784,0.8556,0.7477,0.8755,0.9523
24,0.269,0.2768,0.8575,0.7506,0.8763,0.9527,0.2746,0.856,0.7483,0.8757,0.9531
25,0.2666,0.2762,0.8575,0.7506,0.8763,0.9529,0.2731,0.8568,0.7495,0.8763,0.9536
26,0.2637,0.2737,0.8579,0.7511,0.8766,0.9535,0.2714,0.8569,0.7497,0.8764,0.9541
27,0.2611,0.2712,0.8586,0.7523,0.8772,0.9541,0.2693,0.8573,0.7503,0.8767,0.9547
28,0.2575,0.2718,0.8592,0.7532,0.8778,0.9541,0.2689,0.8586,0.7523,0.878,0.9548
29,0.2554,0.2708,0.8609,0.7558,0.8794,0.9547,0.2679,0.8602,0.7548,0.8795,0.9554
30,0.2542,0.2704,0.8609,0.7558,0.8794,0.9548,0.2673,0.8604,0.7551,0.8796,0.9555
31,0.2518,0.268,0.8604,0.7549,0.8787,0.9551,0.2659,0.8592,0.7532,0.8783,0.9557
32,0.2497,0.2682,0.8607,0.7555,0.8791,0.9551,0.2655,0.8601,0.7545,0.8792,0.9558
33,0.2471,0.2667,0.8602,0.7547,0.8785,0.9554,0.2645,0.859,0.7529,0.8781,0.9561
34,0.2447,0.2662,0.8612,0.7562,0.8794,0.9556,0.2639,0.8604,0.7551,0.8794,0.9562
35,0.2432,0.2662,0.8608,0.7556,0.8791,0.9555,0.2641,0.8594,0.7535,0.8785,0.9562
36,0.2413,0.2659,0.8623,0.758,0.8806,0.9559,0.2633,0.8615,0.7568,0.8805,0.9565
37,0.2391,0.2654,0.8623,0.7579,0.8805,0.9559,0.2632,0.8612,0.7562,0.8801,0.9565
38,0.2359,0.2673,0.8627,0.7586,0.881,0.9557,0.2642,0.8618,0.7571,0.8808,0.9563
39,0.2329,0.2659,0.862,0.7575,0.8803,0.9558,0.2636,0.8609,0.7559,0.88,0.9563
40,0.2305,0.2665,0.8614,0.7566,0.8797,0.9555,0.2646,0.8601,0.7547,0.8792,0.956
41,0.2281,0.2674,0.8623,0.7579,0.8806,0.9555,0.2645,0.8615,0.7567,0.8805,0.9561
42,0.2247,0.2686,0.8624,0.7581,0.8808,0.9554,0.2656,0.8618,0.7572,0.8809,0.956
43,0.2217,0.2686,0.8625,0.7582,0.8809,0.9555,0.2651,0.8622,0.7578,0.8813,0.9562
44,0.2192,0.269,0.8619,0.7573,0.8802,0.9552,0.2666,0.861,0.756,0.8802,0.9556
45,0.2175,0.2684,0.8617,0.757,0.88,0.9553,0.2657,0.8607,0.7556,0.8798,0.9558
46,0.2148,0.2694,0.8609,0.7558,0.8793,0.9549,0.2671,0.8598,0.7541,0.879,0.9554
47,0.212,0.2705,0.861,0.7559,0.8794,0.9548,0.2674,0.8606,0.7554,0.8798,0.9554
48,0.2106,0.2741,0.8615,0.7568,0.8801,0.9547,0.2704,0.8614,0.7566,0.8808,0.9553
49,0.2069,0.2729,0.8601,0.7546,0.8787,0.9543,0.2697,0.8599,0.7543,0.8792,0.9549
50,0.2042,0.2737,0.8592,0.7532,0.8778,0.954,0.2707,0.8588,0.7526,0.8782,0.9546
51,0.2022,0.2776,0.86,0.7544,0.8787,0.9536,0.2736,0.8599,0.7543,0.8795,0.9543
52,0.1996,0.2776,0.8597,0.7539,0.8784,0.9536,0.2731,0.8599,0.7543,0.8794,0.9544
53,0.1968,0.2778,0.8593,0.7534,0.8781,0.9534,0.2735,0.8595,0.7536,0.8789,0.9543
54,0.1937,0.2806,0.8589,0.7527,0.8777,0.953,0.2756,0.8594,0.7535,0.8789,0.954
55,0.1916,0.2811,0.8586,0.7522,0.8774,0.9529,0.2765,0.8588,0.7526,0.8783,0.9538
56,0.1882,0.2808,0.8581,0.7515,0.8769,0.953,0.2771,0.858,0.7514,0.8776,0.9537
57,0.1872,0.284,0.8555,0.7475,0.8745,0.9522,0.2815,0.8548,0.7465,0.8746,0.9527
58,0.1844,0.2844,0.8565,0.749,0.8754,0.9522,0.2808,0.8563,0.7488,0.876,0.953
59,0.1818,0.2862,0.8571,0.7499,0.876,0.9521,0.2816,0.8571,0.7501,0.8768,0.953
60,0.1807,0.2866,0.8571,0.75,0.8761,0.9519,0.2819,0.8571,0.7501,0.8768,0.9528
61,0.1771,0.2894,0.8576,0.7507,0.8765,0.952,0.2841,0.8578,0.7511,0.8775,0.9529
62,0.1741,0.2923,0.856,0.7483,0.8752,0.9512,0.2867,0.8569,0.7497,0.8767,0.9523
63,0.1715,0.2932,0.8557,0.7478,0.8748,0.9512,0.2878,0.8562,0.7486,0.8761,0.9522
64,0.1713,0.2931,0.8547,0.7463,0.8739,0.9511,0.2882,0.8551,0.7469,0.875,0.9521
65,0.1692,0.2957,0.8554,0.7474,0.8746,0.9507,0.2902,0.8559,0.7482,0.8758,0.9517
66,0.1654,0.2991,0.8549,0.7466,0.8742,0.9503,0.293,0.8557,0.7479,0.8757,0.9514
67,0.1644,0.2996,0.8553,0.7472,0.8745,0.9505,0.2938,0.8558,0.7481,0.8758,0.9515
68,0.1621,0.301,0.8538,0.7449,0.8731,0.9502,0.295,0.8546,0.7462,0.8746,0.9513
69,0.1596,0.3043,0.8531,0.7438,0.8725,0.9496,0.298,0.8539,0.7452,0.874,0.9508
70,0.1563,0.3054,0.8544,0.7458,0.8737,0.95,0.299,0.8553,0.7472,0.8753,0.951
71,0.1545,0.3082,0.8542,0.7455,0.8735,0.9497,0.3011,0.8553,0.7473,0.8754,0.9509
72,0.1526,0.3098,0.8526,0.7431,0.8721,0.9493,0.3035,0.8533,0.7443,0.8735,0.9505
73,0.1511,0.3124,0.8527,0.7432,0.8722,0.9489,0.3058,0.8538,0.7451,0.8741,0.95
74,0.1494,0.315,0.8517,0.7417,0.8713,0.9484,0.3078,0.8527,0.7433,0.873,0.9497
75,0.1476,0.3166,0.8516,0.7416,0.8712,0.9483,0.3085,0.853,0.7438,0.8733,0.9497
76,0.1443,0.3179,0.8529,0.7436,0.8724,0.9488,0.3108,0.8536,0.7447,0.8739,0.9499
77,0.1441,0.3203,0.8519,0.742,0.8715,0.9483,0.3131,0.8525,0.7431,0.8729,0.9495
78,0.141,0.3209,0.8524,0.7428,0.872,0.9484,0.3134,0.8535,0.7446,0.8738,0.9496
79,0.1397,0.3259,0.8522,0.7425,0.8718,0.948,0.3177,0.8534,0.7444,0.8738,0.9493
80,0.1375,0.3267,0.8505,0.7398,0.8702,0.9478,0.3197,0.8513,0.7412,0.8718,0.9489
81,0.1365,0.3284,0.8495,0.7384,0.8694,0.9475,0.3213,0.8506,0.7402,0.8712,0.9487
82,0.1345,0.3316,0.8514,0.7413,0.8711,0.9475,0.3231,0.8527,0.7434,0.8732,0.9488
83,0.133,0.3321,0.8506,0.7401,0.8704,0.9475,0.3247,0.8515,0.7415,0.872,0.9486
84,0.1327,0.3372,0.8502,0.7395,0.87,0.9468,0.3283,0.8517,0.7418,0.8723,0.9481
85,0.1303,0.3365,0.8486,0.737,0.8686,0.947,0.3283,0.8499,0.7392,0.8706,0.9483
86,0.1295,0.3402,0.849,0.7377,0.869,0.9466,0.3321,0.8496,0.7387,0.8704,0.9478
87,0.1271,0.3387,0.8496,0.7385,0.8695,0.9471,0.3301,0.8509,0.7406,0.8715,0.9485
88,0.1253,0.3439,0.8497,0.7387,0.8696,0.9465,0.3354,0.851,0.7408,0.8716,0.9477
89,0.1233,0.3504,0.8501,0.7393,0.8699,0.9463,0.3403,0.8515,0.7416,0.8722,0.9477
90,0.1221,0.3481,0.8493,0.7382,0.8693,0.9463,0.3394,0.8507,0.7403,0.8714,0.9476
91,0.1212,0.3484,0.8483,0.7366,0.8683,0.9461,0.3394,0.8497,0.7388,0.8705,0.9475
92,0.1187,0.3523,0.848,0.7361,0.868,0.946,0.3442,0.8489,0.7376,0.8697,0.9471
93,0.1184,0.3562,0.8482,0.7365,0.8683,0.9455,0.3465,0.8497,0.7389,0.8706,0.9469
94,0.1171,0.3566,0.8493,0.738,0.8692,0.9462,0.3466,0.851,0.7408,0.8717,0.9475
95,0.1133,0.3597,0.8487,0.7372,0.8687,0.9457,0.3498,0.8501,0.7395,0.8709,0.9471
96,0.1139,0.3601,0.847,0.7347,0.8672,0.9454,0.3502,0.8483,0.7368,0.8692,0.9469
97,0.1128,0.3664,0.8478,0.7358,0.8679,0.9449,0.3554,0.8491,0.738,0.87,0.9464
98,0.1112,0.3675,0.8477,0.7357,0.8678,0.9451,0.3563,0.8493,0.7383,0.8702,0.9465
99,0.109,0.3697,0.8479,0.7359,0.868,0.9451,0.3586,0.8494,0.7384,0.8703,0.9466
100,0.1086,0.3729,0.8458,0.7328,0.8662,0.9446,0.363,0.8472,0.7351,0.8683,0.946
