epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.677,0.6241,0.6605,0.4932,0.6661,0.753,0.6249,0.6537,0.4856,0.6641,0.7479
2,0.5419,0.5165,0.7441,0.5925,0.7662,0.8542,0.5141,0.7432,0.5914,0.7684,0.8554
3,0.4718,0.4594,0.7692,0.625,0.7943,0.8804,0.4565,0.7683,0.6238,0.7957,0.8815
4,0.4329,0.4275,0.7811,0.6408,0.8065,0.8924,0.4245,0.7809,0.6406,0.8083,0.894
5,0.409,0.4035,0.7871,0.6489,0.8136,0.9006,0.4013,0.7859,0.6474,0.8142,0.9016
6,0.3922,0.394,0.7959,0.6609,0.8206,0.9062,0.3909,0.7949,0.6596,0.8214,0.9073
7,0.3806,0.3805,0.7972,0.6628,0.8228,0.9099,0.3781,0.7961,0.6613,0.8234,0.9108
8,0.3703,0.371,0.803,0.6709,0.8279,0.9144,0.3682,0.8017,0.669,0.8282,0.9154
9,0.3612,0.3624,0.8063,0.6755,0.8311,0.9179,0.359,0.8056,0.6745,0.8319,0.9193
10,0.3535,0.3526,0.8096,0.6801,0.8344,0.9221,0.3501,0.8081,0.678,0.8345,0.9232
11,0.344,0.3456,0.8205,0.6956,0.8432,0.9269,0.3427,0.8192,0.6938,0.8434,0.9277
12,0.3344,0.334,0.8204,0.6955,0.844,0.9304,0.3324,0.8179,0.692,0.843,0.9312
13,0.3256,0.3287,0.8308,0.7106,0.8524,0.9343,0.3253,0.8297,0.709,0.8526,0.9351
14,0.3175,0.3187,0.8333,0.7142,0.8549,0.9373,0.317,0.8311,0.7111,0.8541,0.9378
15,0.3097,0.3118,0.8376,0.7205,0.8587,0.9401,0.3101,0.8354,0.7174,0.8578,0.9406
16,0.303,0.3071,0.8424,0.7278,0.8629,0.9427,0.305,0.8408,0.7253,0.8625,0.943
17,0.2966,0.3,0.8423,0.7276,0.8629,0.9444,0.2981,0.8404,0.7248,0.8622,0.9451
18,0.2916,0.2965,0.8475,0.7354,0.8674,0.9462,0.2947,0.8459,0.7329,0.8669,0.9466
19,0.287,0.2916,0.8477,0.7357,0.8676,0.9474,0.2903,0.8458,0.7329,0.8668,0.9478
20,0.2829,0.2876,0.8483,0.7365,0.8681,0.9487,0.2865,0.8461,0.7333,0.867,0.9491
21,0.2795,0.2851,0.8504,0.7397,0.87,0.9495,0.2844,0.848,0.7362,0.8687,0.9498
22,0.2757,0.2818,0.8523,0.7427,0.8717,0.9507,0.2806,0.85,0.7392,0.8704,0.9511
23,0.2726,0.2791,0.8531,0.7439,0.8723,0.9516,0.2781,0.8514,0.7412,0.8716,0.952
24,0.2708,0.2773,0.8559,0.7482,0.8749,0.9522,0.2749,0.8548,0.7464,0.8746,0.9529
25,0.2671,0.2759,0.8577,0.7509,0.8765,0.9529,0.2732,0.8567,0.7494,0.8763,0.9536
26,0.264,0.2746,0.8594,0.7535,0.878,0.9536,0.2719,0.8585,0.7521,0.8779,0.9542
27,0.2627,0.2716,0.8585,0.7521,0.8771,0.954,0.2695,0.8573,0.7502,0.8767,0.9547
28,0.2602,0.2725,0.8613,0.7563,0.8797,0.9545,0.269,0.8606,0.7554,0.8799,0.9552
29,0.2579,0.2699,0.8623,0.758,0.8806,0.9553,0.2667,0.8616,0.7569,0.8808,0.9559
30,0.2564,0.2671,0.8599,0.7543,0.8783,0.9555,0.2656,0.8583,0.7518,0.8775,0.956
31,0.2541,0.2675,0.8631,0.7593,0.8813,0.9559,0.2647,0.8622,0.7579,0.8813,0.9565
32,0.2523,0.2651,0.8606,0.7552,0.8788,0.9561,0.2636,0.8588,0.7525,0.8779,0.9566
33,0.2513,0.2646,0.8645,0.7613,0.8825,0.9568,0.2617,0.8636,0.7599,0.8824,0.9573
34,0.2494,0.2622,0.8639,0.7604,0.8818,0.9571,0.2603,0.8623,0.758,0.8811,0.9576
35,0.2474,0.2635,0.8651,0.7623,0.8831,0.9572,0.2604,0.8644,0.7613,0.8831,0.9578
36,0.246,0.2629,0.8657,0.7632,0.8836,0.9574,0.2599,0.8649,0.7619,0.8836,0.9579
37,0.2436,0.2607,0.8629,0.7588,0.8808,0.9575,0.2588,0.8615,0.7568,0.8802,0.9582
38,0.2423,0.2599,0.8658,0.7634,0.8835,0.9579,0.2573,0.8648,0.7619,0.8833,0.9585
39,0.2408,0.2602,0.8661,0.7639,0.8839,0.9579,0.2575,0.8653,0.7627,0.8839,0.9585
40,0.2397,0.2605,0.8648,0.7618,0.8826,0.9576,0.2585,0.8634,0.7597,0.882,0.9581
41,0.2441,0.2562,0.8651,0.7623,0.8827,0.959,0.2541,0.8644,0.7612,0.8827,0.9596
42,0.242,0.2557,0.8677,0.7663,0.8852,0.9592,0.2529,0.8676,0.7662,0.8858,0.9599
43,0.2397,0.2547,0.8675,0.7661,0.885,0.9595,0.2525,0.8665,0.7644,0.8846,0.96
44,0.2371,0.2551,0.8684,0.7675,0.8858,0.9595,0.2521,0.8678,0.7666,0.8859,0.9602
45,0.2348,0.2554,0.8647,0.7616,0.8822,0.9594,0.2533,0.8639,0.7604,0.8821,0.9601
46,0.2325,0.2552,0.867,0.7653,0.8845,0.9594,0.2528,0.8661,0.764,0.8843,0.96
47,0.2318,0.2569,0.8692,0.7687,0.8867,0.9595,0.2531,0.8689,0.7683,0.8872,0.9602
48,0.2296,0.2558,0.8654,0.7628,0.883,0.9593,0.2531,0.8646,0.7616,0.8828,0.9601
49,0.2284,0.2558,0.8691,0.7685,0.8865,0.9596,0.2516,0.8691,0.7686,0.8872,0.9605
50,0.2275,0.2558,0.8694,0.769,0.8869,0.9597,0.2521,0.8692,0.7688,0.8874,0.9604
51,0.2256,0.2545,0.8681,0.7669,0.8855,0.9597,0.2523,0.8671,0.7654,0.8852,0.9602
52,0.2246,0.2552,0.8687,0.768,0.8861,0.9596,0.2526,0.8678,0.7666,0.886,0.9601
