epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6434,0.6018,0.6539,0.4858,0.6795,0.7488,0.5981,0.6504,0.482,0.6814,0.7505
2,0.5176,0.4893,0.7475,0.5968,0.774,0.8596,0.4852,0.7473,0.5965,0.7762,0.8623
3,0.4534,0.444,0.771,0.6273,0.7966,0.8832,0.4415,0.7701,0.6261,0.7979,0.8844
4,0.4204,0.4284,0.7739,0.6312,0.801,0.8863,0.4244,0.7735,0.6307,0.8024,0.8885
5,0.3988,0.3953,0.7899,0.6528,0.8158,0.903,0.3923,0.7879,0.65,0.8158,0.9042
6,0.3832,0.383,0.7946,0.6592,0.8205,0.9081,0.3801,0.7926,0.6564,0.8204,0.9093
7,0.3714,0.3733,0.8021,0.6696,0.8269,0.9132,0.3696,0.8006,0.6675,0.8272,0.9146
8,0.3611,0.3632,0.8093,0.6797,0.8331,0.9183,0.3595,0.8077,0.6775,0.8333,0.9195
9,0.3505,0.3507,0.8108,0.6819,0.8356,0.9231,0.3485,0.8082,0.6781,0.8347,0.9242
10,0.3409,0.3412,0.8202,0.6953,0.8434,0.928,0.3387,0.818,0.692,0.8427,0.9289
11,0.3304,0.3318,0.8264,0.7042,0.8488,0.932,0.3291,0.8244,0.7012,0.8482,0.9329
12,0.3212,0.3242,0.8321,0.7125,0.8537,0.9355,0.3218,0.8301,0.7096,0.8532,0.9361
13,0.313,0.3172,0.8377,0.7207,0.8586,0.939,0.3145,0.8362,0.7186,0.8584,0.9395
14,0.3051,0.3098,0.8387,0.7222,0.8597,0.9408,0.3078,0.8364,0.7189,0.8587,0.9414
15,0.2981,0.3051,0.8443,0.7306,0.8645,0.9436,0.302,0.8432,0.729,0.8646,0.9441
16,0.2924,0.298,0.8449,0.7315,0.8652,0.9451,0.2967,0.8428,0.7283,0.8642,0.9454
17,0.2876,0.2931,0.846,0.7331,0.8661,0.9467,0.2926,0.8433,0.729,0.8646,0.9469
18,0.2818,0.2909,0.8498,0.7388,0.8694,0.9477,0.2892,0.8474,0.7353,0.8683,0.948
19,0.2782,0.2877,0.8514,0.7413,0.8709,0.9488,0.2857,0.85,0.7391,0.8705,0.9492
20,0.2742,0.285,0.8533,0.7442,0.8726,0.9498,0.2831,0.8517,0.7418,0.872,0.9501
21,0.2709,0.282,0.8542,0.7455,0.8733,0.9506,0.2804,0.8525,0.743,0.8727,0.9509
