epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6497,0.6409,0.445,0.2862,0.6155,0.7023,0.6464,0.425,0.2699,0.6097,0.6976
2,0.5267,0.492,0.6871,0.5233,0.7415,0.8429,0.4926,0.6778,0.5127,0.7376,0.8427
3,0.465,0.4406,0.7484,0.5979,0.7836,0.8778,0.4408,0.7411,0.5888,0.7802,0.8774
4,0.4336,0.4123,0.7746,0.6321,0.8037,0.8939,0.4121,0.7689,0.6246,0.801,0.8933
5,0.4138,0.3957,0.7856,0.6469,0.813,0.902,0.3954,0.7802,0.6397,0.8103,0.9016
6,0.4013,0.3841,0.7914,0.6548,0.8182,0.9071,0.3841,0.7861,0.6476,0.8154,0.9068
7,0.3927,0.3752,0.795,0.6598,0.8217,0.9111,0.3756,0.7897,0.6526,0.8188,0.9106
8,0.3863,0.3694,0.7984,0.6644,0.8246,0.9135,0.3694,0.7934,0.6576,0.8219,0.9133
9,0.3815,0.3642,0.8052,0.674,0.8297,0.9163,0.3632,0.8014,0.6686,0.8279,0.9162
10,0.3774,0.359,0.8038,0.6719,0.8293,0.9181,0.3588,0.7995,0.666,0.8271,0.918
11,0.3734,0.3547,0.8085,0.6786,0.8331,0.9202,0.3544,0.8041,0.6724,0.8307,0.9201
12,0.3687,0.3477,0.8137,0.6859,0.8375,0.9237,0.3473,0.8096,0.6802,0.8354,0.9236
13,0.3628,0.3412,0.8178,0.6917,0.8412,0.9269,0.3404,0.8147,0.6873,0.8397,0.9269
14,0.3564,0.334,0.8222,0.6981,0.8452,0.9305,0.3332,0.8192,0.6937,0.8437,0.9306
15,0.3509,0.3273,0.8283,0.7069,0.8504,0.9337,0.3262,0.8259,0.7034,0.8494,0.9337
16,0.3453,0.3196,0.8303,0.7099,0.8525,0.9367,0.3192,0.8274,0.7056,0.8509,0.9368
17,0.3393,0.3132,0.833,0.7138,0.8549,0.9393,0.3135,0.83,0.7094,0.8532,0.9392
18,0.3346,0.3074,0.8392,0.723,0.8601,0.9418,0.3071,0.8367,0.7193,0.8589,0.9416
19,0.3305,0.3019,0.8407,0.7252,0.8615,0.9435,0.302,0.8377,0.7207,0.8597,0.9434
20,0.3275,0.2991,0.841,0.7256,0.8618,0.9446,0.2995,0.8378,0.7209,0.8599,0.9445
21,0.325,0.2964,0.8416,0.7265,0.8624,0.9459,0.2974,0.8375,0.7205,0.8597,0.9459
22,0.3215,0.2926,0.8484,0.7368,0.8682,0.9472,0.2915,0.8465,0.7339,0.8674,0.9474
23,0.3197,0.2896,0.8496,0.7385,0.8692,0.9482,0.2891,0.8475,0.7353,0.8682,0.9482
24,0.317,0.2872,0.8519,0.742,0.8713,0.9492,0.286,0.8499,0.739,0.8704,0.9492
25,0.3151,0.2851,0.8468,0.7343,0.8669,0.9498,0.2864,0.8434,0.7292,0.8647,0.9497
26,0.3127,0.2815,0.8523,0.7426,0.8716,0.9507,0.2817,0.8497,0.7387,0.8701,0.9505
27,0.3113,0.281,0.8496,0.7386,0.8693,0.9512,0.2818,0.8468,0.7343,0.8675,0.9511
28,0.3096,0.2789,0.8562,0.7486,0.8751,0.9519,0.2778,0.8544,0.7459,0.8743,0.9519
29,0.3081,0.2773,0.8538,0.7449,0.8729,0.9522,0.2775,0.851,0.7406,0.8711,0.9523
30,0.3067,0.2764,0.8583,0.7518,0.8771,0.953,0.2752,0.8564,0.749,0.8762,0.953
31,0.305,0.2745,0.8548,0.7464,0.8737,0.9533,0.2747,0.8524,0.7428,0.8723,0.9533
32,0.3038,0.2722,0.8587,0.7524,0.8772,0.9539,0.2715,0.8566,0.7493,0.8761,0.954
33,0.3026,0.2702,0.859,0.7529,0.8775,0.9544,0.2702,0.8565,0.7491,0.876,0.9543
34,0.3009,0.2698,0.8604,0.7551,0.8789,0.9547,0.2689,0.8586,0.7522,0.8779,0.9548
35,0.2996,0.268,0.8601,0.7545,0.8784,0.9551,0.268,0.8576,0.7507,0.8769,0.9551
36,0.299,0.2675,0.8595,0.7536,0.8779,0.9554,0.2675,0.8571,0.75,0.8764,0.9554
37,0.2982,0.2655,0.8612,0.7562,0.8794,0.9559,0.2655,0.8587,0.7524,0.8778,0.9559
38,0.2972,0.2647,0.8626,0.7584,0.8807,0.9563,0.2641,0.8605,0.7552,0.8795,0.9563
39,0.2969,0.264,0.8617,0.7569,0.8798,0.9565,0.2636,0.86,0.7545,0.879,0.9566
40,0.2954,0.2628,0.8632,0.7593,0.8812,0.9569,0.2627,0.8608,0.7557,0.8798,0.9568
41,0.2943,0.262,0.8635,0.7598,0.8814,0.9571,0.2614,0.8616,0.7569,0.8804,0.9573
42,0.2929,0.2614,0.8649,0.762,0.8828,0.9574,0.2604,0.863,0.759,0.8817,0.9575
43,0.2929,0.2597,0.8641,0.7607,0.8819,0.9577,0.2598,0.8616,0.7569,0.8803,0.9577
44,0.2915,0.2592,0.8635,0.7598,0.8813,0.958,0.2597,0.8607,0.7555,0.8794,0.958
45,0.2903,0.2584,0.8651,0.7623,0.8828,0.9581,0.258,0.8631,0.7591,0.8816,0.9582
46,0.2901,0.2593,0.8671,0.7654,0.8849,0.9585,0.2575,0.8659,0.7635,0.8845,0.9586
47,0.2888,0.2565,0.8662,0.7639,0.8837,0.9589,0.2568,0.8635,0.7598,0.8819,0.9587
48,0.2883,0.2559,0.8666,0.7646,0.8842,0.959,0.2556,0.8647,0.7616,0.883,0.959
49,0.2878,0.2549,0.8675,0.766,0.885,0.9593,0.2549,0.8653,0.7626,0.8837,0.9591
50,0.2871,0.255,0.8682,0.7672,0.8857,0.9594,0.2542,0.8664,0.7644,0.8847,0.9594
51,0.2854,0.2549,0.8681,0.7669,0.8855,0.9594,0.2547,0.8658,0.7635,0.8842,0.9593
52,0.2854,0.254,0.8675,0.766,0.885,0.9596,0.2538,0.8654,0.7628,0.8837,0.9595
53,0.2846,0.2545,0.8691,0.7684,0.8865,0.9597,0.2533,0.8675,0.766,0.8857,0.9597
54,0.2836,0.2531,0.8688,0.7681,0.8862,0.96,0.2529,0.867,0.7653,0.8852,0.9599
55,0.2825,0.2543,0.8698,0.7697,0.8873,0.96,0.2529,0.8685,0.7676,0.8867,0.96
56,0.2826,0.2519,0.8692,0.7687,0.8865,0.9602,0.2518,0.8671,0.7654,0.8852,0.9601
57,0.2811,0.2515,0.8679,0.7667,0.8852,0.9604,0.2523,0.8654,0.7628,0.8835,0.9601
58,0.2805,0.2515,0.8698,0.7696,0.887,0.9604,0.2514,0.8675,0.766,0.8855,0.9602
59,0.2806,0.2512,0.8704,0.7705,0.8876,0.9606,0.251,0.8682,0.7672,0.8863,0.9604
60,0.279,0.2509,0.8703,0.7704,0.8875,0.9606,0.2506,0.8684,0.7675,0.8864,0.9605
61,0.2788,0.2503,0.8691,0.7686,0.8863,0.9607,0.2508,0.8667,0.7647,0.8847,0.9605
62,0.2789,0.2503,0.8708,0.7712,0.888,0.9608,0.2497,0.8687,0.768,0.8867,0.9608
63,0.2771,0.25,0.87,0.7699,0.8871,0.9608,0.2497,0.868,0.7669,0.8859,0.9608
64,0.2781,0.2494,0.8699,0.7698,0.887,0.961,0.2504,0.8672,0.7656,0.8852,0.9607
65,0.2765,0.249,0.87,0.7699,0.8871,0.9611,0.2494,0.8675,0.766,0.8854,0.961
66,0.2759,0.2505,0.8714,0.7721,0.8886,0.9609,0.25,0.8696,0.7693,0.8876,0.9607
67,0.2783,0.2485,0.8727,0.7742,0.8897,0.9616,0.2477,0.8705,0.7707,0.8883,0.9614
68,0.2775,0.2478,0.8702,0.7703,0.8872,0.9615,0.2485,0.8674,0.7659,0.8853,0.9613
69,0.2757,0.2484,0.8686,0.7677,0.8855,0.9617,0.2502,0.865,0.7622,0.883,0.9614
70,0.2747,0.2477,0.8715,0.7723,0.8885,0.9615,0.2477,0.8693,0.7689,0.8871,0.9614
71,0.2742,0.2482,0.8728,0.7743,0.8898,0.9617,0.2477,0.8707,0.771,0.8885,0.9615
72,0.273,0.2471,0.8729,0.7744,0.8898,0.9619,0.2469,0.8706,0.7709,0.8884,0.9616
73,0.2731,0.2476,0.8726,0.774,0.8895,0.9617,0.2473,0.8701,0.7702,0.8879,0.9615
74,0.2727,0.2488,0.8731,0.7748,0.8902,0.9617,0.2478,0.8712,0.7718,0.889,0.9615
75,0.2716,0.2471,0.8709,0.7713,0.8878,0.9618,0.2483,0.8679,0.7667,0.8857,0.9615
76,0.2705,0.2481,0.8731,0.7748,0.8902,0.9618,0.2469,0.8715,0.7723,0.8893,0.9617
77,0.2701,0.2475,0.8725,0.7739,0.8894,0.9617,0.2475,0.8703,0.7704,0.888,0.9615
78,0.2697,0.2493,0.8736,0.7756,0.8908,0.9619,0.2478,0.8722,0.7734,0.8902,0.9618
79,0.2691,0.247,0.8716,0.7725,0.8885,0.9619,0.2476,0.869,0.7684,0.8867,0.9617
80,0.269,0.2481,0.8729,0.7745,0.8899,0.9617,0.2474,0.8711,0.7717,0.8889,0.9615
81,0.2687,0.2464,0.8725,0.7738,0.8893,0.962,0.2465,0.8701,0.7702,0.8877,0.9618
82,0.2672,0.2464,0.8726,0.774,0.8894,0.962,0.247,0.87,0.7699,0.8877,0.9617
83,0.2668,0.2466,0.8722,0.7734,0.889,0.9619,0.2472,0.8696,0.7694,0.8873,0.9617
84,0.267,0.2468,0.8732,0.7749,0.8901,0.9619,0.2467,0.8707,0.7711,0.8884,0.9617
85,0.2662,0.2477,0.8739,0.7761,0.8909,0.9621,0.2461,0.872,0.7732,0.8898,0.962
86,0.2659,0.2472,0.8725,0.7738,0.8893,0.962,0.248,0.8697,0.7695,0.8874,0.9616
87,0.2649,0.2466,0.8735,0.7754,0.8903,0.962,0.246,0.8713,0.7721,0.889,0.962
88,0.265,0.248,0.8735,0.7754,0.8905,0.9619,0.2474,0.8717,0.7726,0.8894,0.9617
89,0.2629,0.2468,0.8736,0.7755,0.8904,0.9621,0.2467,0.8713,0.7721,0.889,0.9618
90,0.2629,0.2473,0.8729,0.7745,0.8897,0.9618,0.2476,0.8701,0.7702,0.8878,0.9615
91,0.2627,0.2471,0.8732,0.775,0.89,0.9621,0.2476,0.8704,0.7707,0.8881,0.9617
92,0.2625,0.2474,0.8717,0.7725,0.8884,0.9621,0.2482,0.869,0.7684,0.8866,0.9619
93,0.2623,0.2459,0.8741,0.7763,0.8909,0.9622,0.2459,0.8715,0.7724,0.8892,0.962
94,0.2604,0.2465,0.8739,0.776,0.8907,0.9622,0.2467,0.8715,0.7723,0.8891,0.9619
95,0.2609,0.2484,0.8739,0.7761,0.8909,0.962,0.2472,0.8721,0.7733,0.8899,0.9619
96,0.2609,0.2488,0.8742,0.7766,0.8913,0.962,0.2474,0.8726,0.7741,0.8905,0.9619
97,0.2598,0.2461,0.8721,0.7732,0.8888,0.9622,0.2472,0.8692,0.7687,0.8868,0.9619
98,0.2591,0.2474,0.8745,0.777,0.8914,0.9623,0.2469,0.8725,0.7739,0.8902,0.962
99,0.2585,0.2472,0.8733,0.7751,0.8901,0.9619,0.2478,0.8705,0.7708,0.8882,0.9616
100,0.2587,0.2476,0.8731,0.7748,0.8899,0.962,0.248,0.8705,0.7708,0.8882,0.9617
