epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6127,0.6007,0.5442,0.3739,0.649,0.7277,0.5944,0.5399,0.3698,0.6496,0.7338
2,0.4833,0.4548,0.7477,0.5971,0.7806,0.8718,0.4531,0.7437,0.592,0.7797,0.8725
3,0.4355,0.4134,0.7725,0.6293,0.8021,0.8924,0.4116,0.7683,0.6238,0.8006,0.8931
4,0.4123,0.3922,0.7839,0.6446,0.8122,0.9024,0.3905,0.7804,0.64,0.811,0.9033
5,0.3979,0.3792,0.7943,0.6588,0.8206,0.9088,0.376,0.7928,0.6568,0.8209,0.9102
6,0.3902,0.3698,0.7991,0.6655,0.8249,0.9132,0.3669,0.7971,0.6626,0.8248,0.9144
7,0.3821,0.3757,0.7937,0.658,0.8206,0.9095,0.3704,0.7916,0.6551,0.8204,0.912
8,0.3751,0.3539,0.8109,0.6819,0.835,0.9212,0.3523,0.808,0.6778,0.834,0.9216
9,0.3673,0.3479,0.8136,0.6857,0.8375,0.924,0.3507,0.8099,0.6805,0.8357,0.9225
10,0.3602,0.3349,0.8186,0.6929,0.8424,0.9297,0.3346,0.815,0.6878,0.8406,0.9299
11,0.3531,0.3284,0.8288,0.7077,0.8508,0.9336,0.3267,0.8265,0.7043,0.85,0.9339
12,0.346,0.3196,0.8319,0.7122,0.8538,0.9369,0.3194,0.8288,0.7076,0.8521,0.9369
13,0.3408,0.3259,0.8242,0.7011,0.8474,0.9332,0.3449,0.8091,0.6795,0.8356,0.9241
14,0.3361,0.3085,0.8355,0.7174,0.857,0.941,0.3165,0.8262,0.7039,0.8501,0.9376
15,0.3309,0.3067,0.8361,0.7184,0.8576,0.9412,0.3039,0.8346,0.7162,0.8572,0.9425
16,0.327,0.2989,0.8438,0.7298,0.8641,0.9449,0.2974,0.842,0.7271,0.8635,0.9453
17,0.3242,0.2925,0.8439,0.7299,0.8643,0.9467,0.2941,0.8396,0.7235,0.8614,0.9464
18,0.3215,0.2944,0.846,0.7331,0.8661,0.9463,0.2905,0.8456,0.7324,0.8666,0.9477
19,0.3187,0.2869,0.8505,0.7398,0.87,0.9491,0.2886,0.8477,0.7357,0.8684,0.9483
20,0.3164,0.2826,0.8522,0.7425,0.8715,0.9504,0.2825,0.8501,0.7394,0.8705,0.9504
