epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.653,0.6031,0.5811,0.4096,0.6591,0.7303,0.6054,0.5743,0.4029,0.657,0.7276
2,0.5191,0.4786,0.7288,0.5734,0.7636,0.8513,0.4773,0.7231,0.5663,0.7618,0.8514
3,0.4584,0.4324,0.7625,0.6162,0.7925,0.8813,0.4307,0.7576,0.6098,0.7907,0.8816
4,0.4311,0.4091,0.7759,0.6339,0.8048,0.8942,0.4076,0.7711,0.6275,0.8027,0.8945
5,0.4152,0.3949,0.7867,0.6484,0.8137,0.902,0.393,0.7831,0.6435,0.8124,0.9024
6,0.4048,0.3843,0.7922,0.6559,0.8186,0.9068,0.3826,0.7891,0.6517,0.8176,0.9073
7,0.3971,0.3763,0.7939,0.6582,0.8208,0.9103,0.3752,0.7903,0.6533,0.8193,0.9106
8,0.391,0.3701,0.7968,0.6622,0.8234,0.913,0.369,0.7936,0.6578,0.8221,0.9135
9,0.3865,0.3656,0.7979,0.6638,0.8246,0.915,0.3645,0.7949,0.6596,0.8234,0.9155
10,0.3823,0.3614,0.8027,0.6704,0.8282,0.9167,0.36,0.7998,0.6664,0.8272,0.9173
11,0.3792,0.3579,0.8063,0.6755,0.8311,0.9185,0.3563,0.8039,0.6721,0.8304,0.919
12,0.3761,0.3538,0.8069,0.6763,0.832,0.9203,0.3527,0.8043,0.6727,0.831,0.9207
13,0.3722,0.3489,0.8113,0.6825,0.8358,0.9229,0.3475,0.8091,0.6794,0.8351,0.9234
14,0.3691,0.3436,0.8151,0.6879,0.839,0.9254,0.3423,0.8127,0.6845,0.8381,0.9258
15,0.3637,0.3377,0.8184,0.6927,0.8421,0.9283,0.3362,0.8165,0.69,0.8415,0.9288
16,0.3599,0.3319,0.8233,0.6997,0.8462,0.9311,0.3305,0.8213,0.6968,0.8456,0.9315
17,0.3548,0.3269,0.8292,0.7083,0.8512,0.934,0.3249,0.8278,0.7062,0.851,0.9344
18,0.3499,0.3196,0.832,0.7123,0.8538,0.9367,0.3184,0.8299,0.7092,0.8529,0.937
19,0.3458,0.3143,0.836,0.7182,0.8573,0.9391,0.3131,0.8339,0.7151,0.8564,0.9393
20,0.3411,0.3094,0.8389,0.7226,0.8599,0.941,0.3084,0.8369,0.7195,0.859,0.9411
21,0.3377,0.3032,0.8403,0.7246,0.8612,0.9432,0.3027,0.8381,0.7214,0.8601,0.9433
22,0.3343,0.2998,0.8428,0.7282,0.8633,0.9447,0.2992,0.8406,0.725,0.8623,0.9449
