epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6535,0.5588,0.677,0.5118,0.716,0.7941,0.559,0.6692,0.5029,0.7136,0.7929
2,0.5017,0.4589,0.7614,0.6147,0.7889,0.8747,0.4567,0.7579,0.6102,0.7883,0.875
3,0.4512,0.4217,0.7779,0.6365,0.8052,0.892,0.4186,0.7753,0.6331,0.805,0.893
4,0.4257,0.3987,0.7893,0.6519,0.8157,0.9028,0.3969,0.7859,0.6473,0.8146,0.9031
5,0.4111,0.3854,0.7953,0.6602,0.8212,0.9084,0.3839,0.7918,0.6554,0.8199,0.9087
6,0.3998,0.3762,0.7988,0.665,0.8245,0.912,0.3744,0.7956,0.6606,0.8233,0.9125
7,0.3929,0.37,0.8033,0.6713,0.8283,0.9148,0.3677,0.8004,0.6673,0.8273,0.9156
8,0.389,0.3652,0.8065,0.6758,0.831,0.917,0.3624,0.8036,0.6717,0.83,0.9179
9,0.3834,0.36,0.8092,0.6795,0.8334,0.9193,0.3574,0.8066,0.6759,0.8326,0.9202
10,0.3781,0.3531,0.8095,0.68,0.8343,0.9218,0.3511,0.8065,0.6758,0.8331,0.9228
11,0.374,0.347,0.8146,0.6873,0.8386,0.9251,0.3449,0.8117,0.6831,0.8374,0.926
12,0.3681,0.3406,0.8206,0.6958,0.8437,0.9285,0.3383,0.8181,0.6923,0.8428,0.9293
13,0.3625,0.3334,0.8237,0.7003,0.8466,0.9316,0.3308,0.8213,0.6969,0.8457,0.9326
14,0.3574,0.3266,0.8291,0.7081,0.8512,0.9347,0.3244,0.8263,0.7041,0.8499,0.9353
15,0.3517,0.3196,0.8307,0.7104,0.8528,0.9372,0.3186,0.8271,0.7052,0.8507,0.9377
16,0.3477,0.3144,0.8336,0.7147,0.8554,0.9391,0.3125,0.8312,0.7112,0.8542,0.94
17,0.3441,0.309,0.8388,0.7223,0.8598,0.9415,0.3076,0.8361,0.7183,0.8583,0.942
18,0.3393,0.3041,0.8421,0.7273,0.8627,0.9433,0.3025,0.84,0.7242,0.8617,0.9437
19,0.3368,0.2986,0.8425,0.7279,0.8631,0.9449,0.2988,0.839,0.7227,0.8609,0.9449
20,0.3342,0.2974,0.8408,0.7253,0.8616,0.9453,0.298,0.8369,0.7196,0.8592,0.9454
21,0.332,0.2924,0.8461,0.7333,0.8663,0.9472,0.2927,0.8428,0.7284,0.8642,0.9472
22,0.3294,0.2889,0.8478,0.7359,0.8678,0.9484,0.2889,0.8447,0.7312,0.8658,0.9485
23,0.3267,0.2887,0.849,0.7377,0.8688,0.9484,0.286,0.848,0.7362,0.8686,0.9493
24,0.3246,0.2831,0.8515,0.7414,0.8709,0.9502,0.2838,0.8476,0.7356,0.8683,0.9499
25,0.3229,0.2828,0.8544,0.7458,0.8735,0.9507,0.2813,0.8523,0.7427,0.8724,0.9509
26,0.3221,0.2805,0.8558,0.7479,0.8747,0.9515,0.279,0.8539,0.7451,0.8738,0.9517
27,0.3202,0.2773,0.8533,0.7441,0.8724,0.9521,0.2784,0.8494,0.7382,0.8697,0.952
28,0.3182,0.275,0.8563,0.7488,0.8751,0.9529,0.2752,0.8532,0.744,0.8731,0.9528
29,0.3167,0.2748,0.8586,0.7522,0.8772,0.9534,0.2741,0.8563,0.7488,0.8759,0.9533
30,0.3157,0.2718,0.857,0.7498,0.8757,0.9538,0.2726,0.8538,0.7449,0.8735,0.9536
31,0.3133,0.271,0.8596,0.7537,0.878,0.9544,0.2706,0.8572,0.7502,0.8766,0.9543
32,0.3124,0.2702,0.8607,0.7554,0.8791,0.9547,0.2691,0.8589,0.7527,0.8782,0.9548
33,0.3112,0.2687,0.8609,0.7557,0.8792,0.9552,0.2681,0.8588,0.7526,0.8781,0.9552
34,0.3102,0.2695,0.8619,0.7573,0.8802,0.9553,0.2682,0.8603,0.7549,0.8795,0.9554
35,0.3094,0.2662,0.8619,0.7573,0.88,0.9559,0.2661,0.8591,0.753,0.8782,0.9559
