epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6482,0.5958,0.4804,0.3162,0.6287,0.7462,0.5933,0.476,0.3123,0.6277,0.7467
2,0.5113,0.477,0.7072,0.5471,0.7547,0.8562,0.4755,0.7019,0.5408,0.7532,0.8576
3,0.4577,0.4271,0.7573,0.6094,0.791,0.8856,0.427,0.7514,0.6018,0.7884,0.8856
4,0.4347,0.4059,0.7768,0.6351,0.8062,0.8969,0.4058,0.771,0.6274,0.8033,0.8966
5,0.4197,0.3901,0.7855,0.6468,0.8136,0.9039,0.3906,0.78,0.6394,0.8108,0.9035
6,0.4096,0.381,0.7929,0.6569,0.8196,0.9083,0.3809,0.7886,0.651,0.8176,0.908
7,0.4032,0.3742,0.7979,0.6638,0.8237,0.9114,0.3738,0.7936,0.6578,0.8216,0.9112
8,0.3979,0.368,0.7992,0.6656,0.8252,0.9138,0.3679,0.7948,0.6595,0.823,0.9137
9,0.3946,0.364,0.8022,0.6697,0.8277,0.9157,0.3637,0.7979,0.6638,0.8256,0.9157
10,0.3909,0.3601,0.8042,0.6726,0.8295,0.9173,0.3595,0.8001,0.6669,0.8274,0.9174
11,0.3884,0.3573,0.8072,0.6767,0.8317,0.9187,0.356,0.8038,0.6719,0.8303,0.919
12,0.3853,0.3525,0.8067,0.676,0.8319,0.9206,0.3521,0.8028,0.6706,0.83,0.9209
13,0.3811,0.3484,0.8127,0.6845,0.8367,0.9231,0.3469,0.8098,0.6804,0.8355,0.9235
14,0.3775,0.3412,0.8169,0.6904,0.8404,0.9264,0.3397,0.8138,0.6861,0.839,0.9268
15,0.373,0.3345,0.8178,0.6918,0.8417,0.9291,0.3339,0.8146,0.6872,0.8401,0.9295
16,0.3678,0.3283,0.8234,0.6998,0.8464,0.9322,0.3276,0.8202,0.6952,0.8448,0.9324
17,0.3626,0.3223,0.8289,0.7078,0.851,0.935,0.3213,0.826,0.7036,0.8497,0.9352
18,0.3586,0.3164,0.8337,0.7149,0.8552,0.9377,0.3148,0.8312,0.7112,0.8541,0.938
19,0.355,0.3098,0.8362,0.7185,0.8575,0.9401,0.3089,0.8333,0.7142,0.8559,0.9403
20,0.35,0.3042,0.8397,0.7237,0.8606,0.9424,0.3035,0.8366,0.7191,0.8588,0.9426
21,0.347,0.2993,0.8427,0.7282,0.8632,0.9442,0.2978,0.84,0.7241,0.8617,0.9446
22,0.343,0.2936,0.8457,0.7326,0.8658,0.9461,0.2925,0.8433,0.7291,0.8646,0.9464
23,0.3409,0.2913,0.8497,0.7386,0.8693,0.9475,0.289,0.848,0.7361,0.8687,0.9478
24,0.3378,0.2885,0.8512,0.741,0.8707,0.9487,0.2856,0.8498,0.7388,0.8702,0.9494
25,0.3351,0.284,0.8531,0.7438,0.8724,0.95,0.2818,0.8512,0.7409,0.8714,0.9504
26,0.3328,0.2811,0.8545,0.7459,0.8735,0.9509,0.279,0.8524,0.7427,0.8724,0.9513
27,0.3304,0.2816,0.8561,0.7484,0.8751,0.9515,0.2782,0.8551,0.7469,0.875,0.952
28,0.3295,0.2762,0.8555,0.7474,0.8743,0.9524,0.276,0.8523,0.7427,0.8723,0.9525
29,0.327,0.2758,0.8579,0.7512,0.8766,0.953,0.2733,0.8566,0.7491,0.8761,0.9535
30,0.3259,0.272,0.8592,0.7531,0.8777,0.9538,0.2704,0.8571,0.75,0.8766,0.954
31,0.3246,0.2699,0.8585,0.7521,0.877,0.9543,0.2691,0.856,0.7483,0.8755,0.9546
32,0.3225,0.2716,0.8613,0.7564,0.8797,0.9547,0.2683,0.8605,0.7551,0.8797,0.9553
33,0.3228,0.273,0.862,0.7574,0.8804,0.9551,0.2687,0.8615,0.7567,0.8807,0.9556
34,0.3212,0.2672,0.8624,0.7581,0.8805,0.9556,0.2653,0.8609,0.7558,0.88,0.956
35,0.3187,0.2646,0.8628,0.7587,0.8808,0.9563,0.2634,0.8605,0.7551,0.8794,0.9565
36,0.3183,0.2673,0.8643,0.761,0.8824,0.9565,0.2635,0.8638,0.7602,0.8827,0.957
37,0.317,0.263,0.8598,0.7541,0.878,0.9569,0.2646,0.8561,0.7485,0.8754,0.9568
38,0.3168,0.2625,0.8643,0.7611,0.8822,0.9571,0.2612,0.8621,0.7577,0.8809,0.9574
39,0.3148,0.2607,0.865,0.7621,0.8827,0.9576,0.2599,0.8628,0.7587,0.8815,0.9576
40,0.3134,0.2609,0.8655,0.7628,0.8833,0.9577,0.2597,0.8639,0.7604,0.8825,0.9579
41,0.3133,0.2598,0.866,0.7638,0.8837,0.9581,0.2582,0.8642,0.7609,0.8827,0.9584
42,0.3127,0.2594,0.8672,0.7655,0.8848,0.9585,0.2579,0.8658,0.7634,0.8843,0.9586
43,0.3123,0.2564,0.867,0.7652,0.8844,0.9588,0.2559,0.8643,0.761,0.8827,0.9589
44,0.3112,0.2558,0.8675,0.766,0.8849,0.9591,0.2552,0.8654,0.7627,0.8837,0.9593
45,0.309,0.2564,0.8632,0.7594,0.8809,0.9593,0.2585,0.8591,0.753,0.8779,0.9592
46,0.3094,0.2536,0.8678,0.7665,0.8851,0.9596,0.254,0.8646,0.7615,0.8829,0.9596
47,0.3087,0.2605,0.8691,0.7686,0.8869,0.9595,0.2574,0.8686,0.7678,0.8871,0.9598
48,0.3085,0.2526,0.8678,0.7665,0.8851,0.96,0.2528,0.8645,0.7614,0.8827,0.96
49,0.3071,0.2516,0.8696,0.7693,0.8867,0.9604,0.2511,0.8671,0.7654,0.8851,0.9604
50,0.3058,0.251,0.8701,0.7701,0.8872,0.9605,0.2502,0.868,0.7668,0.886,0.9607
51,0.3064,0.2505,0.8706,0.7708,0.8877,0.9607,0.2496,0.8687,0.7679,0.8866,0.9608
52,0.3057,0.2538,0.8715,0.7723,0.8888,0.9607,0.2512,0.8705,0.7707,0.8886,0.961
53,0.306,0.2516,0.8714,0.7721,0.8886,0.9607,0.2495,0.8701,0.7702,0.8881,0.9611
54,0.3041,0.2496,0.8717,0.7725,0.8887,0.9612,0.2482,0.8698,0.7696,0.8876,0.9612
55,0.3032,0.2498,0.872,0.773,0.889,0.9612,0.2481,0.8704,0.7706,0.8883,0.9615
56,0.3028,0.2487,0.8684,0.7674,0.8853,0.9615,0.2503,0.8647,0.7617,0.8827,0.9615
57,0.3029,0.2551,0.8722,0.7734,0.8898,0.9613,0.2521,0.8714,0.7721,0.8898,0.9614
58,0.3022,0.2467,0.8729,0.7744,0.8897,0.9619,0.2466,0.8701,0.7702,0.8878,0.9617
59,0.3013,0.2465,0.8721,0.7732,0.8888,0.962,0.2468,0.8691,0.7686,0.8868,0.962
60,0.2992,0.2462,0.8727,0.7741,0.8894,0.962,0.2455,0.8704,0.7706,0.8881,0.9621
61,0.2995,0.2492,0.8739,0.7761,0.891,0.9621,0.2477,0.8726,0.774,0.8904,0.9621
62,0.2999,0.2499,0.874,0.7761,0.8911,0.9622,0.2472,0.873,0.7746,0.8908,0.9623
63,0.2993,0.2445,0.8732,0.775,0.8899,0.9625,0.2444,0.8706,0.7708,0.8881,0.9625
64,0.2983,0.2447,0.8736,0.7755,0.8902,0.9625,0.2444,0.8711,0.7717,0.8886,0.9625
65,0.2982,0.2521,0.874,0.7762,0.8914,0.9624,0.249,0.8733,0.7751,0.8914,0.9624
66,0.2984,0.2445,0.8724,0.7736,0.8889,0.9626,0.2449,0.8699,0.7697,0.8874,0.9626
67,0.2973,0.2436,0.8749,0.7777,0.8915,0.963,0.2433,0.8723,0.7736,0.8898,0.9629
68,0.2971,0.2445,0.8703,0.7703,0.8869,0.9629,0.2464,0.8666,0.7647,0.8843,0.9628
69,0.2959,0.2427,0.8732,0.7749,0.8896,0.9631,0.2438,0.8697,0.7695,0.8871,0.9629
70,0.2953,0.242,0.8737,0.7758,0.8902,0.9633,0.2432,0.8704,0.7706,0.8878,0.963
71,0.2951,0.2447,0.8755,0.7786,0.8923,0.963,0.2435,0.8735,0.7755,0.891,0.963
72,0.2948,0.2452,0.8693,0.7688,0.886,0.963,0.2481,0.8646,0.7616,0.8825,0.9628
73,0.2946,0.2423,0.8755,0.7785,0.892,0.9633,0.2419,0.8727,0.7743,0.8901,0.9632
74,0.294,0.2429,0.8756,0.7787,0.8922,0.9632,0.2416,0.8734,0.7753,0.8908,0.9633
75,0.2936,0.2473,0.8761,0.7795,0.8931,0.9634,0.2436,0.8752,0.7781,0.8929,0.9635
76,0.2935,0.2457,0.8695,0.7691,0.8862,0.9629,0.2471,0.8663,0.7642,0.884,0.9628
77,0.2934,0.2418,0.876,0.7793,0.8925,0.9635,0.2405,0.874,0.7763,0.8912,0.9636
78,0.2924,0.2414,0.8757,0.7788,0.8921,0.9636,0.2414,0.8732,0.775,0.8905,0.9635
79,0.292,0.2408,0.8739,0.776,0.8902,0.9637,0.2422,0.8702,0.7702,0.8874,0.9636
80,0.292,0.2427,0.8767,0.7804,0.8933,0.9637,0.2406,0.8749,0.7776,0.8922,0.9637
81,0.2916,0.2412,0.8735,0.7755,0.8899,0.9637,0.2422,0.8703,0.7705,0.8876,0.9636
82,0.291,0.2401,0.8753,0.7782,0.8916,0.9638,0.2406,0.8722,0.7733,0.8893,0.9638
83,0.2916,0.2416,0.8767,0.7805,0.8933,0.9638,0.2399,0.8754,0.7785,0.8927,0.9639
84,0.2914,0.2415,0.8724,0.7737,0.8888,0.9637,0.243,0.8689,0.7682,0.8862,0.9637
85,0.2901,0.2394,0.8752,0.7781,0.8915,0.9641,0.2399,0.8724,0.7738,0.8895,0.964
86,0.2901,0.2402,0.8769,0.7808,0.8934,0.964,0.2395,0.8749,0.7777,0.8921,0.9639
87,0.2893,0.2391,0.8759,0.7792,0.8922,0.9642,0.2392,0.8732,0.7749,0.8902,0.9641
88,0.2886,0.2388,0.8769,0.7808,0.8931,0.9643,0.239,0.874,0.7763,0.8911,0.9641
89,0.2895,0.2396,0.874,0.7761,0.8902,0.9642,0.2408,0.8706,0.771,0.8878,0.9641
90,0.2882,0.2396,0.8763,0.7799,0.8926,0.9641,0.2395,0.8737,0.7757,0.8908,0.964
91,0.2884,0.2383,0.8765,0.7801,0.8926,0.9644,0.2392,0.8733,0.7752,0.8904,0.9642
92,0.2879,0.2387,0.8764,0.7799,0.8926,0.9643,0.2391,0.8734,0.7753,0.8905,0.9642
93,0.2873,0.2389,0.8756,0.7787,0.8918,0.9642,0.2404,0.8723,0.7735,0.8893,0.9639
94,0.2871,0.2394,0.8766,0.7803,0.8929,0.9641,0.2393,0.8742,0.7766,0.8913,0.964
95,0.2871,0.2401,0.874,0.7761,0.8903,0.964,0.2412,0.8711,0.7716,0.8883,0.9638
96,0.2885,0.2396,0.8781,0.7827,0.8945,0.9645,0.2385,0.8766,0.7803,0.8938,0.9645
97,0.2888,0.2385,0.8768,0.7806,0.893,0.9643,0.2383,0.8741,0.7764,0.8911,0.9644
98,0.2864,0.2381,0.8783,0.7831,0.8946,0.9647,0.2373,0.8762,0.7797,0.8932,0.9647
99,0.2858,0.2382,0.8775,0.7817,0.8937,0.9646,0.2376,0.8753,0.7784,0.8923,0.9645
100,0.285,0.2386,0.8748,0.7775,0.891,0.9645,0.2407,0.8708,0.7713,0.8879,0.9642
