epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6354,0.6028,0.5073,0.3399,0.6394,0.7394,0.6003,0.5003,0.3336,0.6377,0.7402
2,0.5203,0.485,0.7128,0.5537,0.7569,0.8558,0.4825,0.7081,0.5481,0.7559,0.8575
3,0.4689,0.4368,0.7496,0.5995,0.7855,0.8823,0.4352,0.7436,0.5919,0.7829,0.8832
4,0.4409,0.4143,0.7723,0.6291,0.8025,0.894,0.412,0.7681,0.6236,0.801,0.8948
5,0.4229,0.3943,0.7824,0.6425,0.8114,0.9031,0.3931,0.7782,0.637,0.8097,0.9037
6,0.4106,0.3821,0.79,0.6528,0.8178,0.9086,0.381,0.7858,0.6472,0.8159,0.909
7,0.4025,0.3734,0.7972,0.6628,0.8236,0.9124,0.3719,0.7935,0.6578,0.822,0.913
8,0.395,0.3656,0.8004,0.6673,0.8266,0.9157,0.3643,0.7964,0.6616,0.8246,0.9162
9,0.3891,0.3593,0.8004,0.6672,0.8272,0.9184,0.3589,0.7958,0.6609,0.8248,0.9189
10,0.3852,0.3514,0.8052,0.674,0.8313,0.9221,0.3512,0.8005,0.6674,0.8287,0.9225
11,0.3791,0.3457,0.8165,0.6899,0.8399,0.9256,0.3432,0.8141,0.6864,0.8392,0.9263
12,0.3732,0.3359,0.8197,0.6945,0.8431,0.929,0.3343,0.8164,0.6897,0.8415,0.9297
13,0.3675,0.3292,0.8235,0.7,0.8466,0.9321,0.3281,0.8201,0.6951,0.8448,0.9326
14,0.3621,0.3228,0.8299,0.7092,0.8518,0.9352,0.321,0.8272,0.7054,0.8507,0.9357
15,0.3579,0.3163,0.8314,0.7114,0.8534,0.9376,0.3152,0.8282,0.7068,0.8517,0.9382
16,0.3527,0.3106,0.8364,0.7189,0.8577,0.94,0.3092,0.8334,0.7145,0.8561,0.9404
17,0.3491,0.3062,0.8388,0.7223,0.8598,0.9416,0.3047,0.8364,0.7189,0.8587,0.9421
18,0.3451,0.3006,0.8411,0.7257,0.8618,0.9436,0.2998,0.8379,0.7211,0.8599,0.944
19,0.3432,0.2966,0.8445,0.7309,0.8647,0.9452,0.2949,0.8424,0.7277,0.8637,0.9457
20,0.339,0.2932,0.8466,0.734,0.8665,0.9464,0.2917,0.8438,0.7298,0.865,0.9468
21,0.3365,0.2904,0.8453,0.7321,0.8655,0.9474,0.2904,0.8419,0.727,0.8634,0.9477
22,0.3339,0.2872,0.8496,0.7386,0.8692,0.9487,0.2868,0.8466,0.734,0.8674,0.9488
23,0.3316,0.284,0.8499,0.7389,0.8694,0.9495,0.2838,0.8466,0.7341,0.8674,0.9497
24,0.3297,0.2825,0.8531,0.7438,0.8722,0.9504,0.2808,0.8505,0.7399,0.8707,0.9508
25,0.3281,0.2794,0.8535,0.7444,0.8726,0.9512,0.2786,0.8508,0.7404,0.871,0.9515
26,0.3273,0.2787,0.8547,0.7463,0.8737,0.9517,0.2776,0.8525,0.743,0.8725,0.952
27,0.325,0.2762,0.8543,0.7457,0.8733,0.9525,0.2763,0.8509,0.7406,0.871,0.9527
28,0.3223,0.2789,0.8586,0.7523,0.8773,0.953,0.2754,0.8578,0.751,0.8774,0.9534
29,0.3209,0.272,0.857,0.7497,0.8756,0.9536,0.2721,0.8536,0.7446,0.8734,0.9536
30,0.3198,0.2711,0.8589,0.7527,0.8773,0.954,0.2703,0.8561,0.7485,0.8757,0.9542
31,0.3197,0.271,0.8544,0.7458,0.8733,0.9543,0.2733,0.8494,0.7383,0.8698,0.954
32,0.3176,0.2698,0.86,0.7543,0.8782,0.9548,0.2692,0.8573,0.7502,0.8766,0.9549
33,0.3159,0.2667,0.8599,0.7543,0.8782,0.9554,0.2664,0.857,0.7499,0.8763,0.9556
34,0.3141,0.267,0.8622,0.7578,0.8803,0.9556,0.2654,0.8602,0.7547,0.8792,0.9559
35,0.3138,0.2709,0.8636,0.7599,0.8818,0.956,0.2671,0.8627,0.7586,0.8819,0.9563
36,0.3124,0.2643,0.8632,0.7593,0.8812,0.9564,0.2631,0.861,0.756,0.88,0.9566
37,0.3121,0.2638,0.8627,0.7586,0.8807,0.9564,0.2634,0.8602,0.7547,0.8791,0.9564
38,0.3114,0.2647,0.8651,0.7623,0.8831,0.957,0.2617,0.8641,0.7608,0.8829,0.9574
39,0.3086,0.2624,0.8604,0.7551,0.8785,0.9569,0.2638,0.8563,0.7487,0.8756,0.9569
40,0.3089,0.2613,0.8644,0.7612,0.8822,0.9572,0.261,0.8614,0.7567,0.8802,0.9571
41,0.3081,0.2619,0.861,0.7559,0.879,0.957,0.2627,0.8577,0.7509,0.8768,0.9571
42,0.307,0.2595,0.8658,0.7633,0.8834,0.9579,0.2585,0.8631,0.7592,0.8817,0.9579
43,0.3064,0.2598,0.867,0.7652,0.8847,0.9582,0.2577,0.8656,0.763,0.8841,0.9584
44,0.3039,0.2576,0.8651,0.7622,0.8827,0.9584,0.2582,0.8621,0.7577,0.8807,0.9583
45,0.3036,0.2574,0.8661,0.7638,0.8836,0.9585,0.257,0.8636,0.76,0.8821,0.9587
46,0.3032,0.2568,0.8653,0.7625,0.8828,0.9586,0.2573,0.8617,0.7571,0.8803,0.9586
47,0.3018,0.2564,0.8635,0.7598,0.8812,0.959,0.2592,0.8591,0.7531,0.8779,0.9586
48,0.3024,0.2594,0.8605,0.7552,0.8785,0.9586,0.2631,0.8552,0.7471,0.8745,0.9582
49,0.3009,0.2559,0.8661,0.7638,0.8835,0.9589,0.2558,0.8632,0.7594,0.8817,0.959
50,0.3002,0.2556,0.8676,0.7661,0.885,0.9592,0.2549,0.8655,0.763,0.8838,0.9594
51,0.2984,0.2547,0.8679,0.7666,0.8852,0.9593,0.2542,0.8651,0.7624,0.8834,0.9593
52,0.2991,0.2553,0.8651,0.7623,0.8826,0.9593,0.2567,0.8615,0.7568,0.8801,0.9591
53,0.2972,0.2547,0.8693,0.7688,0.8867,0.9597,0.2531,0.867,0.7653,0.8852,0.9597
54,0.2967,0.2548,0.8694,0.7691,0.8868,0.9598,0.2533,0.8676,0.7662,0.8858,0.9598
55,0.2953,0.255,0.8692,0.7687,0.8866,0.9596,0.2531,0.8674,0.7659,0.8856,0.9597
56,0.2941,0.2532,0.8693,0.7688,0.8866,0.9599,0.2523,0.8672,0.7655,0.8853,0.96
57,0.2946,0.2542,0.869,0.7684,0.8863,0.9598,0.2535,0.8669,0.7651,0.885,0.9597
58,0.294,0.2546,0.868,0.7668,0.8853,0.9595,0.2537,0.8655,0.7629,0.8837,0.9596
59,0.2924,0.2532,0.8676,0.7662,0.8849,0.9597,0.2535,0.8648,0.7619,0.883,0.9597
60,0.2915,0.2521,0.8708,0.7712,0.8881,0.9605,0.2505,0.8689,0.7683,0.887,0.9606
61,0.2914,0.2531,0.8668,0.7649,0.8841,0.9599,0.2536,0.8641,0.7607,0.8823,0.96
62,0.2906,0.2563,0.8697,0.7695,0.8872,0.9596,0.2532,0.8688,0.7681,0.887,0.96
63,0.2905,0.2524,0.8701,0.7701,0.8873,0.9603,0.2507,0.8684,0.7675,0.8865,0.9605
64,0.2887,0.252,0.8684,0.7674,0.8856,0.9601,0.2527,0.8655,0.7629,0.8836,0.96
65,0.2878,0.2523,0.868,0.7668,0.8852,0.96,0.2528,0.8649,0.7621,0.8831,0.9601
66,0.2861,0.2518,0.8706,0.7708,0.8877,0.9605,0.2506,0.8686,0.7677,0.8866,0.9605
67,0.2862,0.2539,0.8704,0.7705,0.8876,0.9603,0.2528,0.8681,0.767,0.8862,0.9602
68,0.2852,0.2599,0.8597,0.7539,0.8777,0.9595,0.2642,0.8547,0.7463,0.874,0.9593
69,0.2857,0.2568,0.868,0.7668,0.8854,0.9593,0.2558,0.8656,0.7632,0.8839,0.9594
70,0.2843,0.2577,0.8642,0.7608,0.8817,0.9591,0.2597,0.8602,0.7548,0.8789,0.9591
71,0.2837,0.2525,0.869,0.7684,0.8862,0.96,0.2517,0.8668,0.7649,0.8848,0.9602
72,0.2834,0.2536,0.87,0.7699,0.8873,0.96,0.2515,0.8682,0.7671,0.8863,0.9603
73,0.2821,0.2542,0.8704,0.7705,0.8876,0.9601,0.2511,0.8689,0.7683,0.8869,0.9605
74,0.2811,0.2528,0.8704,0.7705,0.8876,0.9602,0.2502,0.8693,0.7689,0.8872,0.9606
75,0.2796,0.2539,0.8701,0.7701,0.8873,0.9601,0.2516,0.8685,0.7676,0.8864,0.9605
76,0.2795,0.2564,0.8701,0.77,0.8875,0.9597,0.2527,0.8693,0.7688,0.8874,0.9602
77,0.2794,0.2588,0.8621,0.7576,0.8798,0.9594,0.262,0.8578,0.7511,0.8767,0.9594
