epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6478,1.0844,0.3465,0.2096,0.5652,0.6085,1.0817,0.3491,0.2116,0.5678,0.6146
2,0.5323,0.5148,0.6776,0.5124,0.7268,0.8178,0.5079,0.6731,0.5073,0.7266,0.8223
3,0.4868,0.4768,0.7249,0.5685,0.7591,0.8471,0.4716,0.7214,0.5642,0.7593,0.8497
4,0.4718,0.4664,0.7299,0.5747,0.764,0.8532,0.4626,0.7265,0.5705,0.764,0.8552
5,0.4624,0.463,0.7316,0.5768,0.7652,0.8548,0.4595,0.7282,0.5726,0.7652,0.8565
6,0.4574,0.4498,0.7408,0.5883,0.7736,0.864,0.4469,0.7374,0.584,0.7733,0.8653
7,0.4533,0.4616,0.7338,0.5795,0.7664,0.8556,0.4576,0.7308,0.5758,0.7667,0.8575
8,0.4514,0.4474,0.7418,0.5895,0.7743,0.8651,0.4444,0.7385,0.5854,0.7742,0.8665
9,0.4489,0.4469,0.7395,0.5867,0.773,0.8649,0.4442,0.7361,0.5825,0.7728,0.8664
10,0.4466,0.4441,0.743,0.5911,0.7757,0.867,0.4412,0.7399,0.5872,0.7756,0.8685
11,0.4451,0.4465,0.7386,0.5855,0.7725,0.8649,0.4441,0.7351,0.5812,0.7722,0.8663
12,0.4431,0.4425,0.7423,0.5902,0.7756,0.8677,0.4401,0.7392,0.5864,0.7754,0.8691
13,0.4424,0.4319,0.753,0.6038,0.7843,0.8754,0.4291,0.7503,0.6004,0.7843,0.8768
14,0.4412,0.4421,0.7476,0.597,0.7785,0.8687,0.4386,0.745,0.5937,0.7787,0.8702
15,0.4382,0.4542,0.733,0.5786,0.7669,0.8594,0.4512,0.7296,0.5744,0.7669,0.8613
16,0.4319,0.4571,0.7322,0.5775,0.7657,0.8578,0.4445,0.7357,0.5819,0.7722,0.8662
17,0.4172,0.4538,0.7366,0.583,0.7701,0.8609,0.4432,0.7392,0.5865,0.7752,0.8676
18,0.4015,0.4233,0.7611,0.6145,0.7914,0.881,0.4012,0.7711,0.6275,0.8025,0.8942
19,0.388,0.3975,0.7792,0.6385,0.8078,0.8969,0.377,0.7896,0.6525,0.8184,0.9087
20,0.3837,0.3813,0.7933,0.6575,0.8193,0.9062,0.3753,0.7931,0.6572,0.8208,0.9088
21,0.3721,0.3815,0.7889,0.6514,0.8164,0.9055,0.3753,0.7887,0.6513,0.8177,0.9087
22,0.3615,0.3537,0.8059,0.675,0.8316,0.9203,0.3501,0.8045,0.6729,0.8316,0.9222
23,0.3585,0.3832,0.7873,0.6493,0.8151,0.9044,0.3689,0.7929,0.6571,0.8213,0.9117
24,0.3458,0.3663,0.8034,0.6715,0.8283,0.9141,0.361,0.8019,0.6694,0.8284,0.9161
25,0.3464,0.402,0.7798,0.6392,0.8076,0.8951,0.362,0.8007,0.6679,0.8275,0.9152
26,0.3429,0.3783,0.7993,0.6663,0.8247,0.9089,0.3738,0.797,0.6631,0.8243,0.91
27,0.3452,0.4086,0.7762,0.6344,0.8045,0.892,0.37,0.7953,0.6604,0.8229,0.9111
28,0.3352,0.3745,0.7958,0.6613,0.8226,0.9096,0.3434,0.8088,0.679,0.8351,0.9247
29,0.3306,0.4092,0.777,0.6357,0.8062,0.8937,0.3614,0.7978,0.6638,0.8256,0.9158
30,0.3345,0.4091,0.7787,0.6384,0.8067,0.893,0.3326,0.8195,0.6944,0.8442,0.9293
31,0.3321,0.4047,0.7887,0.6523,0.8148,0.8969,0.3344,0.8214,0.6971,0.8453,0.9289
32,0.3234,0.3398,0.8198,0.6947,0.843,0.9266,0.3218,0.8265,0.7043,0.85,0.9345
33,0.3136,0.3626,0.8077,0.6778,0.8324,0.9162,0.3252,0.8239,0.7007,0.848,0.9326
34,0.3121,0.3337,0.8211,0.6967,0.8447,0.9293,0.3259,0.821,0.6968,0.8459,0.9327
35,0.3089,0.3269,0.8302,0.71,0.8522,0.933,0.3113,0.8342,0.7156,0.8567,0.9388
36,0.3053,0.3937,0.7897,0.6532,0.8165,0.9021,0.3263,0.8211,0.6966,0.8456,0.932
37,0.3018,0.3577,0.8103,0.6813,0.8346,0.9188,0.3066,0.835,0.7167,0.8573,0.9404
38,0.2983,0.3584,0.8083,0.6786,0.8332,0.9185,0.3037,0.8348,0.7164,0.8573,0.9417
39,0.2965,0.4806,0.7583,0.6121,0.7877,0.8687,0.4362,0.7718,0.6287,0.8024,0.8864
40,0.3143,0.5134,0.7442,0.5957,0.7758,0.8566,0.4499,0.7631,0.619,0.7954,0.8813
41,0.3122,0.3742,0.8091,0.6801,0.8331,0.9131,0.3258,0.8272,0.7056,0.8505,0.9324
42,0.3145,0.3572,0.8146,0.6877,0.8382,0.9199,0.3195,0.8271,0.7054,0.8506,0.9348
43,0.3018,0.3873,0.7927,0.6569,0.8194,0.9049,0.3286,0.8221,0.6982,0.8465,0.9311
44,0.2955,0.3156,0.836,0.7184,0.8573,0.9374,0.3141,0.8302,0.7102,0.8536,0.9369
45,0.2963,0.3435,0.8213,0.6971,0.8442,0.9255,0.3143,0.8326,0.7135,0.8555,0.9372
46,0.287,0.3102,0.8389,0.7228,0.8601,0.9395,0.3015,0.8383,0.7219,0.8605,0.9424
47,0.2875,0.3132,0.8376,0.7208,0.8589,0.9384,0.3077,0.8355,0.7181,0.8583,0.9399
48,0.2856,0.3145,0.8356,0.718,0.8573,0.9378,0.3166,0.8291,0.7089,0.853,0.9365
49,0.2837,0.3301,0.8269,0.7052,0.8494,0.9315,0.3215,0.8271,0.7062,0.8514,0.9349
50,0.2911,0.3667,0.8055,0.6747,0.8308,0.9161,0.3673,0.802,0.67,0.8286,0.9156
51,0.285,0.3255,0.8278,0.7064,0.8502,0.9328,0.3353,0.8187,0.6932,0.8434,0.9286
52,0.2878,0.3085,0.84,0.7244,0.861,0.9402,0.2845,0.849,0.7377,0.8696,0.9489
53,0.284,0.3007,0.842,0.7274,0.8629,0.9429,0.2829,0.8482,0.7364,0.8688,0.9497
54,0.2806,0.3434,0.8238,0.7009,0.8467,0.9269,0.3042,0.8379,0.7212,0.8599,0.9412
55,0.2808,0.3574,0.8184,0.6934,0.8418,0.9216,0.2829,0.8495,0.7384,0.8699,0.9495
56,0.3014,0.3314,0.8238,0.7009,0.8469,0.9302,0.3212,0.8271,0.7057,0.851,0.9344
57,0.2926,0.3099,0.8372,0.7204,0.8585,0.9394,0.3024,0.8387,0.7224,0.8607,0.9419
58,0.2937,0.3755,0.8034,0.672,0.8287,0.9142,0.3106,0.8316,0.712,0.8547,0.9389
59,0.2824,0.3165,0.8364,0.7195,0.858,0.9374,0.281,0.851,0.7408,0.8714,0.9502
60,0.2785,0.3494,0.8178,0.6921,0.8413,0.924,0.3036,0.8374,0.7207,0.8596,0.9413
61,0.273,0.3119,0.8398,0.7244,0.8609,0.9393,0.277,0.8542,0.7456,0.8741,0.9519
62,0.2832,0.3669,0.8139,0.6863,0.8377,0.9182,0.303,0.8407,0.7254,0.8621,0.9419
63,0.2862,0.3153,0.8326,0.7136,0.8549,0.9374,0.2936,0.8389,0.7228,0.861,0.9461
64,0.2767,0.3262,0.8295,0.7088,0.8519,0.933,0.3136,0.8302,0.7104,0.8538,0.9374
65,0.2717,0.3159,0.8363,0.7188,0.8578,0.9373,0.3055,0.8359,0.7188,0.8587,0.9406
66,0.2845,0.4078,0.7896,0.6526,0.8167,0.9001,0.3601,0.8023,0.6699,0.8294,0.9177
67,0.2812,0.3201,0.8336,0.7149,0.8555,0.9356,0.3023,0.838,0.7215,0.8602,0.9421
68,0.276,0.2895,0.8464,0.7339,0.8667,0.9474,0.2788,0.8476,0.7356,0.8682,0.9517
69,0.2746,0.3614,0.8115,0.683,0.836,0.919,0.2837,0.8467,0.7345,0.8677,0.9494
70,0.2714,0.3501,0.8196,0.6947,0.8428,0.9241,0.2761,0.8525,0.7431,0.8726,0.952
71,0.2694,0.2962,0.8463,0.7339,0.8666,0.9448,0.2764,0.852,0.7423,0.8721,0.9518
72,0.2823,0.3056,0.8405,0.7252,0.8615,0.9412,0.2734,0.8539,0.7451,0.8737,0.953
73,0.2681,0.36,0.812,0.6838,0.8369,0.9206,0.3039,0.8342,0.7158,0.8569,0.9419
74,0.2682,0.3238,0.8317,0.7124,0.8538,0.9344,0.2948,0.841,0.7258,0.8627,0.9449
75,0.2678,0.4121,0.797,0.6636,0.8224,0.9016,0.3367,0.8222,0.698,0.8461,0.9286
76,0.264,0.4513,0.7894,0.6537,0.8152,0.8904,0.3337,0.8284,0.707,0.8513,0.9309
77,0.2684,0.3351,0.8279,0.7069,0.8503,0.9307,0.2728,0.8528,0.7435,0.8726,0.9532
78,0.2693,0.4178,0.7975,0.6642,0.823,0.9011,0.3569,0.8196,0.6945,0.8438,0.923
79,0.2857,0.4296,0.7812,0.6416,0.8109,0.8991,0.3269,0.8172,0.691,0.843,0.9361
80,0.2805,0.526,0.7511,0.6028,0.782,0.859,0.4024,0.7984,0.6646,0.8253,0.9047
81,0.3011,0.3414,0.8245,0.7025,0.8471,0.9269,0.2718,0.8541,0.7454,0.8737,0.9537
82,0.2864,0.5107,0.7598,0.6157,0.7887,0.8653,0.312,0.8384,0.7227,0.8599,0.9379
83,0.2896,0.3561,0.8104,0.6844,0.8343,0.9176,0.2819,0.8491,0.7379,0.8694,0.95
84,0.27,0.3649,0.8083,0.6805,0.8329,0.9159,0.2824,0.8486,0.737,0.8689,0.9501
85,0.2646,0.4259,0.7925,0.6589,0.8176,0.8958,0.3349,0.8238,0.7018,0.8471,0.9287
86,0.272,0.2697,0.8593,0.7533,0.8777,0.955,0.2716,0.8551,0.7469,0.8746,0.9544
87,0.2996,0.351,0.8236,0.7011,0.8465,0.9247,0.2948,0.8386,0.7222,0.8606,0.9451
88,0.2666,0.401,0.8004,0.67,0.8255,0.9042,0.2805,0.8492,0.738,0.8695,0.9508
89,0.2604,0.3704,0.8117,0.6851,0.8351,0.9153,0.275,0.8545,0.746,0.8742,0.9527
90,0.2674,0.3602,0.814,0.6879,0.8374,0.9189,0.2777,0.8511,0.741,0.8712,0.9518
91,0.2782,0.2916,0.8451,0.7319,0.8651,0.9458,0.2681,0.8558,0.7479,0.8752,0.9548
92,0.2847,0.4633,0.7764,0.6391,0.8032,0.8794,0.3715,0.8039,0.6721,0.8299,0.9139
93,0.2682,0.3407,0.8185,0.6934,0.8414,0.9252,0.2993,0.8404,0.7249,0.8621,0.944
94,0.2651,0.3293,0.8263,0.7047,0.8487,0.931,0.287,0.848,0.7366,0.8689,0.9484
95,0.2715,0.4787,0.7725,0.6338,0.7997,0.8769,0.4044,0.7915,0.6552,0.8193,0.9021
96,0.2669,0.4324,0.7869,0.653,0.8135,0.8921,0.2865,0.8461,0.7335,0.8671,0.9483
97,0.2647,0.2829,0.8527,0.7437,0.8723,0.9496,0.261,0.8622,0.7578,0.8809,0.9573
