epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.7739,0.8501,0.662,0.4948,0.6496,0.7444,0.8047,0.6583,0.4907,0.6509,0.74
2,0.5943,0.5869,0.7159,0.5576,0.7339,0.8191,0.5852,0.7122,0.5531,0.7348,0.8181
3,0.5446,0.528,0.7338,0.5795,0.7589,0.8418,0.5178,0.7308,0.5759,0.7597,0.8429
4,0.5195,0.5669,0.7304,0.5753,0.7573,0.8398,0.5567,0.7284,0.5728,0.7587,0.8418
5,0.501,0.6139,0.722,0.5651,0.7531,0.8354,0.5598,0.7201,0.5626,0.7544,0.8388
6,0.4863,0.5041,0.7398,0.5871,0.7687,0.8536,0.4984,0.7376,0.5843,0.7696,0.8553
7,0.4751,0.5042,0.7346,0.5806,0.7644,0.8493,0.488,0.7339,0.5797,0.7667,0.8532
8,0.4678,0.508,0.7294,0.5741,0.7617,0.8469,0.4875,0.7297,0.5745,0.7645,0.852
9,0.4619,0.4619,0.7435,0.5918,0.774,0.862,0.459,0.7401,0.5874,0.7737,0.8628
10,0.4582,0.465,0.7404,0.5879,0.7723,0.8606,0.4599,0.7393,0.5865,0.7737,0.8635
11,0.4508,0.4635,0.7389,0.586,0.7704,0.8582,0.4568,0.7386,0.5855,0.7728,0.8624
12,0.4387,0.4799,0.7265,0.5704,0.7595,0.8456,0.4701,0.7274,0.5717,0.7636,0.8519
13,0.4198,0.4455,0.756,0.6077,0.7853,0.8715,0.4305,0.7621,0.6158,0.7932,0.8811
14,0.4099,0.4226,0.7782,0.6369,0.8047,0.8901,0.4111,0.7798,0.6393,0.8083,0.8952
15,0.393,0.4368,0.7608,0.6139,0.791,0.877,0.4043,0.7778,0.6365,0.808,0.8967
16,0.3832,0.4576,0.7575,0.6097,0.7858,0.868,0.4291,0.768,0.6233,0.7977,0.8825
17,0.3795,0.4156,0.7779,0.6367,0.8052,0.8897,0.3993,0.7834,0.6443,0.8121,0.8984
18,0.3719,0.4646,0.7588,0.6114,0.7888,0.8724,0.4334,0.7663,0.6211,0.7976,0.8842
19,0.3703,0.3864,0.7943,0.6588,0.8205,0.906,0.3759,0.7947,0.6594,0.8227,0.9112
20,0.3622,0.3932,0.7923,0.6562,0.8183,0.9023,0.3825,0.7924,0.6564,0.8204,0.9069
