epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6666,0.6907,0.5096,0.3419,0.597,0.6407,0.7079,0.5032,0.3363,0.5879,0.6257
2,0.5407,0.5122,0.7027,0.5417,0.742,0.8283,0.5122,0.6928,0.5301,0.7378,0.8268
3,0.4838,0.4705,0.7319,0.5772,0.7658,0.855,0.4692,0.7249,0.5685,0.7632,0.8548
4,0.4567,0.4501,0.7459,0.5948,0.7777,0.8673,0.4482,0.7403,0.5877,0.7758,0.8676
5,0.442,0.4439,0.7508,0.6011,0.7814,0.8705,0.4412,0.7461,0.5951,0.7801,0.8712
6,0.4337,0.4329,0.7617,0.6151,0.7901,0.8782,0.4301,0.7577,0.6099,0.7891,0.8788
7,0.428,0.4299,0.7549,0.6063,0.7865,0.8776,0.4281,0.7501,0.6002,0.7849,0.8783
8,0.4231,0.4239,0.7607,0.6138,0.791,0.8813,0.4219,0.756,0.6077,0.7894,0.8821
9,0.4194,0.4187,0.7634,0.6174,0.7937,0.8843,0.4167,0.7588,0.6114,0.7921,0.8853
10,0.4158,0.4197,0.7646,0.6189,0.794,0.8837,0.4171,0.7607,0.6138,0.7929,0.8848
11,0.4116,0.4145,0.7725,0.6294,0.8,0.888,0.4113,0.7692,0.625,0.7993,0.8889
12,0.4067,0.4079,0.7724,0.6292,0.8013,0.8909,0.4053,0.7689,0.6246,0.8003,0.892
13,0.3974,0.4166,0.767,0.6221,0.796,0.8853,0.4173,0.76,0.6131,0.7925,0.8844
14,0.3855,0.3981,0.7777,0.6363,0.8068,0.8965,0.3964,0.7733,0.6305,0.8052,0.8975
15,0.3706,0.3663,0.8038,0.672,0.8289,0.9154,0.3618,0.8022,0.6698,0.8292,0.9175
16,0.366,0.3821,0.7941,0.6585,0.8199,0.9061,0.3764,0.7923,0.6561,0.8203,0.9086
17,0.3563,0.3878,0.7898,0.6526,0.8161,0.9028,0.3887,0.7836,0.6443,0.8128,0.9016
18,0.3515,0.3474,0.815,0.6879,0.8389,0.924,0.3661,0.7978,0.6641,0.8257,0.9137
