epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6299,0.5965,0.6316,0.4616,0.6742,0.7416,0.5926,0.633,0.4631,0.678,0.7475
2,0.5143,0.4973,0.7263,0.5702,0.7581,0.8436,0.4915,0.7236,0.5669,0.759,0.8466
3,0.4723,0.4699,0.7354,0.5815,0.7686,0.8567,0.4647,0.7324,0.5778,0.7686,0.859
4,0.4524,0.4548,0.7451,0.5938,0.7769,0.8654,0.4493,0.7431,0.5912,0.7775,0.8681
5,0.4401,0.4431,0.7504,0.6005,0.7821,0.8714,0.4378,0.7473,0.5965,0.7821,0.8741
6,0.4288,0.4397,0.7545,0.6058,0.7852,0.8736,0.4343,0.7526,0.6035,0.7859,0.8761
7,0.4129,0.4219,0.7665,0.6214,0.7959,0.8846,0.4183,0.7616,0.6151,0.7943,0.8859
8,0.3985,0.4275,0.7639,0.618,0.7933,0.8807,0.4254,0.7592,0.6119,0.7916,0.881
9,0.3908,0.4509,0.7467,0.5959,0.7782,0.8659,0.4455,0.7439,0.5922,0.7783,0.8685
10,0.3777,0.4195,0.7667,0.6216,0.7966,0.8849,0.4063,0.7688,0.6245,0.8008,0.8922
11,0.372,0.3833,0.7915,0.6549,0.8183,0.9061,0.3783,0.7893,0.6519,0.8181,0.9083
12,0.3616,0.3957,0.7856,0.647,0.8126,0.8991,0.4068,0.7717,0.6282,0.8026,0.8919
13,0.3568,0.3645,0.8057,0.6746,0.8305,0.9165,0.3624,0.8018,0.6693,0.8287,0.9168
14,0.3501,0.3895,0.7899,0.6529,0.8165,0.9023,0.3827,0.7887,0.6512,0.8173,0.9053
15,0.3472,0.4096,0.7771,0.6355,0.8052,0.8917,0.3998,0.7774,0.636,0.8077,0.8963
16,0.3401,0.3683,0.8056,0.6745,0.8299,0.914,0.3644,0.8029,0.6708,0.8292,0.9152
17,0.3399,0.3468,0.817,0.6907,0.8403,0.9244,0.3387,0.8177,0.6916,0.8423,0.9279
18,0.3335,0.4049,0.7863,0.648,0.8122,0.8958,0.4021,0.7815,0.6414,0.8104,0.8962
19,0.3264,0.3797,0.7933,0.6575,0.82,0.9073,0.3759,0.7895,0.6523,0.8189,0.9093
20,0.3186,0.3319,0.8231,0.6994,0.8461,0.9304,0.3321,0.819,0.6937,0.8439,0.9301
21,0.3129,0.3689,0.8071,0.6766,0.8313,0.9139,0.3671,0.8024,0.6702,0.8291,0.914
22,0.3123,0.3745,0.7971,0.6626,0.824,0.911,0.3709,0.7934,0.6576,0.8227,0.9131
23,0.3065,0.3286,0.8276,0.7059,0.8498,0.9319,0.325,0.8257,0.7033,0.8494,0.933
24,0.3029,0.3094,0.8369,0.7195,0.8581,0.9399,0.3113,0.8321,0.7126,0.8551,0.9389
25,0.3012,0.3219,0.8283,0.707,0.8508,0.9344,0.3213,0.8247,0.7018,0.8488,0.9347
26,0.2982,0.3055,0.8397,0.7237,0.8605,0.9415,0.3033,0.8373,0.7202,0.8595,0.942
27,0.2941,0.3112,0.8364,0.7188,0.8575,0.9389,0.312,0.8319,0.7123,0.8549,0.9383
28,0.2938,0.3266,0.8308,0.7106,0.8525,0.9328,0.3236,0.8273,0.7058,0.8509,0.9335
29,0.2906,0.3174,0.8357,0.7178,0.8567,0.9367,0.3136,0.833,0.714,0.8558,0.9376
30,0.2874,0.3234,0.8297,0.7091,0.8518,0.9338,0.3162,0.8289,0.7081,0.8525,0.9366
31,0.2839,0.3187,0.8353,0.7172,0.8565,0.9362,0.31,0.8354,0.7176,0.8579,0.9391
32,0.2829,0.3163,0.8377,0.7208,0.8586,0.9376,0.3079,0.8381,0.7215,0.8602,0.9401
33,0.2955,0.294,0.8453,0.7321,0.8655,0.9457,0.2941,0.8422,0.7275,0.8636,0.9455
34,0.2939,0.2958,0.8445,0.7309,0.8649,0.945,0.3033,0.8372,0.7203,0.8595,0.9417
35,0.2903,0.357,0.8107,0.6817,0.8355,0.9211,0.367,0.8004,0.6675,0.8284,0.9177
36,0.2879,0.3144,0.839,0.7226,0.8597,0.9385,0.3098,0.8382,0.7217,0.8602,0.9396
37,0.2927,0.3281,0.8262,0.7039,0.8489,0.9321,0.3345,0.8183,0.6925,0.8434,0.9296
38,0.2846,0.3879,0.8026,0.6704,0.8273,0.9081,0.3553,0.812,0.6845,0.8379,0.9205
39,0.277,0.3487,0.8247,0.7018,0.8468,0.925,0.3419,0.8223,0.699,0.8466,0.9268
40,0.2743,0.3358,0.8279,0.7064,0.85,0.9297,0.3367,0.8221,0.6987,0.8467,0.9289
41,0.2801,0.3165,0.8362,0.7185,0.8573,0.937,0.3144,0.8331,0.7141,0.8559,0.9375
42,0.2758,0.3654,0.8146,0.6873,0.8381,0.9187,0.3864,0.7983,0.6649,0.826,0.9101
43,0.2719,0.3326,0.8299,0.7094,0.8517,0.9311,0.3367,0.822,0.6981,0.8465,0.9293
44,0.2702,0.322,0.836,0.7183,0.857,0.9354,0.3136,0.8343,0.7161,0.8571,0.938
45,0.2678,0.3219,0.8337,0.715,0.8552,0.9353,0.3138,0.8317,0.7123,0.855,0.9384
46,0.2673,0.3226,0.8404,0.7248,0.8606,0.9374,0.3092,0.8416,0.727,0.8634,0.9408
47,0.2655,0.3213,0.8367,0.7193,0.8576,0.9359,0.3101,0.8362,0.719,0.8587,0.9395
48,0.2648,0.3138,0.8411,0.7259,0.8615,0.9389,0.3009,0.842,0.7275,0.8638,0.943
49,0.2635,0.3129,0.8395,0.7236,0.8602,0.939,0.3035,0.8385,0.7223,0.8608,0.9422
50,0.2635,0.329,0.8326,0.7132,0.854,0.9332,0.3217,0.8298,0.7097,0.8532,0.9355
51,0.2625,0.3357,0.8314,0.7116,0.8529,0.9311,0.3289,0.829,0.7085,0.8523,0.9328
52,0.2614,0.3237,0.8377,0.7208,0.8584,0.9359,0.3096,0.8384,0.7222,0.8606,0.94
53,0.2626,0.3128,0.8369,0.7196,0.8581,0.9391,0.3057,0.8356,0.7181,0.8584,0.9417
54,0.2609,0.3138,0.84,0.7243,0.8605,0.9388,0.3005,0.8413,0.7264,0.8631,0.9433
55,0.2687,0.3111,0.8435,0.7293,0.8638,0.9403,0.3129,0.8389,0.7236,0.8614,0.9391
56,0.2644,0.2974,0.8466,0.7342,0.8665,0.9446,0.2932,0.8448,0.7317,0.8662,0.9458
57,0.2705,0.3203,0.8359,0.7182,0.8572,0.9369,0.3274,0.8275,0.7061,0.8513,0.9342
58,0.2664,0.2819,0.854,0.7452,0.8729,0.95,0.2876,0.8479,0.7363,0.8688,0.9478
59,0.2627,0.3342,0.8326,0.7132,0.8541,0.9323,0.3269,0.8318,0.7124,0.8549,0.9342
