epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6369,0.6834,0.5194,0.3508,0.632,0.6997,0.693,0.5124,0.3447,0.6311,0.7018
2,0.496,0.4721,0.735,0.581,0.7665,0.853,0.4708,0.7297,0.5745,0.765,0.853
3,0.4549,0.4461,0.752,0.6026,0.7816,0.869,0.445,0.7469,0.5961,0.78,0.8688
4,0.4368,0.4369,0.7545,0.6057,0.785,0.8735,0.436,0.7487,0.5984,0.7827,0.8734
5,0.4271,0.4235,0.7664,0.6213,0.7949,0.8825,0.4222,0.7619,0.6154,0.7934,0.8825
6,0.4191,0.4205,0.7664,0.6213,0.7954,0.8836,0.4191,0.7614,0.6148,0.7935,0.8839
7,0.4142,0.4153,0.7701,0.6261,0.7986,0.8868,0.4138,0.7652,0.6197,0.7967,0.887
8,0.4096,0.4082,0.7757,0.6335,0.8034,0.8911,0.4063,0.7713,0.6277,0.8017,0.8915
9,0.4051,0.4042,0.7752,0.6329,0.8039,0.893,0.4033,0.7701,0.6262,0.8016,0.8932
10,0.4009,0.3954,0.7799,0.6393,0.8085,0.8982,0.3951,0.7745,0.632,0.8058,0.8982
11,0.3954,0.3899,0.7879,0.65,0.8145,0.9019,0.3886,0.7837,0.6444,0.8127,0.902
12,0.391,0.3925,0.7835,0.6441,0.8112,0.8997,0.392,0.7789,0.6379,0.8091,0.8996
13,0.3863,0.3922,0.7845,0.6454,0.8119,0.9,0.3919,0.7805,0.6401,0.8102,0.8997
14,0.3788,0.3784,0.7934,0.6575,0.8198,0.9076,0.3785,0.7891,0.6517,0.8177,0.9073
15,0.3633,0.3761,0.7929,0.6568,0.8199,0.9086,0.3783,0.7866,0.6484,0.8163,0.9075
16,0.3534,0.3449,0.8156,0.6886,0.8395,0.925,0.3467,0.8102,0.681,0.8362,0.9238
17,0.3466,0.3707,0.8008,0.6678,0.8261,0.9118,0.3547,0.8066,0.676,0.8328,0.9195
18,0.3361,0.3532,0.8106,0.6815,0.835,0.9203,0.3494,0.8088,0.6791,0.8349,0.9217
19,0.3409,0.3933,0.784,0.6447,0.812,0.9005,0.3845,0.7852,0.6464,0.8147,0.9048
20,0.3321,0.3324,0.8245,0.7015,0.8473,0.9304,0.3284,0.8231,0.6996,0.8472,0.9318
