epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6995,0.638,0.6497,0.4813,0.658,0.7358,0.6319,0.6516,0.4833,0.6639,0.7432
2,0.5651,0.5439,0.7268,0.5709,0.7485,0.8334,0.5367,0.7278,0.5721,0.7534,0.8378
3,0.5022,0.4841,0.7498,0.5998,0.7773,0.8617,0.4813,0.7447,0.5933,0.7757,0.8615
4,0.4678,0.4591,0.7567,0.6087,0.7856,0.8716,0.4552,0.7534,0.6044,0.7853,0.873
5,0.448,0.4391,0.7693,0.6252,0.7969,0.8833,0.4377,0.7644,0.6186,0.795,0.8829
6,0.436,0.4345,0.7675,0.6228,0.7957,0.8825,0.433,0.7633,0.6172,0.7944,0.8825
7,0.4269,0.428,0.7715,0.6281,0.7992,0.8856,0.4263,0.7676,0.6228,0.7979,0.8856
8,0.4214,0.4212,0.7703,0.6264,0.799,0.8868,0.4223,0.7639,0.6181,0.7957,0.8852
9,0.4152,0.412,0.7786,0.6374,0.8059,0.893,0.4136,0.7713,0.6278,0.802,0.8909
10,0.4099,0.4158,0.7741,0.6315,0.802,0.889,0.4182,0.7671,0.6222,0.7981,0.8866
11,0.4044,0.4038,0.7799,0.6392,0.8078,0.8958,0.4217,0.7669,0.622,0.7994,0.8867
12,0.3988,0.404,0.7801,0.6396,0.8077,0.8952,0.4064,0.7732,0.6303,0.804,0.8932
13,0.3938,0.4008,0.7797,0.639,0.8079,0.8961,0.4065,0.7691,0.6249,0.8012,0.8925
14,0.389,0.3886,0.7889,0.6514,0.8159,0.9037,0.3967,0.779,0.6381,0.8095,0.8991
15,0.3823,0.3816,0.794,0.6583,0.8201,0.9075,0.3899,0.7847,0.6457,0.8141,0.9028
16,0.3734,0.3896,0.7912,0.6545,0.8173,0.9042,0.4091,0.7744,0.632,0.8046,0.893
17,0.3641,0.3733,0.8003,0.6671,0.8258,0.9118,0.381,0.7905,0.6536,0.8188,0.9068
18,0.352,0.3784,0.796,0.6611,0.8221,0.9082,0.3757,0.7929,0.6569,0.8211,0.9091
