epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6343,0.5943,0.5417,0.3714,0.6502,0.7417,0.5924,0.5343,0.3646,0.6489,0.7446
2,0.4887,0.4522,0.734,0.5798,0.774,0.8715,0.45,0.7291,0.5737,0.7725,0.8736
3,0.4313,0.4185,0.772,0.6286,0.8014,0.8912,0.4159,0.7681,0.6236,0.8003,0.8923
4,0.4057,0.3969,0.7831,0.6435,0.8115,0.9016,0.3957,0.7787,0.6376,0.8096,0.9019
5,0.3894,0.3829,0.7891,0.6517,0.8168,0.9072,0.3822,0.7849,0.646,0.815,0.9073
6,0.3775,0.3743,0.7949,0.6596,0.8216,0.9109,0.3739,0.7907,0.6538,0.8196,0.911
7,0.3697,0.3684,0.8022,0.6697,0.8272,0.914,0.3669,0.7987,0.6649,0.8257,0.9142
8,0.3634,0.3616,0.8026,0.6703,0.8282,0.9165,0.3609,0.799,0.6654,0.8266,0.9166
9,0.3578,0.3547,0.8049,0.6735,0.8306,0.9199,0.3547,0.8009,0.668,0.8286,0.9199
10,0.3498,0.3467,0.8102,0.681,0.8352,0.9237,0.3471,0.8061,0.6752,0.833,0.9234
11,0.3421,0.3393,0.8169,0.6905,0.8408,0.9273,0.3394,0.8125,0.6843,0.8382,0.9269
12,0.336,0.3332,0.8219,0.6977,0.8449,0.93,0.3331,0.8181,0.6922,0.8428,0.9297
13,0.3292,0.3278,0.8248,0.7019,0.8475,0.9323,0.3275,0.8215,0.6971,0.8458,0.9322
14,0.3233,0.3228,0.8283,0.7069,0.8505,0.9343,0.3229,0.8246,0.7016,0.8484,0.934
15,0.319,0.3183,0.8308,0.7106,0.8528,0.9362,0.3183,0.8272,0.7054,0.8507,0.9359
16,0.3139,0.3128,0.8328,0.7135,0.8546,0.9383,0.3138,0.8286,0.7073,0.852,0.9378
17,0.3084,0.308,0.8394,0.7232,0.8601,0.941,0.3073,0.8363,0.7186,0.8585,0.9407
18,0.3014,0.2994,0.8411,0.7258,0.8618,0.9439,0.3003,0.8373,0.7202,0.8595,0.9435
19,0.2948,0.2925,0.8455,0.7324,0.8657,0.9465,0.2937,0.842,0.7272,0.8636,0.9459
20,0.2883,0.287,0.8499,0.739,0.8695,0.9487,0.2882,0.8464,0.7337,0.8673,0.948
21,0.2821,0.2816,0.8515,0.7415,0.8709,0.9505,0.2831,0.848,0.7361,0.8686,0.95
22,0.2778,0.278,0.8549,0.7466,0.8739,0.952,0.2796,0.8512,0.741,0.8715,0.9513
23,0.2743,0.2745,0.8544,0.7458,0.8733,0.953,0.277,0.8501,0.7393,0.8704,0.9523
24,0.2707,0.272,0.8585,0.7521,0.8771,0.9541,0.2732,0.8554,0.7474,0.8752,0.9534
25,0.2671,0.2686,0.86,0.7543,0.8783,0.955,0.2703,0.8567,0.7493,0.8762,0.9543
26,0.2651,0.2668,0.8599,0.7543,0.8782,0.9555,0.2677,0.8572,0.7502,0.8766,0.9552
27,0.2624,0.2661,0.8633,0.7595,0.8814,0.9563,0.2663,0.8607,0.7556,0.8799,0.9558
28,0.2602,0.264,0.8636,0.76,0.8816,0.9568,0.2646,0.8607,0.7554,0.8797,0.9562
29,0.2579,0.2631,0.8652,0.7624,0.883,0.9574,0.2629,0.8625,0.7583,0.8815,0.9569
30,0.2569,0.2603,0.8646,0.7616,0.8824,0.9577,0.2612,0.8613,0.7564,0.8801,0.9572
31,0.2553,0.2596,0.8668,0.7649,0.8844,0.9583,0.2599,0.8639,0.7604,0.8826,0.9578
32,0.2529,0.2569,0.8651,0.7623,0.8827,0.9587,0.2588,0.8611,0.7561,0.8798,0.9581
33,0.251,0.256,0.8677,0.7663,0.8851,0.9592,0.2571,0.8641,0.7608,0.8827,0.9586
34,0.2495,0.2554,0.8677,0.7663,0.8851,0.9593,0.2563,0.8645,0.7614,0.883,0.9588
35,0.2488,0.2539,0.8666,0.7646,0.884,0.9596,0.2561,0.8625,0.7583,0.881,0.9591
36,0.2469,0.2543,0.8699,0.7698,0.8873,0.9602,0.2542,0.8674,0.7659,0.8857,0.9597
37,0.245,0.253,0.8698,0.7696,0.8871,0.9603,0.2536,0.8671,0.7654,0.8854,0.9597
38,0.2435,0.2516,0.8694,0.7689,0.8865,0.9604,0.2526,0.8662,0.7641,0.8844,0.96
39,0.2422,0.2516,0.8707,0.7711,0.8879,0.9607,0.2522,0.8675,0.766,0.8857,0.9601
40,0.2411,0.2501,0.8707,0.771,0.8878,0.9609,0.2514,0.8672,0.7656,0.8853,0.9603
41,0.2396,0.2517,0.8712,0.7718,0.8885,0.9609,0.2517,0.8688,0.7681,0.887,0.9604
42,0.239,0.2489,0.8705,0.7707,0.8875,0.9612,0.2501,0.867,0.7653,0.885,0.9607
43,0.2397,0.2484,0.8722,0.7734,0.8892,0.9615,0.2489,0.8694,0.7691,0.8874,0.9611
44,0.2386,0.2499,0.8729,0.7744,0.89,0.9616,0.2494,0.8705,0.7708,0.8886,0.9612
45,0.2371,0.2467,0.8716,0.7724,0.8884,0.9619,0.2481,0.8682,0.7671,0.886,0.9614
46,0.2341,0.2469,0.8709,0.7713,0.8877,0.9618,0.2485,0.8673,0.7658,0.8852,0.9614
47,0.2331,0.2491,0.8732,0.775,0.8903,0.9619,0.2482,0.8711,0.7718,0.8891,0.9616
48,0.2315,0.2474,0.8692,0.7687,0.8861,0.9619,0.2508,0.8645,0.7614,0.8826,0.9612
49,0.2305,0.2459,0.8718,0.7728,0.8886,0.9621,0.2476,0.8682,0.7672,0.886,0.9616
50,0.229,0.2471,0.8734,0.7752,0.8903,0.9621,0.2476,0.8707,0.7711,0.8886,0.9615
51,0.2281,0.2467,0.8729,0.7744,0.8898,0.962,0.2473,0.87,0.7699,0.8878,0.9616
52,0.2261,0.2466,0.8722,0.7734,0.889,0.9619,0.2478,0.8688,0.7681,0.8866,0.9615
53,0.2259,0.2472,0.8727,0.7742,0.8896,0.9619,0.2481,0.8696,0.7694,0.8875,0.9613
54,0.224,0.2475,0.8736,0.7756,0.8905,0.9621,0.2471,0.8711,0.7718,0.8889,0.9617
55,0.2225,0.2489,0.873,0.7746,0.89,0.9617,0.2482,0.8711,0.7717,0.8891,0.9615
56,0.2213,0.2469,0.8729,0.7745,0.8898,0.962,0.2474,0.8702,0.7703,0.888,0.9616
57,0.2202,0.2475,0.8732,0.775,0.8902,0.962,0.2479,0.8706,0.771,0.8885,0.9615
58,0.2181,0.2484,0.8726,0.7739,0.8895,0.9616,0.2492,0.8695,0.7692,0.8874,0.9611
59,0.2187,0.2476,0.8722,0.7733,0.889,0.9617,0.2489,0.8692,0.7688,0.8871,0.9612
60,0.2165,0.2477,0.8721,0.7732,0.8889,0.9618,0.249,0.8688,0.7682,0.8867,0.9614
61,0.2157,0.2477,0.872,0.773,0.8888,0.9618,0.2492,0.8688,0.7682,0.8867,0.9613
62,0.2153,0.2487,0.8708,0.7711,0.8876,0.9616,0.2507,0.8673,0.7657,0.8852,0.9611
63,0.2127,0.2485,0.8726,0.774,0.8895,0.9618,0.2495,0.8695,0.7692,0.8874,0.9612
64,0.2118,0.2497,0.8723,0.7735,0.8893,0.9614,0.2507,0.8695,0.7691,0.8874,0.9609
65,0.2103,0.2499,0.8717,0.7727,0.8887,0.9614,0.2508,0.869,0.7684,0.8869,0.9609
66,0.2118,0.2493,0.8712,0.7718,0.8881,0.9616,0.2509,0.868,0.7668,0.8858,0.9611
67,0.21,0.2529,0.8729,0.7745,0.8901,0.9613,0.252,0.8711,0.7718,0.8892,0.9609
68,0.2093,0.2498,0.8723,0.7736,0.8893,0.9614,0.2505,0.8698,0.7697,0.8877,0.961
69,0.2056,0.2538,0.8721,0.7732,0.8893,0.9609,0.2533,0.8698,0.7697,0.888,0.9604
70,0.205,0.2532,0.8695,0.7691,0.8865,0.9606,0.2552,0.8662,0.764,0.8842,0.9602
71,0.2032,0.2531,0.8713,0.772,0.8884,0.9608,0.2533,0.869,0.7684,0.887,0.9605
72,0.2033,0.2536,0.8712,0.7718,0.8883,0.9607,0.254,0.8688,0.7681,0.8868,0.9603
73,0.2017,0.2542,0.8716,0.7724,0.8887,0.9607,0.2545,0.8692,0.7688,0.8873,0.9603
74,0.2007,0.2541,0.8704,0.7705,0.8875,0.9606,0.2556,0.8674,0.7659,0.8854,0.9601
75,0.2016,0.2553,0.8692,0.7687,0.8863,0.9606,0.257,0.8663,0.7643,0.8844,0.9602
76,0.2008,0.2566,0.8676,0.7662,0.8848,0.9606,0.2606,0.863,0.7592,0.8814,0.9599
77,0.198,0.2551,0.8705,0.7707,0.8877,0.9605,0.2565,0.8677,0.7664,0.8858,0.9599
78,0.1959,0.2576,0.871,0.7714,0.8883,0.9601,0.2579,0.8684,0.7675,0.8867,0.9595
79,0.1954,0.2591,0.8704,0.7705,0.8878,0.9598,0.2589,0.8684,0.7675,0.8867,0.9593
80,0.1942,0.2593,0.8707,0.771,0.888,0.9599,0.259,0.8684,0.7676,0.8867,0.9594
81,0.1926,0.2596,0.8687,0.7678,0.886,0.9595,0.2609,0.8658,0.7635,0.8841,0.959
82,0.1907,0.2597,0.8703,0.7704,0.8876,0.9598,0.2605,0.8675,0.766,0.8858,0.9592
83,0.1893,0.2602,0.8695,0.7692,0.8868,0.9597,0.2612,0.8667,0.7648,0.8849,0.9592
