epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6237,0.5902,0.6106,0.4396,0.6749,0.7476,0.5922,0.6011,0.4297,0.67,0.7425
2,0.48,0.4516,0.7352,0.5814,0.7748,0.8724,0.451,0.7298,0.5746,0.7727,0.8727
3,0.426,0.4138,0.7677,0.6231,0.7995,0.8928,0.4135,0.7621,0.6156,0.7968,0.8927
4,0.4008,0.3932,0.7844,0.6453,0.8128,0.903,0.3916,0.78,0.6394,0.8108,0.9036
5,0.3847,0.3791,0.791,0.6543,0.8186,0.9091,0.3781,0.7868,0.6486,0.8167,0.9094
6,0.3728,0.3698,0.7999,0.6665,0.8256,0.9138,0.3679,0.7963,0.6616,0.8242,0.9143
7,0.3635,0.3609,0.8007,0.6676,0.8271,0.9173,0.36,0.7967,0.6621,0.8252,0.9177
8,0.354,0.3539,0.8084,0.6785,0.8333,0.9211,0.3517,0.8058,0.6748,0.8324,0.9218
9,0.3453,0.3448,0.8151,0.6878,0.8389,0.9253,0.3424,0.8122,0.6837,0.8378,0.926
10,0.3375,0.3357,0.8206,0.6957,0.8438,0.9293,0.3345,0.817,0.6907,0.842,0.9295
11,0.3281,0.3264,0.8231,0.6994,0.8464,0.9331,0.3267,0.8188,0.6932,0.8438,0.9331
12,0.3187,0.3201,0.8341,0.7154,0.8553,0.9372,0.3183,0.8314,0.7115,0.8542,0.9372
13,0.3106,0.3105,0.834,0.7152,0.8556,0.9397,0.3107,0.8302,0.7098,0.8535,0.9396
14,0.3021,0.3037,0.8401,0.7243,0.8609,0.9426,0.3029,0.837,0.7198,0.8593,0.9427
15,0.2961,0.2977,0.8446,0.731,0.8648,0.9452,0.2972,0.8416,0.7266,0.8632,0.945
16,0.291,0.2924,0.844,0.7302,0.8644,0.9466,0.2931,0.8403,0.7246,0.8621,0.9465
17,0.2859,0.289,0.8469,0.7344,0.8668,0.9478,0.2897,0.8433,0.7291,0.8646,0.9476
18,0.2808,0.2854,0.8494,0.7383,0.869,0.9491,0.2849,0.8468,0.7344,0.8677,0.9493
19,0.2767,0.2835,0.8519,0.742,0.8712,0.95,0.2831,0.8491,0.7378,0.8696,0.9499
20,0.2728,0.2805,0.8539,0.7451,0.873,0.9511,0.2799,0.851,0.7407,0.8713,0.951
21,0.2707,0.2785,0.8557,0.7479,0.8746,0.9519,0.277,0.8535,0.7445,0.8735,0.9521
22,0.2665,0.2755,0.8552,0.7471,0.8741,0.9525,0.2753,0.8526,0.7432,0.8727,0.9525
23,0.2629,0.274,0.8563,0.7488,0.8751,0.953,0.2736,0.8534,0.7443,0.8733,0.953
24,0.2599,0.2737,0.8589,0.7527,0.8774,0.9536,0.2719,0.8568,0.7496,0.8764,0.9537
25,0.2608,0.2705,0.8592,0.7532,0.8776,0.9543,0.2696,0.8563,0.7488,0.8759,0.9544
26,0.2559,0.2698,0.8591,0.753,0.8775,0.9544,0.2689,0.8567,0.7494,0.8762,0.9546
27,0.2527,0.2684,0.8604,0.755,0.8787,0.955,0.2686,0.8573,0.7502,0.8767,0.9547
28,0.2496,0.2685,0.8616,0.7569,0.8799,0.9553,0.2667,0.8601,0.7546,0.8793,0.9555
29,0.2469,0.2674,0.861,0.7559,0.8792,0.9553,0.2667,0.8584,0.752,0.8777,0.9553
30,0.2447,0.2663,0.8602,0.7547,0.8784,0.9555,0.2662,0.8574,0.7504,0.8767,0.9555
31,0.2412,0.2656,0.8614,0.7566,0.8796,0.9558,0.2653,0.8586,0.7523,0.8778,0.9558
32,0.2385,0.2659,0.8617,0.7571,0.8799,0.9558,0.2648,0.8596,0.7539,0.8787,0.9559
33,0.2369,0.2655,0.8605,0.7552,0.8787,0.9558,0.2657,0.8577,0.7509,0.8769,0.9558
34,0.2332,0.2678,0.8631,0.7591,0.8812,0.9559,0.266,0.8613,0.7564,0.8804,0.9558
35,0.2311,0.2658,0.8621,0.7576,0.8801,0.9559,0.2647,0.8599,0.7543,0.879,0.956
36,0.2277,0.2657,0.8618,0.7572,0.8799,0.9559,0.2652,0.8595,0.7537,0.8786,0.9559
37,0.2252,0.2669,0.8618,0.7571,0.8799,0.9556,0.2661,0.8597,0.7539,0.8788,0.9556
38,0.2235,0.2678,0.8627,0.7585,0.8808,0.9558,0.2659,0.8609,0.7559,0.8801,0.9559
39,0.221,0.2669,0.8601,0.7545,0.8783,0.9557,0.2674,0.857,0.7499,0.8764,0.9556
40,0.2177,0.2682,0.8614,0.7565,0.8796,0.9555,0.2686,0.8585,0.7521,0.8777,0.9551
41,0.2162,0.268,0.8618,0.7572,0.88,0.9556,0.2677,0.8594,0.7535,0.8786,0.9554
42,0.2125,0.2694,0.8616,0.7568,0.8798,0.9553,0.2676,0.8603,0.7549,0.8794,0.9555
43,0.2113,0.2718,0.8578,0.751,0.8763,0.9548,0.2728,0.855,0.7468,0.8746,0.9546
44,0.2088,0.2706,0.8608,0.7556,0.8791,0.9552,0.2701,0.8583,0.7519,0.8776,0.9551
45,0.2074,0.2711,0.8613,0.7564,0.8796,0.955,0.2695,0.8595,0.7536,0.8787,0.9551
46,0.2032,0.2723,0.8613,0.7564,0.8796,0.955,0.2707,0.8596,0.7538,0.8789,0.9551
47,0.2004,0.2738,0.8588,0.7526,0.8773,0.9545,0.2735,0.8565,0.7491,0.876,0.9546
48,0.1979,0.2745,0.8595,0.7536,0.8779,0.9545,0.2736,0.8574,0.7505,0.8769,0.9545
49,0.1963,0.2761,0.8599,0.7542,0.8783,0.9542,0.2749,0.8577,0.7509,0.8772,0.9542
50,0.1934,0.2777,0.8587,0.7524,0.8772,0.954,0.2773,0.8562,0.7486,0.8758,0.954
51,0.1911,0.2789,0.8579,0.7512,0.8765,0.9536,0.2784,0.8559,0.7481,0.8755,0.9536
52,0.1891,0.2803,0.8589,0.7527,0.8774,0.9535,0.2788,0.8568,0.7496,0.8765,0.9535
53,0.1868,0.2804,0.8585,0.7521,0.8771,0.9539,0.2793,0.8563,0.7488,0.8759,0.954
54,0.1839,0.2829,0.8594,0.7534,0.8779,0.9536,0.2807,0.8577,0.751,0.8773,0.9536
55,0.1819,0.2835,0.8584,0.7519,0.8769,0.9533,0.2818,0.8568,0.7496,0.8764,0.9534
56,0.1795,0.2852,0.8583,0.7518,0.8769,0.953,0.2832,0.8566,0.7493,0.8763,0.9531
57,0.1778,0.2897,0.8537,0.7448,0.8728,0.9527,0.2907,0.8508,0.7405,0.8711,0.9526
58,0.1755,0.2873,0.8573,0.7502,0.876,0.9529,0.2861,0.8554,0.7475,0.8752,0.953
59,0.1731,0.2896,0.8565,0.7491,0.8753,0.9524,0.2881,0.8547,0.7464,0.8746,0.9525
60,0.1723,0.2922,0.8567,0.7493,0.8755,0.9519,0.2895,0.8554,0.7474,0.8753,0.9522
61,0.1744,0.2904,0.8572,0.7501,0.8759,0.9526,0.2893,0.8552,0.7471,0.875,0.9526
62,0.1733,0.2921,0.8563,0.7487,0.8751,0.9521,0.2907,0.8544,0.746,0.8743,0.9522
63,0.1676,0.2935,0.8565,0.749,0.8753,0.9521,0.2912,0.8551,0.747,0.8749,0.9525
64,0.1651,0.2963,0.8547,0.7463,0.8738,0.9516,0.2954,0.8528,0.7435,0.8729,0.9517
65,0.1632,0.2973,0.8564,0.7489,0.8753,0.952,0.2946,0.8551,0.747,0.875,0.9522
66,0.1624,0.2995,0.8563,0.7487,0.8752,0.9517,0.2967,0.8547,0.7464,0.8746,0.9519
67,0.1583,0.3002,0.8551,0.7469,0.8741,0.9513,0.2974,0.8539,0.7451,0.8739,0.9516
68,0.1574,0.3033,0.8544,0.7458,0.8734,0.9513,0.3016,0.8525,0.743,0.8726,0.9514
69,0.1548,0.305,0.8552,0.7471,0.8742,0.9512,0.3023,0.8541,0.7455,0.8741,0.9514
70,0.1558,0.3087,0.8561,0.7484,0.8751,0.9508,0.3041,0.8557,0.7479,0.8757,0.9512
71,0.154,0.3057,0.8553,0.7473,0.8743,0.951,0.3027,0.8542,0.7456,0.8742,0.9512
72,0.1515,0.3112,0.8539,0.7451,0.8731,0.9507,0.3086,0.8527,0.7434,0.8729,0.9509
73,0.1485,0.3129,0.8542,0.7455,0.8733,0.9503,0.3092,0.8531,0.7439,0.8732,0.9507
74,0.1472,0.3132,0.8547,0.7463,0.8738,0.9505,0.3096,0.8538,0.7451,0.874,0.9508
75,0.1451,0.3182,0.8532,0.744,0.8725,0.9493,0.3141,0.8522,0.7426,0.8726,0.9496
76,0.1439,0.3162,0.8542,0.7455,0.8734,0.9501,0.3127,0.8533,0.7443,0.8735,0.9505
77,0.1427,0.3183,0.8534,0.7443,0.8726,0.9499,0.3153,0.852,0.7423,0.8723,0.9502
78,0.1415,0.3197,0.8524,0.7427,0.8717,0.9498,0.318,0.8506,0.7402,0.8711,0.9499
