epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6933,0.7741,0.5866,0.4153,0.6041,0.6296,0.7692,0.5798,0.4083,0.6038,0.6298
2,0.5226,0.4781,0.7419,0.5897,0.7726,0.8604,0.4722,0.7419,0.5898,0.7753,0.864
3,0.4553,0.4314,0.7694,0.6252,0.7976,0.8857,0.4301,0.7648,0.6192,0.7959,0.8856
4,0.427,0.4127,0.7814,0.6412,0.8082,0.8961,0.4121,0.7768,0.6351,0.8063,0.8954
5,0.41,0.3973,0.788,0.6502,0.8144,0.9023,0.3966,0.7836,0.6442,0.8125,0.9018
6,0.3983,0.3874,0.7939,0.6583,0.8195,0.9067,0.3868,0.7895,0.6523,0.8174,0.9061
7,0.3895,0.3807,0.7982,0.6642,0.8233,0.91,0.3797,0.7945,0.6591,0.8217,0.9097
8,0.3836,0.3727,0.7997,0.6663,0.8251,0.9126,0.3722,0.7953,0.6602,0.8229,0.9121
9,0.3772,0.3667,0.8012,0.6683,0.8266,0.9147,0.3662,0.7969,0.6625,0.8246,0.9144
10,0.3734,0.362,0.8026,0.6703,0.8281,0.9165,0.3617,0.798,0.664,0.8257,0.9163
11,0.3691,0.3591,0.8064,0.6756,0.8311,0.9183,0.3576,0.8027,0.6705,0.8294,0.9185
12,0.3648,0.3527,0.8098,0.6805,0.8343,0.9213,0.3527,0.8055,0.6743,0.8319,0.9208
13,0.3588,0.3454,0.8132,0.6852,0.8374,0.9245,0.3461,0.8084,0.6785,0.8347,0.9239
14,0.3522,0.3382,0.8205,0.6956,0.8436,0.9286,0.3377,0.8169,0.6905,0.8417,0.9284
15,0.3444,0.3299,0.8243,0.7012,0.8471,0.9321,0.3297,0.8202,0.6953,0.8448,0.9319
16,0.3369,0.323,0.831,0.7108,0.8528,0.9356,0.3221,0.8276,0.7059,0.8509,0.9355
17,0.3308,0.3143,0.8341,0.7154,0.8557,0.9387,0.314,0.8303,0.7099,0.8534,0.9386
18,0.323,0.3073,0.838,0.7211,0.8591,0.9415,0.3071,0.8348,0.7166,0.8573,0.9415
19,0.3165,0.3031,0.8443,0.7306,0.8645,0.9441,0.3021,0.8417,0.7267,0.8632,0.9439
20,0.3107,0.297,0.8452,0.7318,0.8653,0.9457,0.2969,0.8417,0.7268,0.8632,0.9455
21,0.3066,0.3165,0.8432,0.7289,0.8636,0.9424,0.2927,0.8438,0.7298,0.8649,0.9467
22,0.3054,0.2913,0.8497,0.7387,0.8693,0.9481,0.2895,0.8471,0.7348,0.8678,0.9482
23,0.3009,0.2888,0.8515,0.7413,0.8709,0.949,0.2859,0.8497,0.7387,0.8701,0.9496
24,0.2989,0.2851,0.8525,0.7429,0.8717,0.95,0.2832,0.8503,0.7396,0.8705,0.9504
25,0.2953,0.2821,0.8544,0.7458,0.8735,0.9511,0.2803,0.8526,0.7432,0.8726,0.9514
26,0.2927,0.2822,0.8543,0.7457,0.8733,0.951,0.2783,0.8535,0.7444,0.8733,0.952
27,0.2906,0.279,0.8568,0.7495,0.8756,0.9524,0.2765,0.8556,0.7476,0.8752,0.9528
28,0.2886,0.2794,0.8551,0.7469,0.874,0.9518,0.275,0.8542,0.7455,0.8739,0.9532
29,0.2865,0.2769,0.8574,0.7505,0.8761,0.9527,0.2727,0.8564,0.7489,0.8759,0.9538
30,0.2852,0.2744,0.8589,0.7528,0.8775,0.9536,0.2714,0.8575,0.7506,0.8769,0.9543
31,0.284,0.2749,0.8577,0.7508,0.8763,0.9533,0.27,0.8567,0.7493,0.8761,0.9546
32,0.2819,0.2695,0.8597,0.754,0.8781,0.9549,0.2683,0.8574,0.7505,0.8767,0.9552
33,0.2813,0.2688,0.8617,0.7571,0.88,0.9556,0.2664,0.8606,0.7554,0.8797,0.956
34,0.2795,0.2666,0.8626,0.7583,0.8807,0.9561,0.2646,0.8611,0.7561,0.88,0.9565
35,0.2783,0.2663,0.8621,0.7576,0.8801,0.9561,0.2643,0.8603,0.7549,0.8792,0.9566
36,0.2783,0.2663,0.8606,0.7553,0.8788,0.956,0.2647,0.8579,0.7512,0.877,0.9565
37,0.2761,0.2657,0.8635,0.7599,0.8815,0.9565,0.262,0.8621,0.7577,0.8809,0.9573
38,0.2744,0.2695,0.8634,0.7596,0.8814,0.956,0.2615,0.8623,0.7579,0.881,0.9574
39,0.2739,0.2645,0.8645,0.7614,0.8824,0.957,0.2602,0.863,0.759,0.8816,0.9578
40,0.2726,0.2837,0.8626,0.7584,0.8806,0.9546,0.2595,0.8626,0.7584,0.8812,0.9579
41,0.272,0.2603,0.8665,0.7644,0.8841,0.9582,0.258,0.8646,0.7616,0.8831,0.9585
42,0.271,0.2615,0.8663,0.7642,0.884,0.958,0.2577,0.8649,0.7619,0.8833,0.9586
43,0.2708,0.2611,0.8656,0.7631,0.8834,0.9578,0.2579,0.864,0.7606,0.8825,0.9583
44,0.2708,0.2567,0.8665,0.7644,0.884,0.959,0.2562,0.8641,0.7607,0.8824,0.9591
45,0.2688,0.2551,0.8672,0.7655,0.8846,0.9594,0.2551,0.8643,0.7611,0.8826,0.9592
