epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6423,0.5865,0.6171,0.4463,0.6747,0.7482,0.5851,0.6083,0.4371,0.6724,0.7478
2,0.5106,0.4657,0.7418,0.5897,0.7756,0.8653,0.4643,0.736,0.5823,0.7734,0.8653
3,0.4434,0.4168,0.7717,0.6282,0.8011,0.8905,0.415,0.7669,0.622,0.7991,0.8907
4,0.4132,0.3952,0.785,0.6461,0.8125,0.9011,0.3935,0.7812,0.641,0.811,0.9014
5,0.3956,0.3849,0.7943,0.6588,0.8199,0.9069,0.3822,0.7916,0.655,0.8192,0.9075
6,0.3844,0.379,0.7981,0.6641,0.8232,0.9099,0.3751,0.7962,0.6614,0.8231,0.911
7,0.3762,0.3674,0.8027,0.6705,0.8276,0.9145,0.3649,0.7996,0.6662,0.8265,0.9151
8,0.3677,0.3581,0.8069,0.6763,0.8316,0.9187,0.3563,0.8035,0.6716,0.8302,0.9191
9,0.3593,0.3477,0.812,0.6835,0.8364,0.9237,0.3464,0.8092,0.6796,0.8353,0.9241
10,0.3498,0.3385,0.8204,0.6955,0.8435,0.9284,0.337,0.8177,0.6917,0.8424,0.9287
11,0.3403,0.3281,0.8247,0.7018,0.8476,0.9326,0.3279,0.8206,0.6958,0.8452,0.9326
12,0.3313,0.3186,0.8312,0.7111,0.8531,0.9368,0.3183,0.8272,0.7054,0.8508,0.9368
13,0.323,0.3119,0.8334,0.7143,0.8552,0.9396,0.3124,0.8289,0.7078,0.8524,0.9396
14,0.3154,0.3049,0.8406,0.7251,0.8613,0.9425,0.3042,0.8374,0.7203,0.8595,0.9425
15,0.3099,0.2996,0.8444,0.7307,0.8646,0.9448,0.299,0.8413,0.7262,0.8629,0.9446
16,0.3055,0.2951,0.8455,0.7324,0.8656,0.946,0.2946,0.8425,0.7278,0.8639,0.946
17,0.3007,0.2904,0.8486,0.737,0.8683,0.9478,0.2907,0.8448,0.7314,0.866,0.9475
18,0.2972,0.2887,0.8516,0.7415,0.8709,0.949,0.2879,0.8489,0.7375,0.8695,0.9487
19,0.2939,0.2841,0.8506,0.74,0.8701,0.9498,0.2851,0.847,0.7346,0.8678,0.9494
20,0.2908,0.283,0.854,0.7452,0.8731,0.9509,0.2826,0.8516,0.7416,0.8719,0.9505
21,0.2871,0.2785,0.8537,0.7447,0.8728,0.9518,0.2797,0.8504,0.7397,0.8707,0.9512
22,0.2859,0.2768,0.8551,0.7469,0.874,0.9524,0.2775,0.8523,0.7426,0.8723,0.952
23,0.2833,0.2773,0.8541,0.7454,0.8732,0.952,0.2777,0.8517,0.7418,0.8718,0.9519
24,0.2806,0.2734,0.8569,0.7496,0.8756,0.9535,0.2746,0.8539,0.7451,0.8737,0.9529
25,0.278,0.2712,0.8574,0.7504,0.876,0.9541,0.2725,0.854,0.7453,0.8738,0.9537
26,0.2762,0.2721,0.8608,0.7556,0.8792,0.9548,0.2711,0.859,0.7528,0.8784,0.9545
27,0.2739,0.2691,0.8586,0.7522,0.877,0.9548,0.2703,0.8554,0.7473,0.8749,0.9544
28,0.2713,0.2684,0.86,0.7544,0.8783,0.9551,0.2691,0.8572,0.7502,0.8766,0.9546
29,0.2696,0.2674,0.8579,0.7512,0.8764,0.9553,0.2697,0.8543,0.7458,0.874,0.9547
30,0.2674,0.2658,0.86,0.7544,0.8782,0.9558,0.2675,0.8565,0.7491,0.8759,0.9553
31,0.2655,0.2658,0.8612,0.7562,0.8794,0.9559,0.2667,0.8582,0.7517,0.8775,0.9554
32,0.2631,0.2654,0.8595,0.7537,0.8778,0.9558,0.2671,0.8563,0.7487,0.8757,0.9553
33,0.2616,0.2646,0.8627,0.7586,0.8808,0.9564,0.265,0.86,0.7544,0.8791,0.9559
34,0.2596,0.2638,0.8618,0.7572,0.8799,0.9564,0.2648,0.859,0.7529,0.8781,0.9559
35,0.2575,0.2637,0.8616,0.7569,0.8797,0.9563,0.265,0.8587,0.7525,0.8779,0.9558
36,0.2585,0.2666,0.8624,0.7581,0.8805,0.9557,0.2661,0.8604,0.755,0.8795,0.9555
37,0.2601,0.2621,0.8629,0.7588,0.8808,0.9569,0.2629,0.86,0.7544,0.879,0.9565
38,0.2543,0.2619,0.863,0.7591,0.881,0.9569,0.2628,0.8603,0.7549,0.8793,0.9565
39,0.2513,0.2626,0.8637,0.7601,0.8816,0.9569,0.2628,0.8612,0.7563,0.8801,0.9565
40,0.2496,0.2632,0.8623,0.7579,0.8803,0.9565,0.2638,0.8598,0.7541,0.8788,0.9561
41,0.2467,0.2626,0.8636,0.76,0.8815,0.9568,0.263,0.861,0.756,0.88,0.9564
42,0.2445,0.2635,0.8633,0.7594,0.8813,0.9565,0.2637,0.861,0.7559,0.88,0.9562
43,0.2432,0.2636,0.8626,0.7584,0.8806,0.9564,0.2642,0.8603,0.7548,0.8793,0.956
44,0.2412,0.2634,0.8632,0.7593,0.8812,0.9566,0.2638,0.8607,0.7555,0.8797,0.9562
45,0.2395,0.2644,0.864,0.7606,0.882,0.9567,0.2639,0.8619,0.7573,0.8808,0.9563
46,0.238,0.2641,0.8626,0.7584,0.8806,0.9563,0.2646,0.8603,0.7549,0.8793,0.9559
47,0.2358,0.2651,0.8619,0.7573,0.88,0.9561,0.2656,0.8596,0.7539,0.8788,0.9558
48,0.2335,0.2666,0.863,0.7591,0.8812,0.956,0.2662,0.8612,0.7563,0.8803,0.9556
49,0.2315,0.2664,0.8621,0.7577,0.8802,0.9559,0.2669,0.8599,0.7543,0.879,0.9555
50,0.2303,0.2672,0.863,0.759,0.8811,0.956,0.2667,0.8613,0.7564,0.8804,0.9556
51,0.2275,0.2678,0.8608,0.7557,0.879,0.9553,0.2689,0.8582,0.7517,0.8775,0.9549
52,0.2254,0.269,0.8595,0.7536,0.8779,0.955,0.2697,0.8571,0.75,0.8765,0.9548
53,0.2246,0.2709,0.8619,0.7574,0.8802,0.9552,0.27,0.86,0.7545,0.8793,0.955
54,0.2245,0.2694,0.8599,0.7542,0.8782,0.955,0.2706,0.8572,0.7501,0.8766,0.9546
55,0.2214,0.2697,0.8612,0.7563,0.8795,0.9552,0.2698,0.8592,0.7532,0.8785,0.9549
56,0.2188,0.2721,0.86,0.7545,0.8784,0.9546,0.2729,0.8573,0.7503,0.8767,0.9542
57,0.2169,0.272,0.8603,0.7549,0.8787,0.9547,0.2722,0.8583,0.7518,0.8776,0.9545
58,0.2161,0.2729,0.8588,0.7525,0.8773,0.9542,0.2741,0.8561,0.7485,0.8757,0.9539
59,0.2144,0.2755,0.8594,0.7535,0.8779,0.9539,0.2757,0.8574,0.7505,0.877,0.9534
60,0.2121,0.2754,0.86,0.7545,0.8784,0.9543,0.2759,0.8578,0.7511,0.8773,0.9538
61,0.211,0.2777,0.8584,0.7519,0.8769,0.9536,0.2781,0.856,0.7484,0.8756,0.9533
62,0.2094,0.2768,0.8582,0.7516,0.8767,0.9537,0.2782,0.8553,0.7472,0.875,0.9533
63,0.2076,0.2782,0.8571,0.7499,0.8758,0.953,0.2797,0.8544,0.7459,0.8743,0.9525
64,0.206,0.278,0.8583,0.7517,0.8768,0.9535,0.2792,0.8559,0.7482,0.8756,0.9531
65,0.2041,0.2818,0.8563,0.7487,0.875,0.9531,0.2845,0.853,0.7437,0.873,0.9525
66,0.2017,0.2824,0.8582,0.7517,0.8769,0.9529,0.2829,0.8559,0.7482,0.8757,0.9525
67,0.2006,0.2825,0.8585,0.7521,0.8772,0.953,0.2826,0.8564,0.7489,0.8761,0.9526
68,0.1991,0.2844,0.8569,0.7496,0.8756,0.9525,0.2863,0.8542,0.7456,0.8741,0.9518
69,0.1963,0.2846,0.8575,0.7506,0.8762,0.9526,0.2853,0.8553,0.7473,0.8751,0.9522
