epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6449,0.7316,0.5333,0.3637,0.6023,0.6372,0.7135,0.5227,0.3538,0.6012,0.6391
2,0.5276,0.5052,0.6844,0.5202,0.7316,0.8235,0.5063,0.6756,0.5102,0.7281,0.8223
3,0.4861,0.4814,0.7138,0.5549,0.7516,0.8418,0.4805,0.7079,0.5479,0.7499,0.8419
4,0.4719,0.4712,0.7278,0.5722,0.7616,0.8506,0.4693,0.7238,0.5671,0.761,0.851
5,0.4644,0.4611,0.7301,0.5749,0.7651,0.8561,0.46,0.7249,0.5686,0.7635,0.8564
6,0.4593,0.4586,0.7305,0.5755,0.7658,0.8574,0.4581,0.725,0.5686,0.764,0.8575
7,0.4554,0.4589,0.7345,0.5804,0.7678,0.8578,0.4574,0.7299,0.5746,0.7666,0.858
8,0.4524,0.4537,0.74,0.5873,0.772,0.8616,0.4518,0.7356,0.5817,0.7709,0.8621
9,0.4503,0.4526,0.7384,0.5853,0.7713,0.8617,0.4507,0.7341,0.58,0.7704,0.8624
10,0.4482,0.4581,0.7296,0.5744,0.7653,0.8575,0.4572,0.7241,0.5675,0.7635,0.8581
11,0.4457,0.4391,0.7465,0.5956,0.7792,0.8707,0.4374,0.7421,0.59,0.7779,0.8714
12,0.4445,0.4464,0.7413,0.589,0.7744,0.8655,0.4445,0.7372,0.5838,0.7733,0.8664
13,0.4425,0.4531,0.738,0.5848,0.7707,0.861,0.4505,0.7345,0.5804,0.7701,0.8622
14,0.4392,0.4251,0.7603,0.6133,0.7904,0.8806,0.4227,0.7561,0.6079,0.7891,0.8813
15,0.4326,0.4555,0.7356,0.5819,0.7691,0.8598,0.4491,0.7359,0.5823,0.7716,0.8635
16,0.413,0.4481,0.7408,0.5886,0.7745,0.8655,0.4197,0.7566,0.6086,0.7907,0.8832
17,0.3927,0.3965,0.7835,0.6441,0.8107,0.8984,0.3814,0.789,0.6517,0.8175,0.9066
18,0.3894,0.4401,0.7565,0.609,0.7865,0.8731,0.4213,0.7615,0.6149,0.7934,0.8829
19,0.3755,0.4011,0.7813,0.6412,0.8087,0.8956,0.3772,0.792,0.6557,0.8199,0.908
20,0.3634,0.4151,0.7776,0.6365,0.8046,0.8891,0.3749,0.796,0.6613,0.8229,0.9096
21,0.3649,0.3617,0.8038,0.6721,0.8293,0.9161,0.3475,0.8082,0.6782,0.8346,0.9231
22,0.3564,0.3873,0.7945,0.6592,0.8199,0.9041,0.346,0.815,0.6879,0.8398,0.9249
23,0.3466,0.4349,0.7598,0.6128,0.7904,0.8783,0.3666,0.7948,0.6599,0.8233,0.9131
24,0.3382,0.3929,0.7849,0.6461,0.8132,0.9006,0.3407,0.8107,0.6817,0.8369,0.9265
25,0.3329,0.3606,0.8027,0.6709,0.8291,0.9167,0.342,0.8088,0.6793,0.8356,0.9256
26,0.3417,0.3456,0.8112,0.6825,0.8365,0.9243,0.3422,0.8087,0.679,0.8356,0.9261
27,0.3303,0.4065,0.7808,0.6414,0.8088,0.8951,0.3287,0.819,0.6935,0.8439,0.9317
28,0.3345,0.3624,0.803,0.6712,0.8288,0.9158,0.3684,0.7953,0.6604,0.8237,0.9128
29,0.3301,0.3423,0.8158,0.6892,0.8399,0.9254,0.3462,0.8087,0.679,0.8348,0.923
30,0.3351,0.3333,0.8201,0.6952,0.844,0.9296,0.3296,0.8173,0.6912,0.8428,0.9314
31,0.3311,0.341,0.8205,0.6958,0.8435,0.9265,0.3284,0.8241,0.7009,0.8478,0.9317
32,0.3209,0.3289,0.8265,0.7046,0.8493,0.9317,0.3209,0.8255,0.7031,0.8495,0.9349
33,0.3089,0.3384,0.8169,0.691,0.8415,0.9274,0.3248,0.819,0.6937,0.8442,0.9333
34,0.3071,0.3479,0.8165,0.6905,0.8405,0.9234,0.3474,0.8117,0.683,0.8371,0.9226
35,0.3031,0.3622,0.8078,0.6782,0.8323,0.9164,0.3271,0.8216,0.6973,0.8459,0.9317
36,0.3111,0.3517,0.8102,0.6811,0.835,0.9212,0.3346,0.814,0.6864,0.8397,0.9286
37,0.3086,0.3526,0.8131,0.6852,0.8376,0.9215,0.3515,0.8072,0.6779,0.8345,0.9214
38,0.3058,0.3517,0.8113,0.6829,0.8359,0.9212,0.3473,0.8055,0.6746,0.8327,0.9227
39,0.298,0.3749,0.806,0.6758,0.8304,0.9123,0.3434,0.8154,0.6886,0.8402,0.9246
40,0.3238,0.3136,0.8373,0.7203,0.8585,0.9383,0.3002,0.8408,0.7254,0.8624,0.9432
41,0.3154,0.4193,0.7824,0.6431,0.8097,0.8931,0.4619,0.7544,0.6062,0.7877,0.8739
42,0.3049,0.3186,0.8361,0.7187,0.8574,0.9369,0.3261,0.8275,0.7065,0.8512,0.9326
43,0.3002,0.3081,0.8376,0.7207,0.8589,0.9401,0.3033,0.8366,0.7192,0.8589,0.9419
44,0.2957,0.3681,0.8022,0.6703,0.8285,0.9153,0.3818,0.7874,0.6497,0.8179,0.9093
45,0.2998,0.3067,0.8385,0.7221,0.8597,0.9406,0.3006,0.8378,0.7209,0.8599,0.9429
