epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6461,0.6079,0.6407,0.4714,0.6736,0.7345,0.6007,0.6389,0.4694,0.6761,0.7396
2,0.5298,0.5109,0.7165,0.5583,0.7458,0.8283,0.506,0.7135,0.5546,0.7466,0.8304
3,0.494,0.4883,0.7255,0.5693,0.7555,0.8406,0.4842,0.722,0.5649,0.7557,0.8422
4,0.4772,0.4732,0.7306,0.5756,0.762,0.8491,0.4693,0.7276,0.5718,0.7623,0.851
5,0.4676,0.4631,0.7328,0.5783,0.7658,0.8549,0.4592,0.7302,0.5751,0.7662,0.8572
6,0.4603,0.4579,0.7356,0.5818,0.7684,0.8581,0.4544,0.7337,0.5795,0.7692,0.8602
7,0.4529,0.482,0.7114,0.5521,0.7485,0.8394,0.4764,0.7111,0.5517,0.7508,0.8433
8,0.4348,0.4658,0.7376,0.5842,0.7683,0.8543,0.4515,0.7423,0.5902,0.7754,0.8634
9,0.4104,0.4161,0.768,0.6234,0.7981,0.8874,0.4187,0.7609,0.6141,0.794,0.8853
10,0.4096,0.4231,0.7683,0.6238,0.7962,0.8829,0.4178,0.7675,0.6227,0.7977,0.8855
11,0.3931,0.4106,0.7744,0.6318,0.8028,0.89,0.3926,0.7819,0.6419,0.8113,0.9007
12,0.379,0.4064,0.7739,0.6312,0.8033,0.8921,0.3983,0.7747,0.6323,0.8059,0.8967
13,0.373,0.4136,0.7787,0.6377,0.805,0.8895,0.4027,0.7814,0.6414,0.8095,0.895
14,0.3671,0.4504,0.7514,0.6018,0.7823,0.8674,0.4522,0.7457,0.5945,0.7792,0.8656
15,0.3548,0.44,0.7579,0.6106,0.7887,0.8747,0.4423,0.7519,0.6025,0.7859,0.8731
16,0.3481,0.3619,0.8081,0.678,0.8324,0.9169,0.3635,0.8021,0.6697,0.8289,0.9154
17,0.3465,0.395,0.7889,0.6516,0.8155,0.8996,0.3948,0.7842,0.645,0.8134,0.8992
18,0.3415,0.3625,0.8064,0.6757,0.8314,0.916,0.3568,0.8058,0.6749,0.8324,0.9186
19,0.3348,0.4443,0.7685,0.6242,0.7961,0.8762,0.4328,0.769,0.6248,0.7989,0.8808
20,0.3287,0.3981,0.791,0.6544,0.817,0.8993,0.3637,0.8045,0.6731,0.8308,0.9153
21,0.3221,0.3796,0.8003,0.6672,0.8256,0.9082,0.3505,0.8105,0.6814,0.8362,0.9214
22,0.3211,0.4126,0.7806,0.6406,0.809,0.893,0.3888,0.7877,0.6498,0.8171,0.9039
23,0.3141,0.38,0.7989,0.6654,0.825,0.9086,0.3437,0.8123,0.6841,0.8383,0.9247
24,0.3276,0.3345,0.8173,0.6912,0.8417,0.9293,0.3588,0.7997,0.6665,0.8283,0.9187
25,0.3234,0.3488,0.8175,0.6915,0.8407,0.9227,0.3386,0.8187,0.6931,0.8432,0.9269
26,0.3141,0.327,0.8273,0.7054,0.8496,0.9323,0.3161,0.829,0.708,0.8524,0.9369
27,0.3144,0.4249,0.7748,0.6326,0.8051,0.8896,0.4168,0.7732,0.6305,0.8058,0.8929
28,0.3103,0.3533,0.8171,0.6908,0.8404,0.9213,0.3488,0.8139,0.6864,0.839,0.9224
29,0.304,0.348,0.821,0.6965,0.8437,0.9243,0.3619,0.8114,0.6828,0.8366,0.9176
30,0.3017,0.3699,0.8086,0.6791,0.8329,0.9142,0.3576,0.8104,0.6815,0.8364,0.9193
31,0.2977,0.3505,0.8081,0.6781,0.8343,0.9239,0.3563,0.8019,0.6694,0.8305,0.9223
32,0.2981,0.442,0.7784,0.6373,0.8057,0.8855,0.4282,0.7811,0.6409,0.8101,0.8907
33,0.3111,0.4284,0.7821,0.6425,0.8105,0.8922,0.4104,0.7853,0.6468,0.815,0.8985
