epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6354,0.6111,0.5046,0.3374,0.6338,0.7263,0.6132,0.4922,0.3266,0.6294,0.7226
2,0.508,0.4788,0.7208,0.5635,0.7583,0.8487,0.4791,0.7133,0.5544,0.7551,0.8478
3,0.4618,0.449,0.7392,0.5863,0.7743,0.866,0.4501,0.7314,0.5766,0.7705,0.865
4,0.4427,0.4355,0.7545,0.6058,0.7856,0.8748,0.435,0.749,0.5987,0.7834,0.8744
5,0.4313,0.4303,0.7551,0.6066,0.7869,0.8771,0.4309,0.7487,0.5984,0.784,0.8763
6,0.4233,0.4197,0.7673,0.6224,0.7962,0.8844,0.4188,0.7626,0.6163,0.7943,0.8842
7,0.4164,0.4132,0.7682,0.6237,0.798,0.8876,0.4129,0.7635,0.6175,0.796,0.8874
8,0.4022,0.3928,0.7838,0.6445,0.8113,0.9001,0.3947,0.7776,0.6362,0.8078,0.8984
9,0.3895,0.3832,0.7915,0.655,0.8179,0.9058,0.3854,0.7856,0.6469,0.8145,0.9039
10,0.3801,0.3671,0.7984,0.6644,0.8245,0.9134,0.3681,0.7927,0.6567,0.8213,0.9126
11,0.3722,0.3677,0.7998,0.6664,0.8255,0.9134,0.3731,0.7915,0.655,0.8199,0.91
12,0.3665,0.358,0.8058,0.6748,0.8307,0.918,0.3588,0.8011,0.6682,0.8281,0.9171
13,0.3607,0.3521,0.8109,0.682,0.835,0.9212,0.3549,0.8048,0.6735,0.8312,0.9192
14,0.3621,0.3475,0.8134,0.6856,0.8373,0.9232,0.3476,0.8092,0.6796,0.835,0.9226
15,0.3545,0.3446,0.8103,0.6812,0.8355,0.9242,0.348,0.8036,0.6717,0.831,0.9228
16,0.3413,0.336,0.8189,0.6933,0.8424,0.9284,0.3374,0.8138,0.6861,0.8393,0.9276
17,0.3381,0.3316,0.8223,0.6982,0.8454,0.9307,0.333,0.8175,0.6914,0.8425,0.9298
18,0.3354,0.3342,0.8208,0.696,0.844,0.9292,0.3348,0.8167,0.6902,0.8417,0.9287
19,0.3291,0.3371,0.8152,0.6881,0.8397,0.9277,0.3366,0.8116,0.683,0.8378,0.9282
20,0.3256,0.3372,0.8127,0.6845,0.8379,0.9278,0.3365,0.8093,0.6797,0.8361,0.9287
21,0.3196,0.3244,0.824,0.7008,0.8472,0.9333,0.3211,0.8226,0.6987,0.847,0.935
22,0.3242,0.3327,0.8228,0.699,0.8457,0.9296,0.327,0.823,0.6993,0.847,0.9319
23,0.3168,0.3119,0.8356,0.7176,0.8569,0.9389,0.3118,0.832,0.7124,0.8548,0.9386
24,0.3122,0.3155,0.8307,0.7105,0.853,0.937,0.3125,0.8294,0.7085,0.8527,0.9384
25,0.3054,0.3077,0.8371,0.7199,0.8584,0.9403,0.3059,0.835,0.7168,0.8575,0.9409
26,0.303,0.3053,0.8358,0.7179,0.8573,0.9411,0.3072,0.8311,0.7111,0.8542,0.9405
27,0.2999,0.3002,0.8391,0.7228,0.8602,0.9432,0.3016,0.8351,0.717,0.8576,0.9427
28,0.2961,0.2966,0.8433,0.729,0.8637,0.9446,0.2973,0.84,0.7242,0.8617,0.9442
29,0.2956,0.3001,0.8378,0.7209,0.8591,0.9433,0.3013,0.8341,0.7154,0.8568,0.9431
