epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6131,0.5977,0.5541,0.3833,0.6581,0.7516,0.5921,0.5465,0.3761,0.6568,0.7557
2,0.5015,0.4819,0.7191,0.5615,0.7578,0.8495,0.4786,0.7156,0.5571,0.7577,0.8514
3,0.4612,0.4542,0.7404,0.5878,0.7741,0.8649,0.4518,0.736,0.5823,0.7731,0.8659
4,0.442,0.4391,0.7494,0.5992,0.7822,0.8734,0.4367,0.7454,0.5941,0.7812,0.8745
5,0.4276,0.4205,0.7583,0.6108,0.7913,0.8851,0.4182,0.7548,0.6061,0.7904,0.8865
6,0.4106,0.4103,0.7698,0.6259,0.8001,0.8911,0.4085,0.7657,0.6204,0.7985,0.8918
7,0.3946,0.3945,0.7804,0.6399,0.8093,0.8999,0.3892,0.7792,0.6383,0.81,0.9029
8,0.3871,0.3875,0.7875,0.6495,0.815,0.9039,0.3815,0.7868,0.6486,0.8161,0.9071
9,0.3786,0.376,0.7907,0.6539,0.8186,0.9093,0.3685,0.7917,0.6553,0.821,0.9136
10,0.3682,0.3696,0.797,0.6626,0.8236,0.9125,0.3634,0.7973,0.663,0.8253,0.9157
11,0.3599,0.3623,0.8077,0.6774,0.832,0.9174,0.3557,0.808,0.6778,0.8336,0.9202
12,0.353,0.356,0.8096,0.6801,0.834,0.9197,0.3513,0.8087,0.6789,0.8347,0.9216
13,0.3454,0.3435,0.8139,0.6863,0.8384,0.9253,0.3386,0.8137,0.686,0.8394,0.9277
14,0.3374,0.3456,0.8163,0.6897,0.8399,0.9243,0.3414,0.8153,0.6883,0.8404,0.926
15,0.3333,0.3348,0.819,0.6935,0.8428,0.929,0.329,0.8186,0.6929,0.8436,0.9318
16,0.3258,0.3497,0.8103,0.6811,0.8353,0.9217,0.3323,0.8168,0.6904,0.842,0.9299
17,0.3244,0.3244,0.8237,0.7002,0.847,0.9334,0.3206,0.8218,0.6975,0.8465,0.9355
18,0.3188,0.3261,0.8288,0.7077,0.8509,0.9332,0.3153,0.8316,0.7118,0.8544,0.9375
19,0.3125,0.3198,0.8313,0.7113,0.8532,0.9356,0.3104,0.8331,0.714,0.8558,0.9395
20,0.3127,0.3449,0.8178,0.6918,0.8414,0.9244,0.3305,0.8222,0.698,0.8462,0.9304
21,0.3055,0.3113,0.8321,0.7125,0.8543,0.9389,0.3056,0.832,0.7123,0.855,0.9416
22,0.3008,0.3081,0.8392,0.723,0.8601,0.9406,0.3012,0.8402,0.7244,0.8618,0.9432
23,0.3043,0.3089,0.836,0.7182,0.8575,0.9399,0.3042,0.8351,0.717,0.8576,0.9418
24,0.2988,0.3138,0.8361,0.7184,0.8573,0.9379,0.3008,0.8401,0.7243,0.8617,0.943
25,0.2944,0.2982,0.8444,0.7308,0.8647,0.9445,0.2954,0.8427,0.7282,0.8641,0.9453
