epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6566,0.6435,0.5435,0.3732,0.6179,0.6712,0.6407,0.5302,0.3608,0.6151,0.6716
2,0.5367,0.511,0.7047,0.5441,0.7434,0.8299,0.5128,0.6915,0.5286,0.737,0.8264
3,0.4756,0.4687,0.7372,0.5838,0.7699,0.8571,0.4672,0.7309,0.576,0.7677,0.8571
4,0.4496,0.4467,0.7501,0.6002,0.7814,0.8696,0.4446,0.7445,0.593,0.7794,0.8702
5,0.4355,0.4335,0.7606,0.6137,0.7902,0.8779,0.4314,0.7558,0.6075,0.7885,0.8784
6,0.4267,0.4303,0.7608,0.614,0.7904,0.8783,0.4281,0.7562,0.6081,0.7889,0.879
7,0.4206,0.4242,0.7653,0.6198,0.7941,0.8818,0.4217,0.7609,0.6141,0.7927,0.8826
8,0.4168,0.4149,0.7644,0.6186,0.7954,0.8867,0.4137,0.7596,0.6124,0.7935,0.8874
9,0.4126,0.4173,0.765,0.6194,0.7952,0.8851,0.4155,0.7604,0.6134,0.7935,0.8859
10,0.4063,0.3992,0.7783,0.6371,0.8068,0.8964,0.398,0.7732,0.6303,0.8044,0.8968
11,0.3918,0.3777,0.7973,0.6629,0.8229,0.9099,0.3754,0.7935,0.6578,0.8213,0.9104
12,0.378,0.3775,0.7956,0.6607,0.8216,0.9089,0.3736,0.7936,0.6578,0.8214,0.9105
13,0.369,0.3561,0.8084,0.6784,0.8332,0.9203,0.3556,0.8034,0.6714,0.8304,0.9202
14,0.3656,0.3512,0.8148,0.6875,0.8384,0.9234,0.35,0.8108,0.6818,0.8363,0.9233
15,0.3557,0.345,0.8176,0.6914,0.8408,0.9257,0.3445,0.8135,0.6857,0.8387,0.9254
16,0.3485,0.339,0.82,0.6949,0.8432,0.9284,0.3386,0.8159,0.6892,0.841,0.9282
17,0.3408,0.3345,0.8248,0.7018,0.8471,0.9308,0.3338,0.8212,0.6967,0.8453,0.9305
18,0.3366,0.3378,0.8199,0.6948,0.8431,0.9282,0.3364,0.817,0.6907,0.8418,0.9286
19,0.3331,0.3303,0.8264,0.7041,0.8486,0.9322,0.3316,0.8217,0.6974,0.8458,0.9311
20,0.3251,0.3227,0.8311,0.711,0.8528,0.9354,0.3215,0.8284,0.7071,0.8515,0.9353
21,0.3209,0.3162,0.8306,0.7103,0.8528,0.9373,0.3163,0.8271,0.7052,0.8507,0.9373
22,0.3221,0.3156,0.8333,0.7142,0.8549,0.9378,0.3142,0.8315,0.7116,0.8543,0.9382
23,0.3125,0.3113,0.8375,0.7204,0.8585,0.9399,0.3105,0.8353,0.7172,0.8576,0.9398
24,0.3104,0.3085,0.8387,0.7222,0.8596,0.9409,0.3076,0.8369,0.7195,0.8589,0.9408
25,0.3088,0.3065,0.8376,0.7206,0.8588,0.9411,0.3078,0.8337,0.7149,0.8563,0.9405
26,0.3031,0.3044,0.8424,0.7277,0.8628,0.9429,0.3032,0.8409,0.7255,0.8625,0.9429
27,0.301,0.299,0.8414,0.7263,0.8621,0.9439,0.2989,0.8387,0.7222,0.8606,0.9439
28,0.2973,0.3002,0.8453,0.732,0.8654,0.9447,0.2986,0.8433,0.7291,0.8646,0.9446
29,0.2958,0.296,0.8425,0.7279,0.8631,0.9451,0.2964,0.8398,0.7239,0.8617,0.9449
30,0.2917,0.2917,0.844,0.7301,0.8644,0.9467,0.2924,0.8408,0.7254,0.8625,0.9466
31,0.3018,0.3059,0.8402,0.7245,0.8609,0.9416,0.303,0.8385,0.722,0.8605,0.9423
32,0.2963,0.2992,0.8431,0.7288,0.8635,0.9441,0.3011,0.8384,0.7218,0.8604,0.943
33,0.2886,0.2877,0.8467,0.7342,0.8668,0.9481,0.2886,0.8428,0.7283,0.8641,0.9479
34,0.2837,0.2866,0.8504,0.7398,0.87,0.9488,0.2851,0.8491,0.7378,0.8696,0.9491
35,0.2829,0.286,0.8525,0.743,0.8719,0.9496,0.2844,0.851,0.7407,0.8714,0.9497
36,0.281,0.2822,0.8512,0.741,0.8707,0.9501,0.2817,0.8488,0.7374,0.8693,0.9502
37,0.279,0.282,0.8537,0.7448,0.8729,0.9506,0.2802,0.8523,0.7427,0.8725,0.9509
38,0.2766,0.2789,0.8532,0.744,0.8724,0.9513,0.2783,0.8508,0.7404,0.871,0.9514
39,0.2755,0.2781,0.8537,0.7447,0.8728,0.9515,0.2775,0.8515,0.7414,0.8716,0.9517
40,0.2743,0.2768,0.8534,0.7442,0.8725,0.9519,0.2766,0.8506,0.7401,0.8708,0.9521
41,0.2728,0.2768,0.8567,0.7493,0.8755,0.9524,0.2752,0.8551,0.747,0.8749,0.9526
42,0.272,0.2742,0.8542,0.7456,0.8732,0.9529,0.274,0.8517,0.7418,0.8717,0.9531
43,0.2707,0.2746,0.8574,0.7503,0.8761,0.953,0.2729,0.8556,0.7477,0.8753,0.9532
44,0.2688,0.272,0.856,0.7482,0.8748,0.9536,0.2715,0.8538,0.745,0.8736,0.9538
45,0.2717,0.2721,0.8559,0.748,0.8747,0.9535,0.2718,0.8534,0.7444,0.8732,0.9538
46,0.2683,0.2719,0.8543,0.7457,0.8733,0.9538,0.2721,0.8514,0.7413,0.8714,0.9541
47,0.2659,0.2705,0.8591,0.7531,0.8777,0.9542,0.2683,0.8577,0.7509,0.877,0.9547
48,0.2646,0.2691,0.8601,0.7546,0.8785,0.9547,0.2674,0.8584,0.752,0.8777,0.955
49,0.2639,0.2683,0.8596,0.7537,0.878,0.9548,0.2668,0.8576,0.7507,0.8769,0.9553
50,0.2636,0.2724,0.8604,0.755,0.8789,0.9543,0.2679,0.8603,0.7548,0.8796,0.9553
51,0.2692,0.2691,0.8606,0.7553,0.879,0.9548,0.2685,0.8585,0.7521,0.8779,0.9547
52,0.2691,0.2742,0.8596,0.7538,0.8782,0.9536,0.269,0.8599,0.7543,0.8793,0.9549
53,0.2638,0.2674,0.8554,0.7473,0.8742,0.9558,0.2675,0.8529,0.7435,0.8726,0.9562
54,0.2689,0.2813,0.8521,0.7424,0.8715,0.9501,0.2733,0.8533,0.7442,0.8732,0.9528
55,0.2731,0.2679,0.8598,0.7541,0.8782,0.955,0.2687,0.8566,0.7491,0.876,0.9545
56,0.2891,0.2688,0.8571,0.7499,0.8757,0.955,0.2719,0.8522,0.7426,0.8722,0.9542
57,0.2668,0.263,0.8603,0.7549,0.8785,0.9567,0.2661,0.8554,0.7474,0.8748,0.956
58,0.2631,0.2635,0.8625,0.7582,0.8805,0.9566,0.2653,0.8585,0.7522,0.8777,0.9558
59,0.2617,0.2615,0.8632,0.7593,0.8811,0.9572,0.2629,0.8595,0.7537,0.8785,0.9566
