epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6621,0.623,0.6516,0.4833,0.6712,0.7425,0.6155,0.6536,0.4854,0.6772,0.7512
2,0.5425,0.5216,0.7198,0.5623,0.7503,0.8345,0.5153,0.7186,0.5608,0.753,0.8384
3,0.4935,0.491,0.7259,0.5697,0.7588,0.8451,0.4841,0.7239,0.5673,0.7606,0.849
4,0.4647,0.4615,0.7459,0.5948,0.7761,0.8634,0.4557,0.743,0.5911,0.7767,0.8661
5,0.4477,0.4384,0.7606,0.6137,0.7895,0.8776,0.4338,0.7585,0.6109,0.7901,0.8796
6,0.4355,0.4382,0.7578,0.6101,0.7873,0.8756,0.4341,0.7555,0.607,0.7875,0.8775
7,0.4208,0.4235,0.7654,0.62,0.7951,0.8846,0.4199,0.762,0.6155,0.7946,0.8863
8,0.4065,0.4069,0.7742,0.6317,0.8033,0.8937,0.4054,0.7708,0.6271,0.8023,0.8941
9,0.3927,0.3981,0.7803,0.6397,0.8086,0.8987,0.3926,0.7798,0.6391,0.81,0.9017
10,0.3834,0.3992,0.7831,0.6436,0.8101,0.898,0.3958,0.7813,0.6411,0.8102,0.8992
11,0.38,0.3859,0.7902,0.6532,0.8169,0.9054,0.3828,0.7886,0.6509,0.817,0.9067
12,0.3695,0.3693,0.8027,0.6704,0.8275,0.9142,0.3668,0.8008,0.6679,0.8273,0.915
13,0.3661,0.3647,0.8052,0.6739,0.83,0.9165,0.3618,0.8037,0.6718,0.83,0.9176
14,0.3557,0.3585,0.811,0.682,0.8348,0.92,0.3556,0.8086,0.6787,0.834,0.9205
15,0.3475,0.3579,0.8071,0.6766,0.832,0.9191,0.3568,0.8044,0.6728,0.8309,0.9191
16,0.3453,0.3465,0.8133,0.6853,0.8375,0.9245,0.3444,0.8112,0.6824,0.8369,0.9252
17,0.3427,0.3574,0.8008,0.6678,0.8276,0.9187,0.3542,0.7993,0.6656,0.8275,0.9203
18,0.3349,0.3323,0.8242,0.701,0.8469,0.9311,0.3328,0.8202,0.6952,0.8445,0.9303
19,0.3295,0.348,0.8177,0.6917,0.8407,0.9242,0.3428,0.8177,0.6917,0.8418,0.926
20,0.3287,0.3274,0.8269,0.705,0.8493,0.9331,0.3261,0.8242,0.7009,0.8479,0.9334
21,0.3207,0.3178,0.8301,0.7095,0.8523,0.9371,0.3183,0.8262,0.7039,0.85,0.937
22,0.3196,0.3214,0.8306,0.7104,0.8525,0.9355,0.325,0.8255,0.7029,0.8489,0.9334
23,0.3145,0.3337,0.826,0.7039,0.8484,0.9304,0.3287,0.8256,0.703,0.8488,0.9318
24,0.3108,0.321,0.8295,0.7088,0.8517,0.9352,0.3233,0.8237,0.7003,0.8477,0.9339
25,0.312,0.3152,0.8338,0.715,0.8554,0.9376,0.3265,0.8242,0.7012,0.8485,0.9324
26,0.3052,0.3105,0.8381,0.7214,0.8591,0.9398,0.3071,0.8365,0.719,0.8586,0.9407
27,0.3042,0.3172,0.8273,0.7056,0.8502,0.9363,0.3272,0.8203,0.6955,0.845,0.9324
28,0.3058,0.3119,0.8373,0.7202,0.8585,0.9392,0.3094,0.8356,0.7177,0.8578,0.9398
29,0.3023,0.3031,0.8403,0.7246,0.8612,0.9424,0.3012,0.8381,0.7213,0.86,0.9431
30,0.2946,0.3087,0.8371,0.7199,0.8584,0.94,0.3118,0.8343,0.7157,0.8567,0.9392
31,0.2962,0.2967,0.8409,0.7256,0.8618,0.9449,0.2987,0.8367,0.7193,0.859,0.9444
32,0.2963,0.3062,0.8389,0.7227,0.86,0.941,0.3369,0.8287,0.7076,0.8522,0.9329
33,0.291,0.2978,0.8441,0.7303,0.8644,0.9444,0.2996,0.8401,0.7243,0.8617,0.9435
34,0.2874,0.2982,0.846,0.7332,0.8661,0.9447,0.2905,0.8469,0.7345,0.8677,0.9473
35,0.2852,0.299,0.843,0.7287,0.8635,0.9439,0.2979,0.8407,0.7252,0.8622,0.9442
36,0.2822,0.29,0.8495,0.7385,0.8692,0.9475,0.2903,0.8459,0.733,0.8667,0.947
37,0.2811,0.3014,0.8442,0.7304,0.8644,0.9434,0.3034,0.842,0.7273,0.8632,0.9423
38,0.2793,0.2872,0.8488,0.7374,0.8686,0.9482,0.2831,0.8476,0.7356,0.8682,0.9498
39,0.277,0.2859,0.849,0.7376,0.8688,0.9487,0.2841,0.8479,0.7361,0.8685,0.9497
40,0.2791,0.2908,0.8483,0.7367,0.8682,0.9469,0.2887,0.8469,0.7344,0.8674,0.9475
41,0.2771,0.2915,0.8479,0.736,0.8678,0.9465,0.3035,0.8404,0.7249,0.8621,0.9424
42,0.2734,0.2872,0.8475,0.7354,0.8675,0.9483,0.2811,0.8464,0.7338,0.8671,0.951
43,0.2737,0.2955,0.8442,0.7305,0.8646,0.9449,0.2952,0.8403,0.7246,0.862,0.945
44,0.2838,0.2898,0.8499,0.739,0.8695,0.9476,0.2856,0.8484,0.7367,0.869,0.9486
45,0.281,0.2776,0.8569,0.7496,0.8757,0.9523,0.2777,0.854,0.7452,0.8739,0.9517
46,0.2731,0.2848,0.8514,0.7413,0.8709,0.9491,0.2799,0.8503,0.7395,0.8706,0.9507
47,0.2719,0.2857,0.8508,0.7404,0.8704,0.9487,0.2803,0.85,0.7392,0.8703,0.9506
48,0.2682,0.2796,0.8563,0.7488,0.8753,0.9514,0.2717,0.8576,0.7507,0.877,0.9539
49,0.267,0.2874,0.8473,0.7351,0.8674,0.9482,0.2829,0.8453,0.7321,0.8663,0.9502
50,0.2654,0.2953,0.8494,0.7383,0.8691,0.9462,0.301,0.8456,0.7326,0.8668,0.9442
51,0.2656,0.2889,0.8484,0.7369,0.8684,0.9476,0.2823,0.8482,0.7365,0.8687,0.95
52,0.2652,0.2832,0.8538,0.745,0.8731,0.9498,0.2791,0.8525,0.743,0.8726,0.9509
53,0.2615,0.2772,0.8564,0.749,0.8753,0.9519,0.2755,0.8549,0.7467,0.8747,0.9521
54,0.2621,0.2945,0.8489,0.7375,0.8686,0.9459,0.2855,0.8493,0.7382,0.87,0.9487
55,0.2602,0.2824,0.8562,0.7487,0.8753,0.9506,0.2701,0.8587,0.7524,0.8782,0.9543
56,0.2615,0.2916,0.8503,0.7396,0.87,0.947,0.2742,0.8556,0.7477,0.8754,0.9528
57,0.2629,0.2884,0.8514,0.7414,0.871,0.9479,0.2839,0.8502,0.7395,0.8705,0.9491
58,0.2597,0.2662,0.8625,0.7583,0.8807,0.9559,0.2631,0.8614,0.7566,0.8803,0.9565
59,0.2587,0.2644,0.8629,0.7588,0.8809,0.9563,0.2628,0.861,0.756,0.8798,0.9566
60,0.2568,0.2652,0.8628,0.7587,0.8809,0.9562,0.2661,0.8595,0.7536,0.8786,0.9555
61,0.256,0.2618,0.864,0.7606,0.8819,0.9572,0.2624,0.8611,0.7562,0.88,0.9567
62,0.2553,0.2603,0.8642,0.7609,0.8819,0.9575,0.2618,0.8604,0.755,0.8792,0.9569
63,0.2543,0.2596,0.8636,0.7599,0.8813,0.9577,0.2613,0.8599,0.7542,0.8786,0.9572
64,0.2535,0.2601,0.8634,0.7597,0.8812,0.9575,0.2658,0.8577,0.7509,0.8767,0.9557
65,0.2526,0.2613,0.8637,0.7602,0.8816,0.9572,0.2617,0.8608,0.7557,0.8795,0.9569
66,0.2511,0.2578,0.8639,0.7604,0.8816,0.9583,0.2622,0.859,0.7529,0.8779,0.9571
67,0.2583,0.2713,0.8612,0.7563,0.8796,0.9542,0.2653,0.8608,0.7557,0.8797,0.9557
68,0.2552,0.2748,0.861,0.756,0.8796,0.9537,0.2647,0.863,0.759,0.8819,0.9564
69,0.2572,0.2706,0.8575,0.7506,0.8761,0.9541,0.2721,0.8534,0.7442,0.873,0.9537
70,0.254,0.2675,0.8575,0.7505,0.876,0.9556,0.2718,0.852,0.7422,0.8717,0.9547
71,0.2512,0.2562,0.8658,0.7634,0.8833,0.9588,0.2561,0.8623,0.758,0.8808,0.9589
72,0.2562,0.2595,0.8651,0.7624,0.8829,0.9578,0.262,0.861,0.756,0.8797,0.9568
73,0.2509,0.2609,0.8659,0.7635,0.8837,0.9577,0.2624,0.8628,0.7588,0.8815,0.9567
74,0.2518,0.2595,0.8658,0.7634,0.8835,0.9579,0.2572,0.864,0.7606,0.8824,0.9584
75,0.2492,0.2626,0.8621,0.7577,0.8801,0.9568,0.264,0.8581,0.7516,0.877,0.9568
76,0.2508,0.259,0.8649,0.7619,0.8826,0.9579,0.2592,0.862,0.7575,0.8805,0.9579
77,0.2499,0.276,0.8584,0.7521,0.8771,0.9524,0.2627,0.8612,0.7563,0.8799,0.9566
78,0.2457,0.2681,0.8631,0.7593,0.8813,0.9552,0.2574,0.865,0.7621,0.8833,0.9583
79,0.2487,0.262,0.8651,0.7623,0.8829,0.9572,0.2556,0.8657,0.7633,0.884,0.9589
80,0.2458,0.2629,0.8639,0.7605,0.8819,0.9567,0.2538,0.8651,0.7623,0.8832,0.9596
81,0.2444,0.2687,0.8627,0.7585,0.8808,0.955,0.2614,0.8635,0.7598,0.882,0.9573
82,0.2439,0.2725,0.8637,0.7601,0.882,0.9552,0.2592,0.8679,0.7666,0.8864,0.9587
83,0.2436,0.2649,0.8648,0.7618,0.8827,0.9564,0.2545,0.8667,0.7648,0.8849,0.9593
84,0.2429,0.2587,0.8633,0.7595,0.881,0.9582,0.2564,0.861,0.756,0.8794,0.9597
85,0.2428,0.264,0.863,0.7591,0.881,0.9564,0.2601,0.8633,0.7594,0.8815,0.9585
86,0.2502,0.2693,0.8591,0.7531,0.8775,0.9548,0.2594,0.86,0.7545,0.8786,0.9583
87,0.2474,0.253,0.8711,0.7716,0.8885,0.9607,0.2516,0.8696,0.7693,0.8878,0.9606
88,0.2451,0.2656,0.862,0.7577,0.8801,0.9562,0.2599,0.8601,0.7545,0.8786,0.9583
89,0.2437,0.2693,0.8645,0.7615,0.8826,0.9553,0.2495,0.8697,0.7694,0.8876,0.9609
90,0.2421,0.256,0.8708,0.7712,0.8883,0.9601,0.2482,0.872,0.7731,0.8899,0.9618
91,0.2413,0.267,0.8635,0.76,0.8816,0.9557,0.253,0.866,0.7638,0.8841,0.9598
92,0.2401,0.2635,0.8644,0.7614,0.8823,0.9567,0.2465,0.8685,0.7676,0.8861,0.962
93,0.2395,0.2646,0.8658,0.7636,0.8837,0.9565,0.2461,0.8706,0.7708,0.8882,0.9619
94,0.2391,0.2655,0.8644,0.7614,0.8823,0.9563,0.2472,0.8683,0.7673,0.8859,0.9617
95,0.2506,0.3015,0.8472,0.7351,0.8674,0.9451,0.2931,0.8484,0.7368,0.8689,0.9477
96,0.2516,0.252,0.8695,0.7692,0.8867,0.9603,0.2482,0.8691,0.7685,0.8867,0.9614
97,0.249,0.2651,0.865,0.7623,0.883,0.9563,0.2527,0.8677,0.7663,0.8856,0.9599
98,0.2411,0.2548,0.8701,0.7701,0.8875,0.9598,0.2467,0.8715,0.7724,0.8893,0.9619
99,0.2418,0.2529,0.8708,0.7713,0.8881,0.9605,0.2471,0.8715,0.7722,0.8893,0.9618
100,0.2405,0.2621,0.863,0.7591,0.8808,0.9573,0.2467,0.867,0.7653,0.8847,0.9623
