model,transform,params,loss,dice,jaccard,balanced_acc,auc
UNet,baseline,none,0.5451,0.7372,0.5838,0.7735,0.8598
UNet,gaussian_noise,std_dev=0.02,0.5498,0.7349,0.5809,0.7716,0.8581
UNet,gaussian_noise,std_dev=0.05,0.5728,0.7263,0.5702,0.7637,0.8486
UNet,gaussian_noise,std_dev=0.1,0.6427,0.7014,0.5402,0.7403,0.82
UNet,gaussian_noise,std_dev=0.2,0.8138,0.6439,0.4749,0.6869,0.7522
UNet,gaussian_noise,std_dev=0.35,1.0326,0.5843,0.4129,0.6258,0.6717
UNet,contrast_brightness,"alpha=0.5,beta=0",1.2589,0.2474,0.1415,0.5664,0.747
UNet,contrast_brightness,"alpha=0.75,beta=0",0.5921,0.6704,0.5043,0.7354,0.8541
UNet,contrast_brightness,"alpha=1.5,beta=0",0.6375,0.7518,0.6023,0.7759,0.8572
UNet,contrast_brightness,"alpha=2.0,beta=0",0.8369,0.7368,0.5834,0.7504,0.8476
UNet,contrast_brightness,"alpha=1.0,beta=30",0.5485,0.7476,0.597,0.7765,0.8564
UNet,contrast_brightness,"alpha=1.0,beta=60",0.5954,0.7474,0.5968,0.769,0.8547
UNet,contrast_brightness,"alpha=1.0,beta=-30",0.626,0.6869,0.5231,0.745,0.8559
UNet,contrast_brightness,"alpha=1.5,beta=30",0.7177,0.7435,0.5919,0.761,0.853
UNet,rotation,angle=90cw,0.5617,0.7299,0.5747,0.7675,0.8535
UNet,rotation,angle=90ccw,0.5242,0.7437,0.592,0.7792,0.8665
UNet,rotation,angle=180,0.5434,0.7392,0.5863,0.7751,0.8604
UNet,flip,flip_code=0(vertical),0.5238,0.7451,0.5937,0.7802,0.8672
UNet,flip,flip_code=1(horizontal),0.5571,0.7321,0.5774,0.7692,0.8549
UNet,flip,flip_code=-1(both),0.5434,0.7392,0.5863,0.7751,0.8604
UNet,elastic_deform,"sigma=2,points=3",0.5693,0.7199,0.5624,0.7591,0.8461
UNet,elastic_deform,"sigma=3,points=6",0.5682,0.7203,0.5629,0.7593,0.8462
UNet,elastic_deform,"sigma=5,points=6",0.5683,0.7186,0.5609,0.7584,0.8458
UNet,elastic_deform,"sigma=8,points=6",0.5756,0.7129,0.5539,0.7535,0.842
UNet,elastic_deform,"sigma=10,points=6",0.5768,0.7068,0.5466,0.751,0.8415
UNet,elastic_deform,"sigma=5,points=9",0.5724,0.7138,0.5549,0.7547,0.8434
UNet,elastic_deform,"sigma=10,points=9",0.6078,0.6828,0.5185,0.7338,0.8282
MANet,baseline,none,0.2635,0.8635,0.7599,0.8823,0.957
MANet,gaussian_noise,std_dev=0.02,0.2749,0.858,0.7515,0.8776,0.9536
MANet,gaussian_noise,std_dev=0.05,0.3335,0.8318,0.7122,0.8547,0.936
MANet,gaussian_noise,std_dev=0.1,0.495,0.7727,0.6298,0.8014,0.8864
MANet,gaussian_noise,std_dev=0.2,0.8122,0.6793,0.5145,0.7135,0.7855
MANet,gaussian_noise,std_dev=0.35,1.1397,0.6016,0.4303,0.6334,0.6836
MANet,contrast_brightness,"alpha=0.5,beta=0",0.8391,0.5144,0.3465,0.6714,0.8934
MANet,contrast_brightness,"alpha=0.75,beta=0",0.3176,0.8205,0.6958,0.8467,0.9498
MANet,contrast_brightness,"alpha=1.5,beta=0",0.3661,0.8423,0.7277,0.8639,0.952
MANet,contrast_brightness,"alpha=2.0,beta=0",0.6454,0.7916,0.6551,0.8094,0.9376
MANet,contrast_brightness,"alpha=1.0,beta=30",0.2956,0.8552,0.7472,0.8759,0.9532
MANet,contrast_brightness,"alpha=1.0,beta=60",0.38,0.8285,0.7073,0.8502,0.9475
MANet,contrast_brightness,"alpha=1.0,beta=-30",0.3323,0.8225,0.6987,0.8483,0.95
MANet,contrast_brightness,"alpha=1.5,beta=30",0.5038,0.809,0.6793,0.8292,0.9451
MANet,rotation,angle=90cw,0.7806,0.6864,0.5225,0.728,0.8057
MANet,rotation,angle=90ccw,0.7839,0.6851,0.521,0.7268,0.8044
MANet,rotation,angle=180,1.1315,0.5886,0.4171,0.6424,0.7037
MANet,flip,flip_code=0(vertical),0.7346,0.701,0.5396,0.7404,0.8194
MANet,flip,flip_code=1(horizontal),0.8268,0.6723,0.5064,0.7154,0.7921
MANet,flip,flip_code=-1(both),1.1315,0.5886,0.4171,0.6424,0.7037
MANet,elastic_deform,"sigma=2,points=3",0.403,0.7995,0.666,0.8268,0.914
MANet,elastic_deform,"sigma=3,points=6",0.4287,0.7899,0.6527,0.8186,0.9063
MANet,elastic_deform,"sigma=5,points=6",0.4644,0.7778,0.6365,0.808,0.8957
MANet,elastic_deform,"sigma=8,points=6",0.5112,0.7612,0.6145,0.794,0.8815
MANet,elastic_deform,"sigma=10,points=6",0.534,0.7526,0.6034,0.7868,0.8742
MANet,elastic_deform,"sigma=5,points=9",0.4931,0.7679,0.6233,0.7994,0.8865
MANet,elastic_deform,"sigma=10,points=9",0.5974,0.7267,0.5707,0.7648,0.8528
